"site_id","sample_date","sys_sample_code","sample_source","sample_matrix_code","dec_sample_type_cde","lab_sample_type_cde","sample_type_code_combined","chemical_name","fraction","result_value","result_unit","lab_qualifiers","interpreted_qualifiers","validator_qualifiers","validator_qualifiers_equis","method_detection_limit","reporting_detection_limit","quantitation_limit","detection_limit_unit"
"13-QUAS-0.1",2008-05-20 12:35:00,"13011700-05202008-WS","","WS",,,"N","chloride (as cl)","T",78.2,"mg/l","","",,"",,,,""
"13-QUAS-0.1",2008-06-12 10:45:00,"13011700-06122008-WS","","WS",,,"N","chloride (as cl)","T",87.9,"mg/l","","",,"",,,,""
"13-QUAS-0.1",2008-07-01 12:20:00,"13011700-0712008-WS","","WS",,,"N","chloride (as cl)","T",95.8,"mg/l","","",,"",,,,""
"13-QUAS-0.1",2008-07-30 12:25:00,"13011700-07302008-WS","","WS",,,"N","chloride (as cl)","T",98.4,"mg/l","","",,"",,,,""
"13-QUAS-0.1",2008-08-19 12:40:00,"13011700-08192008-WS","","WS",,,"N","chloride (as cl)","T",93.9,"mg/l","","",,"",,,,""
"13-QUAS-0.1",2008-09-15 12:30:00,"13011700-09152008-WS","","WS",,,"N","chloride (as cl)","T",76.5,"mg/l","","",,"",,,,""
"13-QUAS-0.1",2008-10-29 13:40:00,"13011700-10292008-WS","","WS",,,"N","chloride (as cl)","T",70,"mg/l","","",,"",,,,""
"13-QUAS-0.1",2008-10-07 12:45:00,"13011700-1072008-WS","","WS",,,"N","chloride (as cl)","T",97.5,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-04-30 11:30:00,"13011803-04302008-WS","","WS",,,"N","chloride (as cl)","T",41.9,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-04-08 07:40:00,"13011803-0482008-WS","","WS",,,"N","chloride (as cl)","T",41.4,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-05-21 08:00:00,"13011803-05212008-WS","","WS",,,"N","chloride (as cl)","T",46.7,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-06-10 07:30:00,"13011803-06102008-WS","","WS",,,"N","chloride (as cl)","T",27.7,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-06-30 08:00:00,"13011803-06302008-WS","","WS",,,"N","chloride (as cl)","T",39,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-07-29 12:00:00,"13011803-07292008-WS","","WS",,,"N","chloride (as cl)","T",42.2,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-08-19 07:30:00,"13011803-08192008-WS","","WS",,,"N","chloride (as cl)","T",44,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-09-15 07:50:00,"13011803-09152008-WS","","WS",,,"N","chloride (as cl)","T",40.8,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-10-28 12:00:00,"13011803-10282008-WS","","WS",,,"N","chloride (as cl)","T",30.4,"mg/l","","",,"",,,,""
"13-WYNT-2.9",2008-10-07 08:00:00,"13011803-1072008-WS","","WS",,,"N","chloride (as cl)","T",52.4,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-04-10 14:10:00,"13011904-04102008-WS","","WS",,,"N","chloride (as cl)","T",69.7,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-04-30 14:15:00,"13011904-04302008-WS","","WS",,,"N","chloride (as cl)","T",69.8,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-05-20 13:45:00,"13011904-05202008-WS","","WS",,,"N","chloride (as cl)","T",67.8,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-06-12 12:15:00,"13011904-06122008-WS","","WS",,,"N","chloride (as cl)","T",56,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-07-01 13:30:00,"13011904-0712008-WS","","WS",,,"N","chloride (as cl)","T",86.4,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-07-30 13:40:00,"13011904-07302008-WS","","WS",,,"N","chloride (as cl)","T",73.6,"mg/l","","",,"",,,,""
"13-PEEK-3.7",2008-08-19 13:45:00,"13011904-08192008-WS","","WS",,,"N","chloride (as cl)","T",87.2,"mg/l","","",,"",,,,""
