"data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment","SiteID"
"ALSRNY","03022102_04182016_WS","03022102_04182016_WS","WS","N","field","","R1603723","04/18/2016 12:00:00","Unknown",NA,NA,NA,NA,NA,"04/18/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03022102"
"ALSRNY","03022102_04182016_WSRE","03022102_04182016_WS","WS","N","field","","R1603723","04/18/2016 12:00:00","Unknown",NA,NA,NA,NA,NA,"04/18/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03022102"
"ALSRNY","03022102FB_04182016_WS","03022102FB_04182016_WS","WS","FB","field","","R1603723","04/18/2016 04:00:00","Unknown",NA,NA,NA,NA,NA,"04/18/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03022102"
"ALSRNY","03022102FB_04182016_WSRE","03022102FB_04182016_WS","WS","FB","field","","R1603723","04/18/2016 04:00:00","Unknown",NA,NA,NA,NA,NA,"04/18/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03022102"
"ALSRNY","03031329_04182016_WS","03031329_04182016_WS","WS","N","field","","R1603723","04/18/2016 08:00:00","Unknown",NA,NA,NA,NA,NA,"04/19/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03031329"
"ALSRNY","03031329_04182016_WSRE","03031329_04182016_WS","WS","N","field","","R1603723","04/18/2016 08:00:00","Unknown",NA,NA,NA,NA,NA,"04/19/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03031329"
"ALSRNY","03032209_04182016_WS","03032209_04182016_WS","WS","N","field","","R1603723","04/18/2016 10:00:00","Unknown",NA,NA,NA,NA,NA,"04/19/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03032209"
"ALSRNY","03032209_04182016_WSRE","03032209_04182016_WS","WS","N","field","","R1603723","04/18/2016 10:00:00","Unknown",NA,NA,NA,NA,NA,"04/19/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03032209"
"ALSRNY","03031703_04182016_WS","03031703_04182016_WS","WS","N","field","","R1603723","04/18/2016 11:00:00","Unknown",NA,NA,NA,NA,NA,"04/19/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03031703"
"ALSRNY","03031703_04182016_WSRE","03031703_04182016_WS","WS","N","field","","R1603723","04/18/2016 11:00:00","Unknown",NA,NA,NA,NA,NA,"04/19/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03031703"
"ALSRNY","03031308_04182016_WS","03031308_04182016_WS","WS","N","field","","R1603723","04/18/2016 12:00:00","Unknown",NA,NA,NA,NA,NA,"04/19/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03031308"
"ALSRNY","03031308_04182016_WSRE","03031308_04182016_WS","WS","N","field","","R1603723","04/18/2016 12:00:00","Unknown",NA,NA,NA,NA,NA,"04/19/2016",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"03031308"
