"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","test_batch_type","test_batch_id"
"13ESOP-16.1_070517_WS","SM 2320 B","07/10/2017 22:17:00","T",NA,"initial","Analysis","552987"
"13ESOP-16.1_070517_WS","D6919-09","07/07/2017 18:48:00","T",NA,"initial","Analysis","552813"
"13ESOP-16.1_070517_WS","E300.0","07/07/2017 21:44:00","T",NA,"initial","Analysis","552825"
"13ESOP-16.1_070517_WS","E120.1","07/05/2017 18:57:00","T",NA,"initial","Analysis","552770"
"13ESOP-16.1_070517_WS","SM2340B","07/11/2017 12:22:00","T",NA,"initial","Analysis","6-Jul-11"
"13ESOP-16.1_070517_WS","Calculation","07/06/2017 16:23:00","T",NA,"initial","Analysis","552793"
"13ESOP-16.1_070517_WS","E353.2","07/08/2017 12:40:00","T",NA,"initial","Analysis","552789"
"13ESOP-16.1_070517_WS","E353.2","07/06/2017 16:23:00","T",NA,"initial","Analysis","552793"
"13ESOP-16.1_070517_WS","SM 4500-H+B","07/07/2017 18:57:00","T",NA,"initial","Analysis","552764"
"13ESOP-16.1_070517_WS","E365.1","07/13/2017 13:22:00","T",NA,"initial","Prep","292371"
"13ESOP-16.1_070517_WS","E180.1","07/06/2017 15:00:00","T",NA,"initial","Analysis","552759"
"13ESOP-21.7_070517_WS","SM 2320 B","07/10/2017 22:21:00","T",NA,"initial","Analysis","552987"
"13ESOP-21.7_070517_WS","D6919-09","07/07/2017 19:04:00","T",NA,"initial","Analysis","552813"
"13ESOP-21.7_070517_WS","E300.0","07/07/2017 21:55:00","T",NA,"initial","Analysis","552825"
"13ESOP-21.7_070517_WS","E120.1","07/07/2017 18:57:00","T",NA,"initial","Analysis","552770"
"13ESOP-21.7_070517_WS","SM2340B","07/11/2017 12:26:00","T",NA,"initial","Analysis","6-Jul-11"
"13ESOP-21.7_070517_WS","Calculation","07/06/2017 16:23:00","T",NA,"initial","Analysis","552793"
"13ESOP-21.7_070517_WS","E353.2","07/08/2017 12:41:00","T",NA,"initial","Analysis","552789"
"13ESOP-21.7_070517_WS","E353.2","07/06/2017 16:23:00","T",NA,"initial","Analysis","552793"
"13ESOP-21.7_070517_WS","SM 4500-H+B","07/07/2017 18:57:00","T",NA,"initial","Analysis","552764"
"13ESOP-21.7_070517_WS","E365.1","07/13/2017 13:23:00","T",NA,"initial","Prep","292371"
"13ESOP-21.7_070517_WS","E180.1","07/06/2017 15:00:00","T",NA,"initial","Analysis","552759"
"13ROND-9.9_070517_WS","SM 2320 B","07/10/2017 22:25:00","T",NA,"initial","Analysis","552987"
"13ROND-9.9_070517_WS","D6919-09","07/07/2017 20:56:00","T",NA,"initial","Analysis","552813"
"13ROND-9.9_070517_WS","E300.0","07/07/2017 22:05:00","T",NA,"initial","Analysis","552825"
"13ROND-9.9_070517_WS","E120.1","07/07/2017 18:57:00","T",NA,"initial","Analysis","552770"
"13ROND-9.9_070517_WS","SM2340B","07/11/2017 12:29:00","T",NA,"initial","Analysis","6-Jul-11"
"13ROND-9.9_070517_WS","Calculation","07/06/2017 16:24:00","T",NA,"initial","Analysis","552793"
"13ROND-9.9_070517_WS","E353.2","07/08/2017 12:43:00","T",NA,"initial","Analysis","552789"
"13ROND-9.9_070517_WS","E353.2","07/06/2017 16:24:00","T",NA,"initial","Analysis","552793"
"13ROND-9.9_070517_WS","SM 4500-H+B","07/07/2017 18:57:00","T",NA,"initial","Analysis","552764"
"13ROND-9.9_070517_WS","E365.1","07/13/2017 13:23:00","T",NA,"initial","Prep","292371"
"13ROND-9.9_070517_WS","E180.1","07/06/2017 15:00:00","T",NA,"initial","Analysis","552759"
"13ROND-T6-1.9_070517_WS","SM 2320 B","07/10/2017 22:36:00","T",NA,"initial","Analysis","552987"
"13ROND-T6-1.9_070517_WS","D6919-09","07/07/2017 19:20:00","T",NA,"initial","Analysis","552813"
"13ROND-T6-1.9_070517_WS","E300.0","07/07/2017 23:08:00","T",NA,"initial","Analysis","552827"
"13ROND-T6-1.9_070517_WS","E120.1","07/07/2017 18:57:00","T",NA,"initial","Analysis","552770"
"13ROND-T6-1.9_070517_WS","SM2340B","07/11/2017 12:46:00","T",NA,"initial","Analysis","6-Jul-11"
"13ROND-T6-1.9_070517_WS","Calculation","07/06/2017 16:28:00","T",NA,"initial","Analysis","552793"
