"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"13-ESOP-16.1","N","N","ALSRNY","13ESOP-16.1_070517_WS","13ESOP-16.1_070517_WS","WS","N","Field","","R1706086","07/05/2017 09:30:00","13ESOP-16.1_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-ESOP-21.7","N","N","ALSRNY","13ESOP-21.7_070517_WS","13ESOP-21.7_070517_WS","WS","N","Field","","R1706086","07/05/2017 10:30:00","13ESOP-21.7_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-ROND-9.9","N","N","ALSRNY","13ROND-9.9_070517_WS","13ROND-9.9_070517_WS","WS","N","Field","","R1706086","07/05/2017 11:30:00","13ROND-9.9_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-ROND_T6-1.9","Y","N_DUPPARENT","ALSRNY","13ROND-T6-1.9_070517_WS","13ROND-T6-1.9_070517_WS","WS","N","Field","","R1706086","07/05/2017 13:15:00","13ROND-T6-1.9_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-ROND_T6-1.9","Y","DUP","ALSRNY","13ROND-T6-1.9 DUP_070517_WS","13ROND-T6-1.9 DUP_070517_WS","WS","N","Field","","R1706086","07/05/2017 13:15:00","13ROND-T6-1.9 DUP_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-KLEI-0.1","N","N","ALSRNY","13KLEI-0.1_070517_WS","13KLEI-0.1_070517_WS","WS","N","Field","","R1706086","07/05/2017 09:30:00","13KLEI-0.1_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-WALK_T13-1.3","Y","N","ALSRNY","13WALK-T13-1.3_070517_WS","13WALK-T13-1.3_070517_WS","WS","N","Field","","R1706086","07/05/2017 10:00:00","13WALK-T13-1.3_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-WALK-13.3","N","N_DUPPARENT","ALSRNY","13WALK-13.3_070517_WS","13WALK-13.3_070517_WS","WS","N","Field","","R1706086","07/05/2017 11:00:00","13WALK-13.3_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-WALK-15.0","N","N","ALSRNY","13WALK-15.0_070517_WS","13WALK-15.0_070517_WS","WS","N","Field","","R1706086","07/05/2017 11:45:00","13WALK-15.0_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-WALK-13.3","N","DUP","ALSRNY","13WALK-13.3 DUP_070517_WS","13WALK-13.3 DUP_070517_WS","WS","N","Field","","R1706086","07/05/2017 11:00:00","13WALK-13.3 DUP_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-WALK-15.0","N","EB","ALSRNY","13WALK-15.0EB_070517_WS","13WALK-15.0EB_070517_WS","WS","N","Field","","R1706086","07/05/2017 11:45:00","13WALK-15.0EB_070517_WS",NA,NA,NA,NA,NA,"07/06/2017",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
