"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"12-SAUQ-1.7","N","N","ALSRNY","12-SAUQ-1.7-05072019-W","12-SAUQ-1.7-05072019-W","WS","N","Field","","R1904063","05/07/2019 10:00:00","12-SAUQ-1.7",NA,NA,NA,NA,NA,"05/08/2019",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CANW-72.3","N","EB","ALSRNY","12-CANW-72.3-05072019-W EB","12-CANW-72.3-05072019-W EB","WS","N","Field","","R1904063","05/07/2019 12:00:00","12-CANW-72.3 EB",NA,NA,NA,NA,NA,"05/08/2019",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CANW-72.3","N","DUP","ALSRNY","12-CANW-72.3-05072019-W DUP","12-CANW-72.3-05072019-W DUP","WS","N","Field","","R1904063","05/07/2019 12:00:00","12-CANW-72.3 DUP",NA,NA,NA,NA,NA,"05/08/2019",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CANW-72.3","N","N_DUPPARENT","ALSRNY","12-CANW-72.3-05072019-W","12-CANW-72.3-05072019-W","WS","N","Field","","R1904063","05/07/2019 12:00:00","12-CANW-72.3",NA,NA,NA,NA,NA,"05/08/2019",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","635130-MB1","Method Blank","WQ","LB","Lab","","R1904063","05/08/2019 20:06:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","635549-MB1","Method Blank","WQ","LB","Lab","","R1904063","05/13/2019 02:06:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","336376-MB1","Method Blank","WQ","LB","Lab","","R1904063","05/10/2019 06:38:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","635003-MB1","Method Blank","WQ","LB","Lab","","R1904063","05/09/2019 19:29:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","635131-MB1","Method Blank","WQ","LB","Lab","","R1904063","05/08/2019 23:34:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","336531-MB1","Method Blank","WQ","LB","Lab","","R1904063","05/13/2019 17:05:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
