"CHEM_HISTORY_BATCH_ID","CHEM_HISTORY_SAMPLE_ID","CHB_SYS_SAMPLE_CDE","CHB_LAB_ANAL_METHOD_NAME","CHB_ANALYSIS_DATE","CHB_FRACTION","CHB_TEST_TYPE","CHB_TEST_BATCH_TYPE","CHB_TEST_BATCH_ID","CREATE_DATE","END_DATE","UPDATE_DATE","UPDATED_BY_GUID"
"","","13ESOP-16.1_070517_WS","SM 2320 B",2017-07-10 22:17:00,"T","initial","Analysis","552987","","","",""
"","","13ESOP-16.1_070517_WS","D6919-09",2017-07-07 18:48:00,"T","initial","Analysis","552813","","","",""
"","","13ESOP-16.1_070517_WS","E300.0",2017-07-07 21:44:00,"T","initial","Analysis","552825","","","",""
"","","13ESOP-16.1_070517_WS","E120.1",2017-07-05 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13ESOP-16.1_070517_WS","SM2340B",2017-07-11 12:22:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13ESOP-16.1_070517_WS","Calculation",2017-07-06 16:23:00,"T","initial","Analysis","552793","","","",""
"","","13ESOP-16.1_070517_WS","E353.2",2017-07-08 12:40:00,"T","initial","Analysis","552789","","","",""
"","","13ESOP-16.1_070517_WS","E353.2",2017-07-06 16:23:00,"T","initial","Analysis","552793","","","",""
"","","13ESOP-16.1_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13ESOP-16.1_070517_WS","E365.1",2017-07-13 13:22:00,"T","initial","Prep","292371","","","",""
"","","13ESOP-16.1_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13ESOP-21.7_070517_WS","SM 2320 B",2017-07-10 22:21:00,"T","initial","Analysis","552987","","","",""
"","","13ESOP-21.7_070517_WS","D6919-09",2017-07-07 19:04:00,"T","initial","Analysis","552813","","","",""
"","","13ESOP-21.7_070517_WS","E300.0",2017-07-07 21:55:00,"T","initial","Analysis","552825","","","",""
"","","13ESOP-21.7_070517_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13ESOP-21.7_070517_WS","SM2340B",2017-07-11 12:26:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13ESOP-21.7_070517_WS","Calculation",2017-07-06 16:23:00,"T","initial","Analysis","552793","","","",""
"","","13ESOP-21.7_070517_WS","E353.2",2017-07-08 12:41:00,"T","initial","Analysis","552789","","","",""
"","","13ESOP-21.7_070517_WS","E353.2",2017-07-06 16:23:00,"T","initial","Analysis","552793","","","",""
"","","13ESOP-21.7_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13ESOP-21.7_070517_WS","E365.1",2017-07-13 13:23:00,"T","initial","Prep","292371","","","",""
"","","13ESOP-21.7_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13ROND-9.9_070517_WS","SM 2320 B",2017-07-10 22:25:00,"T","initial","Analysis","552987","","","",""
"","","13ROND-9.9_070517_WS","D6919-09",2017-07-07 20:56:00,"T","initial","Analysis","552813","","","",""
"","","13ROND-9.9_070517_WS","E300.0",2017-07-07 22:05:00,"T","initial","Analysis","552825","","","",""
"","","13ROND-9.9_070517_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13ROND-9.9_070517_WS","SM2340B",2017-07-11 12:29:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13ROND-9.9_070517_WS","Calculation",2017-07-06 16:24:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-9.9_070517_WS","E353.2",2017-07-08 12:43:00,"T","initial","Analysis","552789","","","",""
"","","13ROND-9.9_070517_WS","E353.2",2017-07-06 16:24:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-9.9_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13ROND-9.9_070517_WS","E365.1",2017-07-13 13:23:00,"T","initial","Prep","292371","","","",""
"","","13ROND-9.9_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
"","","13ROND-T6-1.9_070517_WS","SM 2320 B",2017-07-10 22:36:00,"T","initial","Analysis","552987","","","",""
"","","13ROND-T6-1.9_070517_WS","D6919-09",2017-07-07 19:20:00,"T","initial","Analysis","552813","","","",""
"","","13ROND-T6-1.9_070517_WS","E300.0",2017-07-07 23:08:00,"T","initial","Analysis","552827","","","",""
"","","13ROND-T6-1.9_070517_WS","E120.1",2017-07-07 18:57:00,"T","initial","Analysis","552770","","","",""
"","","13ROND-T6-1.9_070517_WS","SM2340B",2017-07-11 12:46:00,"T","initial","Analysis","6-Jul-11","","","",""
"","","13ROND-T6-1.9_070517_WS","Calculation",2017-07-06 16:28:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-T6-1.9_070517_WS","E353.2",2017-07-08 12:47:00,"T","initial","Analysis","552789","","","",""
"","","13ROND-T6-1.9_070517_WS","E353.2",2017-07-06 16:28:00,"T","initial","Analysis","552793","","","",""
"","","13ROND-T6-1.9_070517_WS","SM 4500-H+B",2017-07-07 18:57:00,"T","initial","Analysis","552764","","","",""
"","","13ROND-T6-1.9_070517_WS","E365.1",2017-07-13 13:25:00,"T","initial","Prep","292371","","","",""
"","","13ROND-T6-1.9_070517_WS","E180.1",2017-07-06 15:00:00,"T","initial","Analysis","552759","","","",""
