"CHEM_HISTORY_SAMPLE_ID","EVENT_SMAS_ID","CHS_SITE_ID_CORR_IND","CHS_DATA_PROVIDER","CHS_SYS_SAMPLE_CDE","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP","CHS_SAMPLE_DATE","CHS_SAMPLE_RECEIPT_DATE","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT","CREATE_DATE","END_DATE","UPDATE_DATE","UPDATED_BY_GUID"
"","13-ESOP-16.1_20170705","N","ALSRNY","13ESOP-16.1_070517_WS","13ESOP-16.1_070517_WS","WS","N","N","Field",NA,"R1706086",2017-07-05 09:30:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-ESOP-21.7_20170705","N","ALSRNY","13ESOP-21.7_070517_WS","13ESOP-21.7_070517_WS","WS","N","N","Field",NA,"R1706086",2017-07-05 10:30:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-ROND-9.9_20170705","N","ALSRNY","13ROND-9.9_070517_WS","13ROND-9.9_070517_WS","WS","N","N","Field",NA,"R1706086",2017-07-05 11:30:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-ROND_T6-1.9_20170705","Y","ALSRNY","13ROND-T6-1.9_070517_WS","13ROND-T6-1.9_070517_WS","WS","N_DUPPARENT","N","Field",NA,"R1706086",2017-07-05 13:15:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-ROND_T6-1.9_20170705","Y","ALSRNY","13ROND-T6-1.9 DUP_070517_WS","13ROND-T6-1.9 DUP_070517_WS","WS","DUP","N","Field",NA,"R1706086",2017-07-05 13:15:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-KLEI-0.1_20170705","N","ALSRNY","13KLEI-0.1_070517_WS","13KLEI-0.1_070517_WS","WS","N","N","Field",NA,"R1706086",2017-07-05 09:30:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-WALK_T13-1.3_20170705","Y","ALSRNY","13WALK-T13-1.3_070517_WS","13WALK-T13-1.3_070517_WS","WS","N","N","Field",NA,"R1706086",2017-07-05 10:00:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-WALK-13.3_20170705","N","ALSRNY","13WALK-13.3_070517_WS","13WALK-13.3_070517_WS","WS","N_DUPPARENT","N","Field",NA,"R1706086",2017-07-05 11:00:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-WALK-15.0_20170705","N","ALSRNY","13WALK-15.0_070517_WS","13WALK-15.0_070517_WS","WS","N","N","Field",NA,"R1706086",2017-07-05 11:45:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-WALK-13.3_20170705","N","ALSRNY","13WALK-13.3 DUP_070517_WS","13WALK-13.3 DUP_070517_WS","WS","DUP","N","Field",NA,"R1706086",2017-07-05 11:00:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-WALK-15.0_20170705","N","ALSRNY","13WALK-15.0EB_070517_WS","13WALK-15.0EB_070517_WS","WS","EB","N","Field",NA,"R1706086",2017-07-05 11:45:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","13-ROND-9.9_20170705","N","ALSRNY","13ROND-9.9EB_070517_WS","13ROND-9.9EB_070517_WS","WS","EB","N","Field",NA,"R1706086",2017-07-05 11:45:00,2017-07-06,NA,"NYSDEC",NA,"","","",""
"","LAB_INTERNAL_20170710","N","ALSRNY","552987-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",NA,"R1706086",2017-07-10 21:09:00,NA,NA,"NYSDEC",NA,"","","",""
"","LAB_INTERNAL_20170707","N","ALSRNY","552813-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",NA,"R1706086",2017-07-07 17:12:00,NA,NA,"NYSDEC",NA,"","","",""
