"CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR","CHS_DATA_PROVIDER","CHS_SYS_SAMPLE_CDE","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT"
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WS","07-OW4-3.0-03122018-WS","WS","N","N","Field",,"R1802169","03/12/2018 13:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WS-MD","07-OW4-3.0-03122018-WS-MD","WS","N","N","Field",,"R1802169","03/12/2018 13:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WS-FB","07-OW4-3.0-03122018-WS-FB","WS","EB","N","Field",,"R1802169","03/12/2018 03:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WS-EB","07-OW4-3.0-03122018-WS-EB","WS","EB","N","Field",,"R1802169","03/12/2018 04:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-DUCH-0.3","03/12/2018","N","ALSRNY","07-DUCH-0.3-03122018-WS","07-DUCH-0.3-03122018-WS","WS","N","N","Field",,"R1802169","03/12/2018 12:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-SCKR-0.1","03/12/2018","N","ALSRNY","07-SCKR-0.1-03122018-WS","07-SCKR-0.1-03122018-WS","WS","N","N","Field",,"R1802169","03/12/2018 11:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-VENE-0.4","03/12/2018","N","ALSRNY","07-VENE-0.4-03122018-WS","07-VENE-0.4-03122018-WS","WS","N","N","Field",,"R1802169","03/12/2018 09:45:00","03/13/2018","unknown",,,"NYSDEC",
"LAB_INTERNAL","03/22/2018","N","ALSRNY","584856-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/22/2018 14:23:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/13/2018","N","ALSRNY","584608-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/13/2018 16:47:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/22/2018","N","ALSRNY","584743-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/22/2018 18:12:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/14/2018","N","ALSRNY","583650-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/14/2018 16:08:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/14/2018","N","ALSRNY","584493-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/14/2018 14:50:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/26/2018","N","ALSRNY","310560-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/26/2018 12:00:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/19/2018","N","ALSRNY","310238-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/19/2018 10:40:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/19/2018","N","ALSRNY","584074-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/19/2018 16:45:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/19/2018","N","ALSRNY","584075-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/19/2018 19:45:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/13/2018","N","ALSRNY","583962-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/13/2018 11:45:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/23/2018","N","ALSRNY","584834-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/23/2018 14:37:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/14/2018","N","ALSRNY","583652-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802169","03/14/2018 16:41:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/22/2018","N","ALSRNY","584856-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/22/2018 14:44:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/13/2018","N","ALSRNY","584608-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/13/2018 16:48:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/22/2018","N","ALSRNY","584743-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/22/2018 20:13:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/14/2018","N","ALSRNY","583650-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/14/2018 16:15:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/14/2018","N","ALSRNY","584493-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/14/2018 14:51:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/26/2018","N","ALSRNY","310560-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/26/2018 12:00:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/19/2018","N","ALSRNY","310238-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/19/2018 10:40:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/19/2018","N","ALSRNY","584074-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/19/2018 16:45:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/19/2018","N","ALSRNY","584075-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/19/2018 19:45:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/23/2018","N","ALSRNY","584834-LCS2","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/23/2018 14:51:00",,"unknown",,,"NYSDEC",
"LAB_INTERNAL","03/14/2018","N","ALSRNY","583652-LCS2","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab",,"R1802169","03/14/2018 16:55:00",,"unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WSDUP","07-OW4-3.0-03122018-WS","WS","N","LR","Lab","07-OW4-3.0-03122018-WS","R1802169","03/12/2018 13:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WS-MDDUP","07-OW4-3.0-03122018-WS-MD","WS","N","LR","Lab","07-OW4-3.0-03122018-WS-MD","R1802169","03/12/2018 13:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WSMS","07-OW4-3.0-03122018-WS","WS","N","MS","Lab","07-OW4-3.0-03122018-WS","R1802169","03/12/2018 13:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WS-MDMS","07-OW4-3.0-03122018-WS-MD","WS","N","MS","Lab","07-OW4-3.0-03122018-WS-MD","R1802169","03/12/2018 13:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WSMSD","07-OW4-3.0-03122018-WS","WS","N","SD","Lab","07-OW4-3.0-03122018-WS","R1802169","03/12/2018 13:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-OWLI-3.0","03/12/2018","Y","ALSRNY","07-OW4-3.0-03122018-WS-MDMSD","07-OW4-3.0-03122018-WS-MD","WS","N","SD","Lab","07-OW4-3.0-03122018-WS-MD","R1802169","03/12/2018 13:00:00","03/13/2018","unknown",,,"NYSDEC",
"07-VENE-0.4","03/20/2018","N","ALSRNY","07-VENE-0.4-03202018-WS","07-VENE-0.4-03202018-WS","WS","N","N","Field",,"R1802423","03/20/2018 09:30:00","03/21/2018","Unknown",,,"NYSDEC",
"07-SCKR-0.1","03/20/2018","N","ALSRNY","07-SCKR-0.1-03202018-WS","07-SCKR-0.1-03202018-WS","WS","N","N","Field",,"R1802423","03/20/2018 10:40:00","03/21/2018","Unknown",,,"NYSDEC",
"07-DUCH-0.3","03/20/2018","N","ALSRNY","07-DUCH-0.3-03202018-WS","07-DUCH-0.3-03202018-WS","WS","N","N","Field",,"R1802423","03/20/2018 11:50:00","03/21/2018","Unknown",,,"NYSDEC",
"07-DUCH-0.3","03/20/2018","N","ALSRNY","07-DUCH-0.3-03202018-WS-FB","07-DUCH-0.3-03202018-WS-FB","WS","EB","N","Field",,"R1802423","03/20/2018 03:00:00","03/21/2018","Unknown",,,"NYSDEC",
"07-OWLI-3.0","03/20/2018","N","ALSRNY","07-OWLI-3.0-03202018-WS","07-OWLI-3.0-03202018-WS","WS","N","N","Field",,"R1802423","03/20/2018 13:30:00","03/21/2018","Unknown",,,"NYSDEC",
"LAB_INTERNAL","03/26/2018","N","ALSRNY","585042-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/26/2018 14:30:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/21/2018","N","ALSRNY","584769-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/21/2018 16:29:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/27/2018","N","ALSRNY","585349-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/27/2018 09:48:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/27/2018","N","ALSRNY","585013-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/27/2018 09:58:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/21/2018","N","ALSRNY","584767-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/21/2018 18:42:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/26/2018","N","ALSRNY","310560-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/26/2018 12:00:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/26/2018","N","ALSRNY","310564-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/26/2018 13:44:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/26/2018","N","ALSRNY","584972-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/26/2018 16:30:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/23/2018","N","ALSRNY","584727-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/23/2018 16:45:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/21/2018","N","ALSRNY","584847-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/21/2018 17:20:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/27/2018","N","ALSRNY","585351-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/27/2018 15:49:00",,,,,"NYSDEC",
"LAB_INTERNAL","03/27/2018","N","ALSRNY","585014-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab",,"R1802423","03/27/2018 10:31:00",,,,,"NYSDEC",
