"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","ALKALINITY, TOTAL (AS CaCO3)",2018-07-05 10:45:00,"ALK","T",220,"mg/l",1,"mg/l",2,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Aluminum",2018-07-05 10:45:00,"7429-90-5","T",94,"ug/l",2.3,"ug/l",10,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Arsenic",2018-07-05 10:45:00,"7440-38-2","T",1,"ug/l",0.39,"ug/l",1,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Cadmium",2018-07-05 10:45:00,"7440-43-9","T",NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Calcium",2018-07-05 10:45:00,"7440-70-2","T",102000,"ug/l",110,"ug/l",1000,"E","J","estimated value due to lab error",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","CHLORIDE (AS CL)",2018-07-05 10:45:00,"16887-00-6","T",355,"mg/l",2,"mg/l",20,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Copper",2018-07-05 10:45:00,"7440-50-8","T",4.1,"ug/l",0.66,"ug/l",1,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","HARDNESS (AS CACO3)",2018-07-05 10:45:00,"HARD","T",337,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Iron",2018-07-05 10:45:00,"7439-89-6","T",674,"ug/l",13,"ug/l",100,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Lead",2018-07-05 10:45:00,"7439-92-1","T",1.2,"ug/l",0.067,"ug/l",1,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Magnesium",2018-07-05 10:45:00,"7439-95-4","T",19800,"ug/l",29,"ug/l",1000,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Nickel",2018-07-05 10:45:00,"7440-02-0","T",1.4,"ug/l",0.26,"ug/l",1,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Nitrate+Nitrite as Nitrogen",2018-07-05 10:45:00,"NO3NO2N","T",0.569,"mg/l",7e-04,"mg/l",0.002,"","A","",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Nitrogen",2018-07-05 10:45:00,"KN","T",1.02,"mg/l",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",2020-05-12
"Patroons_Creek_RAS","13-PATS-0.5","N","13-PATS-0.5-07052018-WS","R1806314","Nitrogen, ammonia (As N)",2018-07-05 10:45:00,"7664-41-7","T",0.0258,"mg/l",8e-04,"mg/l",0.005,"","R","Equipment Blank error",2020-05-12
