"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","ALKALINITY, TOTAL (AS CaCO3)",2018-04-18 12:00:00,"ALK","T",104,"mg/l",1,"mg/l",2,"","T","",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","Aluminum",2018-04-18 12:00:00,"7429-90-5","D",9.7,"ug/l",2.3,"ug/l",10,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","Arsenic",2018-04-18 12:00:00,"7440-38-2","T",0.67,"ug/l",0.39,"ug/l",1,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","Cadmium",2018-04-18 12:00:00,"7440-43-9","D",NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","Calcium",2018-04-18 12:00:00,"7440-70-2","T",54000,"ug/l",110,"ug/l",1000,"","A","",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","Carbon, Dissolved Organic (DOC)",2018-04-18 12:00:00,"DOC","D",4,"mg/l",0.05,"mg/l",1,"","A","",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","CHLORIDE (AS CL)",2018-04-18 12:00:00,"16887-00-6","T",225,"mg/l",0.5,"mg/l",8,"","A","",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","Chlorophyll A",2018-04-18 12:00:00,"479-61-8","T",10,"ug/l",NA,"ug/l",0.25,"","A","",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","Copper",2018-04-18 12:00:00,"7440-50-8","D",3,"ug/l",0.66,"ug/l",1,"","A","",2020-05-12
"RIBS_Routine_R1_2","17-BRNX-5.6","N","17-BRNX-5.6-04182018-WS","R1803555","Fluoride, undistilled",2018-04-18 12:00:00,"16984-48-8","T",0.11,"mg/l",0.004,"mg/l",0.1,"","A","",2020-05-12
