"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","ALKALINITY, TOTAL (AS CaCO3)",2018-04-18 00:00:00,"ALK","T",12.4,"mg/l",1,"mg/l",2,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Aluminum",2018-04-18 00:00:00,"7429-90-5","D",76.4,"ug/l",2.3,"ug/l",10,"N","R","lab error ; Accuracy error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Arsenic",2018-04-18 00:00:00,"7440-38-2","T",NA,"ug/l",0.39,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Cadmium",2018-04-18 00:00:00,"7440-43-9","D",0.33,"ug/l",0.064,"ug/l",1,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Calcium",2018-04-18 00:00:00,"7440-70-2","T",6670,"ug/l",110,"ug/l",1000,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Carbon, Dissolved Organic (DOC)",2018-04-18 00:00:00,"DOC","D",4.4,"mg/l",0.05,"mg/l",1,"","R","Equipment Blank error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","CHLORIDE (AS CL)",2018-04-18 00:00:00,"16887-00-6","T",11.9,"mg/l",0.2,"mg/l",2,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Chlorophyll A",2018-04-18 00:00:00,"479-61-8","T",4.2,"ug/l",NA,"ug/l",0.18,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Copper",2018-04-18 00:00:00,"7440-50-8","D",0.81,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Fluoride, undistilled",2018-04-18 00:00:00,"16984-48-8","T",NA,"mg/l",0.004,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","HARDNESS (AS CACO3)",2018-04-18 00:00:00,"HARD","T",22,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Iron",2018-04-18 00:00:00,"7439-89-6","T",501,"ug/l",13,"ug/l",100,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Lead",2018-04-18 00:00:00,"7439-92-1","D",0.2,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Magnesium",2018-04-18 00:00:00,"7439-95-4","T",1290,"ug/l",29,"ug/l",1000,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Manganese",2018-04-18 00:00:00,"7439-96-5","T",43,"ug/l",1.7,"ug/l",10,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Nickel",2018-04-18 00:00:00,"7440-02-0","D",0.57,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Nitrate+Nitrite as Nitrogen",2018-04-18 00:00:00,"NO3NO2N","T",0.091,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Nitrogen",2018-04-18 00:00:00,"7727-37-9","T",0.29,"mg/l",NA,"mg/l",0.05,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Nitrogen, ammonia (As N)",2018-04-18 00:00:00,"7664-41-7","T",0.0083,"mg/l",8e-04,"mg/l",0.005,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","NITROGEN, KJELDAHL, TOTAL",2018-04-18 00:00:00,"KN","T",0.2,"mg/l",0.08,"mg/l",0.1,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","NITROGEN, NITRATE (AS N)",2018-04-18 00:00:00,"14797-55-8","T",0.091,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","NITROGEN, NITRITE",2018-04-18 00:00:00,"14797-65-0","T",NA,"mg/l",0.004,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Orthophosphate as Phosphorus, Dissolved",2018-04-18 00:00:00,"PDORTHO","D",NA,"mg/l",0.0014,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","PHOSPHORUS, TOTAL (AS P)",2018-04-18 00:00:00,"7723-14-0","T",0.0245,"mg/l",0.002,"mg/l",0.003,"","R","Equipment Blank error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Potassium",2018-04-18 00:00:00,"7440-09-7","T",615,"ug/l",70,"ug/l",2000,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Silver",2018-04-18 00:00:00,"7440-22-4","T",NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04182018-WS","R1803554","Sodium",2018-04-18 00:00:00,"7440-23-5","T",7650,"ug/l",44,"ug/l",1000,"","A","",2020-05-12
