"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","ALKALINITY, TOTAL (AS CaCO3)",2018-07-17 16:00:00,"ALK","T",34.8,"mg/l",1,"mg/l",2,"","A","",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Aluminum",2018-07-17 16:00:00,"7429-90-5","T",61.6,"ug/l",2.3,"ug/l",10,"","A","",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Arsenic",2018-07-17 16:00:00,"7440-38-2","T",NA,"ug/l",0.39,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Cadmium",2018-07-17 16:00:00,"7440-43-9","T",0.11,"ug/l",0.064,"ug/l",1,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Calcium",2018-07-17 16:00:00,"7440-70-2","T",10900,"ug/l",110,"ug/l",1000,"","A","",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","CHLORIDE (AS CL)",2018-07-17 16:00:00,"16887-00-6","T",31.4,"mg/l",0.2,"mg/l",2,"","A","",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Copper",2018-07-17 16:00:00,"7440-50-8","T",NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","HARDNESS (AS CACO3)",2018-07-17 16:00:00,"HARD","T",42.3,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Iron",2018-07-17 16:00:00,"7439-89-6","T",459,"ug/l",13,"ug/l",100,"","A","",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Lead",2018-07-17 16:00:00,"7439-92-1","T",0.84,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Magnesium",2018-07-17 16:00:00,"7439-95-4","T",3640,"ug/l",29,"ug/l",1000,"","A","",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Nickel",2018-07-17 16:00:00,"7440-02-0","T",NA,"ug/l",0.26,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Nitrate+Nitrite as Nitrogen",2018-07-17 16:00:00,"NO3NO2N","T",0.0323,"mg/l",7e-04,"mg/l",0.002,"","A","",2020-05-12
"RIBS_Screening_-_Champlain","10-ALDE-0.7","N","10-ALDE-0.7-07172018-WS","R1806798","Nitrogen",2018-07-17 16:00:00,"KN","T",0.28,"mg/l",NA,"mg/l",0.1,"","A","",2020-05-12
