"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","ALKALINITY, TOTAL (AS CaCO3)",2018-08-07 16:00:00,"ALK","T",41.6,"mg/l",1,"mg/l",2,"","A","",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","Aluminum",2018-08-07 16:00:00,"7429-90-5","T",53.8,"ug/l",2.3,"ug/l",10,"","A","",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","Arsenic",2018-08-07 16:00:00,"7440-38-2","T",NA,"ug/l",0.39,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","Cadmium",2018-08-07 16:00:00,"7440-43-9","T",NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","Calcium",2018-08-07 16:00:00,"7440-70-2","T",13800,"ug/l",110,"ug/l",1000,"","A","",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","CHLORIDE (AS CL)",2018-08-07 16:00:00,"16887-00-6","T",8.7,"mg/l",0.2,"mg/l",2,"","R","Accuracy error",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","Copper",2018-08-07 16:00:00,"7440-50-8","T",NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","HARDNESS (AS CACO3)",2018-08-07 16:00:00,"HARD","T",45.6,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","Iron",2018-08-07 16:00:00,"7439-89-6","T",81.8,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error",2020-05-12
"RIBS_Screening_-_Susquehanna","06-ABEL-0.2","N","06-ABEL-0.2-08072018-WS","R1807461","Lead",2018-08-07 16:00:00,"7439-92-1","T",0.19,"ug/l",0.067,"ug/l",1,"J","J","estimated value due to lab error",2020-05-12
