"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","ALKALINITY, TOTAL (AS CaCO3)",2019-06-20 08:15:00,"ALK","T",103,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Aluminum",2019-06-20 08:15:00,"7429-90-5","T",20900,"ug/l",20,"ug/l",100,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Arsenic",2019-06-20 08:15:00,"7440-38-2","T",6.3,"ug/l",0.32,"ug/l",1,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Cadmium",2019-06-20 08:15:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Calcium",2019-06-20 08:15:00,"7440-70-2","T",73600,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","CHLORIDE (AS CL)",2019-06-20 08:15:00,"16887-00-6","T",10.5,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Copper",2019-06-20 08:15:00,"7440-50-8","T",31.5,"ug/l",0.66,"ug/l",1,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","HARDNESS (AS CACO3)",2019-06-20 08:15:00,"HARD","T",297,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Iron",2019-06-20 08:15:00,"7439-89-6","T",43200,"ug/l",13,"ug/l",100,"","R","Accuracy error",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Lead",2019-06-20 08:15:00,"7439-92-1","T",21.4,"ug/l",0.57,"ug/l",1,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Magnesium",2019-06-20 08:15:00,"7439-95-4","T",27600,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
"Finger Lakes RAS","07-EGGL-0.2","N","07-EGGL-0.2-06202019-W","R1905830","Nickel",2019-06-20 08:15:00,"7440-02-0","T",45.1,"ug/l",0.26,"ug/l",1,"","A","",2020-05-11
