"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","ALKALINITY, TOTAL (AS CaCO3)",2019-07-17 12:10:00,"ALK","T",80.4,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","CHLORIDE (AS CL)",2019-07-17 12:10:00,"16887-00-6","T",14.5,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","Copper",2019-07-17 12:10:00,"7440-50-8","T",1.2,"ug/l",0.66,"ug/l",1,"","A","",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","Lead",2019-07-17 12:10:00,"7439-92-1","T",0.89,"ug/l",0.57,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","Nitrate+Nitrite as Nitrogen",2019-07-17 12:10:00,"NO3NO2N","T",5.59,"mg/l",0.015,"mg/l",0.02,"","A","",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","Nitrogen, ammonia (As N)",2019-07-17 12:10:00,"7664-41-7","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Accuracy error",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","NITROGEN, NITRATE (AS N)",2019-07-17 12:10:00,"14797-55-8","T",5.59,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","NITROGEN, NITRITE",2019-07-17 12:10:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","PHOSPHORUS, TOTAL (AS P)",2019-07-17 12:10:00,"7723-14-0","T",0.0381,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Habitat","04-COHO_T41-0.1","N","04-COHO_T41-0.1-07172019-W","R1906688","TOTAL ORGANIC CARBON",2019-07-17 12:10:00,"TOC","T",1.6,"mg/l",0.5,"mg/l",1,"","A","",2020-05-11
