"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","ALKALINITY, TOTAL (AS CaCO3)",2019-07-02 09:45:00,"ALK","T",122,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Aluminum",2019-07-02 09:45:00,"7429-90-5","T",271,"ug/l",2.3,"ug/l",10,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Arsenic",2019-07-02 09:45:00,"7440-38-2","T",0.54,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Cadmium",2019-07-02 09:45:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Calcium",2019-07-02 09:45:00,"7440-70-2","T",40400,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","CHLORIDE (AS CL)",2019-07-02 09:45:00,"16887-00-6","T",53.2,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Chlorophyll A",2019-07-02 09:45:00,"479-61-8","T",1.15,"ug/l",NA,"ug/l",0.065,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Copper",2019-07-02 09:45:00,"7440-50-8","T",1.3,"ug/l",0.66,"ug/l",1,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","HARDNESS (AS CACO3)",2019-07-02 09:45:00,"HARD","T",145,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Iron",2019-07-02 09:45:00,"7439-89-6","T",501,"ug/l",13,"ug/l",100,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Lead",2019-07-02 09:45:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Magnesium",2019-07-02 09:45:00,"7439-95-4","T",10800,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Nickel",2019-07-02 09:45:00,"7440-02-0","T",1.2,"ug/l",0.26,"ug/l",1,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Nitrate+Nitrite as Nitrogen",2019-07-02 09:45:00,"NO3NO2N","T",0.461,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Nitrogen",2019-07-02 09:45:00,"KN","T",0.86,"mg/l",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Nitrogen, ammonia (As N)",2019-07-02 09:45:00,"7664-41-7","T",0.005,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","NITROGEN, KJELDAHL, TOTAL",2019-07-02 09:45:00,"KN","T",0.4,"mg/l",0.1,"mg/l",0.1,"","T","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","NITROGEN, NITRATE (AS N)",2019-07-02 09:45:00,"14797-55-8","T",0.461,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","NITROGEN, NITRITE",2019-07-02 09:45:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","PHOSPHORUS, TOTAL (AS P)",2019-07-02 09:45:00,"7723-14-0","T",0.035,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Silver",2019-07-02 09:45:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","TURBIDITY",2019-07-02 09:45:00,"TURB","T",14.1,"ntu",0.06,"ntu",1,"","J","estimated value due to Equipment Blank error",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-07022019-W","R1906233","Zinc",2019-07-02 09:45:00,"7440-66-6","T",NA,"ug/l",2.5,"ug/l",5,"UN","R","lab error",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-08052019-W","R1907352","ALKALINITY, TOTAL (AS CaCO3)",2019-08-05 09:00:00,"ALK","T",100,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-08052019-W","R1907352","Aluminum",2019-08-05 09:00:00,"7429-90-5","T",177,"ug/l",2.3,"ug/l",10,"","A","",2020-05-11
"Halfway Cr RAS","10-HALF-0.1","N","10-HALF-0.1-08052019-W","R1907352","Arsenic",2019-08-05 09:00:00,"7440-38-2","T",0.9,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
