"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Bromodichloromethane",2019-06-20 16:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Bromoform",2019-06-20 16:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Chloroform",2019-06-20 16:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Chlorophyll A",2019-06-20 16:00:00,"479-61-8","T",1.93,"ug/l",NA,"ug/l",0.16,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","3041694","Dibromoacetic Acid",2019-06-20 16:00:00,"631-64-1","T",NA,"ug/l",1,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Dibromochloromethane",2019-06-20 16:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","3041694","DICHLOROACETIC ACID",2019-06-20 16:00:00,"79-43-6","T",NA,"ug/l",1,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","3041694","Monobromoacetic Acid",2019-06-20 16:00:00,"79-08-3","T",NA,"ug/l",1,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","3041694","Monochloroacetic Acid",2019-06-20 16:00:00,"79-11-8","T",NA,"ug/l",2,"ug/l",2,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Nitrate+Nitrite as Nitrogen",2019-06-20 16:00:00,"NO3NO2N","T",0.332,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Nitrogen",2019-06-20 16:00:00,"KN","T",0.71,"mg/l",NA,"mg/l",0.1,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Nitrogen, ammonia (As N)",2019-06-20 16:00:00,"7664-41-7","T",0.0788,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","NITROGEN, KJELDAHL, TOTAL",2019-06-20 16:00:00,"KN","T",0.38,"mg/l",0.1,"mg/l",0.1,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","NITROGEN, NITRATE (AS N)",2019-06-20 16:00:00,"14797-55-8","T",0.302,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","NITROGEN, NITRITE",2019-06-20 16:00:00,"14797-65-0","T",0.03,"mg/l",0.007,"mg/l",0.01,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","Orthophosphate as Phosphorus, Dissolved",2019-06-20 16:00:00,"PDORTHO","D",0.0075,"mg/l",0.0049,"mg/l",0.005,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","PHOSPHORUS, TOTAL (AS P)",2019-06-20 16:00:00,"7723-14-0","T",0.0267,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","3041694","Trichloroacetic Acid",2019-06-20 16:00:00,"76-03-9","T",NA,"ug/l",1,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06202019-W","R1905832","TURBIDITY",2019-06-20 16:00:00,"TURB","T",9.34,"ntu",0.06,"ntu",1,"","A","",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06252019-W","R1905966","Bromodichloromethane",2019-06-25 15:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06252019-W","R1905966","Bromoform",2019-06-25 15:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06252019-W","R1905966","Chloroform",2019-06-25 15:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - DBP","11-UHUD-2.7","N","11-UHUD-2.7-06252019-W","R1905966","Chlorophyll A",2019-06-25 15:00:00,"479-61-8","T",1.23,"ug/l",NA,"ug/l",0.071,"","A","",2020-05-11
