"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","Chlorophyll A",2019-11-04 09:30:00,"479-61-8","T",0.507,"ug/l",NA,"ug/l",0.042,"","A","",2020-05-11
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","Nitrate+Nitrite as Nitrogen",2019-11-04 09:30:00,"NO3NO2N","T",0.891,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-05-11
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","Nitrogen",2019-11-04 09:30:00,"7727-37-9","T",0.96,"mg/l",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",2020-05-11
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","Nitrogen, ammonia (As N)",2019-11-04 09:30:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","NITROGEN, KJELDAHL, TOTAL",2019-11-04 09:30:00,"KN","T",NA,"mg/l",0.1,"mg/l",0.1,"U","R","Analyte was analyzed for but not detected ; Precision error",2020-05-11
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","NITROGEN, NITRATE (AS N)",2019-11-04 09:30:00,"14797-55-8","T",0.891,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-11
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","NITROGEN, NITRITE",2019-11-04 09:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","Orthophosphate as Phosphorus, Dissolved",2019-11-04 09:30:00,"PDORTHO","D",0.0135,"mg/l",0.0049,"mg/l",0.005,"","A","",2020-05-11
"Mohawk - LENS","12-OTSQ-0.2","Y","02-OTSQ-0.2-11042019-W","R1910785","PHOSPHORUS, TOTAL (AS P)",2019-11-04 09:30:00,"7723-14-0","T",0.0208,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Mohawk - LENS","12-CANW-72.3","N","12-CANW-72.3-05072019-W","R1904063","Chlorophyll A",2019-05-07 12:00:00,"479-61-8","T",0.743,"ug/l",NA,"ug/l",0.056,"","A","",2020-05-11
