"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","ALKALINITY, TOTAL (AS CaCO3)",2019-06-19 11:30:00,"ALK","T",196,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Aluminum",2019-06-19 11:30:00,"7429-90-5","T",219,"ug/l",2.3,"ug/l",10,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Arsenic",2019-06-19 11:30:00,"7440-38-2","T",0.77,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Cadmium",2019-06-19 11:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Calcium",2019-06-19 11:30:00,"7440-70-2","T",111000,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Carbon, Dissolved Organic (DOC)",2019-06-19 11:30:00,"DOC","D",6.2,"mg/l",0.5,"mg/l",1,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","CHLORIDE (AS CL)",2019-06-19 11:30:00,"16887-00-6","T",68.8,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Chlorophyll A",2019-06-19 11:30:00,"479-61-8","T",1.54,"ug/l",NA,"ug/l",0.098,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Copper",2019-06-19 11:30:00,"7440-50-8","T",1.8,"ug/l",0.66,"ug/l",1,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","HARDNESS (AS CACO3)",2019-06-19 11:30:00,"HARD","T",364,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Iron",2019-06-19 11:30:00,"7439-89-6","T",600,"ug/l",13,"ug/l",100,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Lead",2019-06-19 11:30:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Magnesium",2019-06-19 11:30:00,"7439-95-4","T",21300,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Nickel",2019-06-19 11:30:00,"7440-02-0","T",1.8,"ug/l",0.26,"ug/l",1,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Nitrate+Nitrite as Nitrogen",2019-06-19 11:30:00,"NO3NO2N","T",0.719,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Nitrogen",2019-06-19 11:30:00,"KN","T",1.2,"mg/l",NA,"mg/l",0.1,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Nitrogen, ammonia (As N)",2019-06-19 11:30:00,"7664-41-7","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","NITROGEN, KJELDAHL, TOTAL",2019-06-19 11:30:00,"KN","T",0.48,"mg/l",0.1,"mg/l",0.1,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","NITROGEN, NITRATE (AS N)",2019-06-19 11:30:00,"14797-55-8","T",0.719,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","NITROGEN, NITRITE",2019-06-19 11:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Orthophosphate as Phosphorus, Dissolved",2019-06-19 11:30:00,"PDORTHO","D",0.0172,"mg/l",0.0049,"mg/l",0.005,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","PHOSPHORUS, TOTAL (AS P)",2019-06-19 11:30:00,"7723-14-0","T",0.0446,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Oneida RAS","07-CHIT-3.4","N","07-CHIT-3.4-06192019-W","R1905772","Silver",2019-06-19 11:30:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
