"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","ALKALINITY, TOTAL (AS CaCO3)",2019-07-09 09:15:00,"ALK","T",197,"mg/l",1.8,"mg/l",2,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Aluminum",2019-07-09 09:15:00,"7429-90-5","T",74.3,"ug/l",2.3,"ug/l",10,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Arsenic",2019-07-09 09:15:00,"7440-38-2","T",1.2,"ug/l",0.32,"ug/l",1,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Cadmium",2019-07-09 09:15:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Calcium",2019-07-09 09:15:00,"7440-70-2","T",88600,"ug/l",110,"ug/l",1000,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","CHLORIDE (AS CL)",2019-07-09 09:15:00,"16887-00-6","T",308,"mg/l",1.7,"mg/l",8,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Chlorophyll A",2019-07-09 09:15:00,"479-61-8","T",8.27,"ug/l",NA,"ug/l",0.5,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Copper",2019-07-09 09:15:00,"7440-50-8","T",3.8,"ug/l",0.66,"ug/l",1,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","HARDNESS (AS CACO3)",2019-07-09 09:15:00,"HARD","T",287,"mg/l",NA,"mg/l",6.62,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Iron",2019-07-09 09:15:00,"7439-89-6","T",398,"ug/l",13,"ug/l",100,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Lead",2019-07-09 09:15:00,"7439-92-1","T",1.4,"ug/l",0.57,"ug/l",1,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Magnesium",2019-07-09 09:15:00,"7439-95-4","T",15900,"ug/l",68,"ug/l",1000,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Nickel",2019-07-09 09:15:00,"7440-02-0","T",2,"ug/l",0.26,"ug/l",1,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Nitrate+Nitrite as Nitrogen",2019-07-09 09:15:00,"NO3NO2N","T",0.566,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Nitrogen",2019-07-09 09:15:00,"KN","T",1.07,"mg/l",NA,"mg/l",0.1,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Nitrogen, ammonia (As N)",2019-07-09 09:15:00,"7664-41-7","T",0.0072,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","NITROGEN, KJELDAHL, TOTAL",2019-07-09 09:15:00,"KN","T",0.5,"mg/l",0.1,"mg/l",0.1,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","NITROGEN, NITRATE (AS N)",2019-07-09 09:15:00,"14797-55-8","T",0.556,"mg/l",NA,"mg/l",0.01,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","NITROGEN, NITRITE",2019-07-09 09:15:00,"14797-65-0","T",0.01,"mg/l",0.007,"mg/l",0.01,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","PHOSPHORUS, TOTAL (AS P)",2019-07-09 09:15:00,"7723-14-0","T",0.0372,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Silver",2019-07-09 09:15:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","TURBIDITY",2019-07-09 09:15:00,"TURB","T",6.63,"ntu",0.06,"ntu",1,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-07092019-W","R1906403","Zinc",2019-07-09 09:15:00,"7440-66-6","T",3.5,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-08152019-W","R1907865","ALKALINITY, TOTAL (AS CaCO3)",2019-08-15 10:15:00,"ALK","T",207,"mg/l",1.8,"mg/l",2,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-08152019-W","R1907865","Aluminum",2019-08-15 10:15:00,"7429-90-5","T",50.9,"ug/l",2.3,"ug/l",10,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-08152019-W","R1907865","Arsenic",2019-08-15 10:15:00,"7440-38-2","T",1.1,"ug/l",0.32,"ug/l",1,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-08152019-W","R1907865","Cadmium",2019-08-15 10:15:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-08152019-W","R1907865","Calcium",2019-08-15 10:15:00,"7440-70-2","T",1e+05,"ug/l",110,"ug/l",1000,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-08152019-W","R1907865","CHLORIDE (AS CL)",2019-08-15 10:15:00,"16887-00-6","T",310,"mg/l",5,"mg/l",20,"","A","",2020-06-11
"PATROONS_CR_RAS","13-PATS-0.5","N","13-PATS-0.5-08152019-W","R1907865","Chlorophyll A",2019-08-15 10:15:00,"479-61-8","T",3.14,"ug/l",NA,"ug/l",0.17,"","A","",2020-06-11
