"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","ALKALINITY, TOTAL (AS CaCO3)",2019-04-16 00:00:00,"ALK","T",23.2,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Aluminum",2019-04-16 00:00:00,"7429-90-5","D",30.4,"ug/l",2.3,"ug/l",10,"","R","Precision error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Arsenic",2019-04-16 00:00:00,"7440-38-2","T",0.38,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Cadmium",2019-04-16 00:00:00,"7440-43-9","D",0.54,"ug/l",0.38,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Calcium",2019-04-16 00:00:00,"7440-70-2","T",8290,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Carbon, Dissolved Organic (DOC)",2019-04-16 00:00:00,"DOC","D",3.3,"mg/l",0.5,"mg/l",1,"","R","Equipment Blank error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","CHLORIDE (AS CL)",2019-04-16 00:00:00,"16887-00-6","T",11.3,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Chlorophyll A",2019-04-16 00:00:00,"479-61-8","T",7.36,"ug/l",NA,"ug/l",0.22,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Copper",2019-04-16 00:00:00,"7440-50-8","D",0.82,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Fluoride, undistilled",2019-04-16 00:00:00,"16984-48-8","T",NA,"mg/l",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","HARDNESS (AS CACO3)",2019-04-16 00:00:00,"HARD","T",27.5,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Iron",2019-04-16 00:00:00,"7439-89-6","T",270,"ug/l",13,"ug/l",100,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Lead",2019-04-16 00:00:00,"7439-92-1","D",0.63,"ug/l",0.57,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Magnesium",2019-04-16 00:00:00,"7439-95-4","T",1650,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Manganese",2019-04-16 00:00:00,"7439-96-5","T",37.9,"ug/l",1.7,"ug/l",10,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Nickel",2019-04-16 00:00:00,"7440-02-0","D",0.55,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Nitrate+Nitrite as Nitrogen",2019-04-16 00:00:00,"NO3NO2N","T",0.0738,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Nitrogen",2019-04-16 00:00:00,"KN","T",0.33,"mg/l",NA,"mg/l",0.1,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Nitrogen, ammonia (As N)",2019-04-16 00:00:00,"7664-41-7","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","R","Analyte was analyzed for but not detected ; Precision error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","NITROGEN, KJELDAHL, TOTAL",2019-04-16 00:00:00,"KN","T",0.25,"mg/l",0.1,"mg/l",0.1,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","NITROGEN, NITRATE (AS N)",2019-04-16 00:00:00,"14797-55-8","T",0.074,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","NITROGEN, NITRITE",2019-04-16 00:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Orthophosphate as Phosphorus, Dissolved",2019-04-16 00:00:00,"PDORTHO","D",0.0057,"mg/l",0.0049,"mg/l",0.005,"","R","Equipment Blank error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","PHOSPHORUS, TOTAL (AS P)",2019-04-16 00:00:00,"7723-14-0","T",0.0168,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Potassium",2019-04-16 00:00:00,"7440-09-7","T",571,"ug/l",180,"ug/l",2000,"J","J","estimated value due to lab error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Silver",2019-04-16 00:00:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","Sodium",2019-04-16 00:00:00,"7440-23-5","T",7060,"ug/l",100,"ug/l",1000,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","SULFATE (AS SO4)",2019-04-16 00:00:00,"14808-79-8","T",5.41,"mg/l",0.04,"mg/l",0.2,"","A","",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",2019-04-16 00:00:00,"TDS","T",63,"mg/l",9,"mg/l",10,"","R","Equipment Blank error",2020-05-11
"Routine_R3","13-ROND-9.9","N","13-ROND-9.9-04162019-WS","R1903340","TURBIDITY",2019-04-16 00:00:00,"TURB","T",6.15,"ntu",0.06,"ntu",1,"","A","",2020-05-11
