"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","ALKALINITY, TOTAL (AS CaCO3)",2019-08-20 10:30:00,"ALK","T",25.6,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Aluminum",2019-08-20 10:30:00,"7429-90-5","T",59.7,"ug/l",2.3,"ug/l",10,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Arsenic",2019-08-20 10:30:00,"7440-38-2","T",0.37,"ug/l",0.32,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Cadmium",2019-08-20 10:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Calcium",2019-08-20 10:30:00,"7440-70-2","T",8830,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","CHLORIDE (AS CL)",2019-08-20 10:30:00,"16887-00-6","T",26.8,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Copper",2019-08-20 10:30:00,"7440-50-8","T",0.99,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","HARDNESS (AS CACO3)",2019-08-20 10:30:00,"HARD","T",27.9,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Iron",2019-08-20 10:30:00,"7439-89-6","T",220,"ug/l",13,"ug/l",100,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Lead",2019-08-20 10:30:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Magnesium",2019-08-20 10:30:00,"7439-95-4","T",1420,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Nickel",2019-08-20 10:30:00,"7440-02-0","T",0.73,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Nitrate+Nitrite as Nitrogen",2019-08-20 10:30:00,"NO3NO2N","T",0.136,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Nitrogen",2019-08-20 10:30:00,"7727-37-9","T",0.49,"mg/l",NA,"mg/l",0.1,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Nitrogen, ammonia (As N)",2019-08-20 10:30:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","NITROGEN, KJELDAHL, TOTAL",2019-08-20 10:30:00,"KN","T",0.36,"mg/l",0.1,"mg/l",0.1,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","NITROGEN, NITRATE (AS N)",2019-08-20 10:30:00,"14797-55-8","T",0.136,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","NITROGEN, NITRITE",2019-08-20 10:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","PHOSPHORUS, TOTAL (AS P)",2019-08-20 10:30:00,"7723-14-0","T",0.0361,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Silver",2019-08-20 10:30:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","TURBIDITY",2019-08-20 10:30:00,"TURB","T",2.98,"ntu",0.06,"ntu",1,"","A","",2020-05-11
"Screening - Delaware","13-SDBG-9.8","N","13-SDBG-9.8-08202019-W","R1907964","Zinc",2019-08-20 10:30:00,"7440-66-6","T",2.6,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","ALKALINITY, TOTAL (AS CaCO3)",2019-08-20 13:15:00,"ALK","T",10.4,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Aluminum",2019-08-20 13:15:00,"7429-90-5","T",29,"ug/l",2.3,"ug/l",10,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Arsenic",2019-08-20 13:15:00,"7440-38-2","T",0.4,"ug/l",0.32,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Cadmium",2019-08-20 13:15:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Calcium",2019-08-20 13:15:00,"7440-70-2","T",7990,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","CHLORIDE (AS CL)",2019-08-20 13:15:00,"16887-00-6","T",53.5,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Copper",2019-08-20 13:15:00,"7440-50-8","T",1,"ug/l",0.66,"ug/l",1,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","HARDNESS (AS CACO3)",2019-08-20 13:15:00,"HARD","T",26.2,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Iron",2019-08-20 13:15:00,"7439-89-6","T",453,"ug/l",13,"ug/l",100,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Lead",2019-08-20 13:15:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Magnesium",2019-08-20 13:15:00,"7439-95-4","T",1510,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Nickel",2019-08-20 13:15:00,"7440-02-0","T",0.6,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Nitrate+Nitrite as Nitrogen",2019-08-20 13:15:00,"NO3NO2N","T",0.0267,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Nitrogen",2019-08-20 13:15:00,"7727-37-9","T",0.37,"mg/l",NA,"mg/l",0.1,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Nitrogen, ammonia (As N)",2019-08-20 13:15:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","NITROGEN, KJELDAHL, TOTAL",2019-08-20 13:15:00,"KN","T",0.34,"mg/l",0.1,"mg/l",0.1,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","NITROGEN, NITRATE (AS N)",2019-08-20 13:15:00,"14797-55-8","T",0.027,"mg/l",NA,"mg/l",0.01,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","NITROGEN, NITRITE",2019-08-20 13:15:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","PHOSPHORUS, TOTAL (AS P)",2019-08-20 13:15:00,"7723-14-0","T",0.0321,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Silver",2019-08-20 13:15:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","TURBIDITY",2019-08-20 13:15:00,"TURB","T",1.31,"ntu",0.06,"ntu",1,"","A","",2020-05-11
"Screening - Delaware","14-ANAW-0.4","N","14-ANAW-0.4-08202019-W","R1907964","Zinc",2019-08-20 13:15:00,"7440-66-6","T",2.7,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2020-05-11
"Screening - Delaware","14-BASK_N-1.7","N","14-BASK_N-1.7-08212019-W","R1907960","ALKALINITY, TOTAL (AS CaCO3)",2019-08-21 08:45:00,"ALK","T",30,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Screening - Delaware","14-BASK_N-1.7","N","14-BASK_N-1.7-08212019-W","R1907960","Aluminum",2019-08-21 08:45:00,"7429-90-5","T",21.5,"ug/l",2.3,"ug/l",10,"N","R","lab error",2020-05-11
"Screening - Delaware","14-BASK_N-1.7","N","14-BASK_N-1.7-08212019-W","R1907960","Arsenic",2019-08-21 08:45:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","14-BASK_N-1.7","N","14-BASK_N-1.7-08212019-W","R1907960","Cadmium",2019-08-21 08:45:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Delaware","14-BASK_N-1.7","N","14-BASK_N-1.7-08212019-W","R1907960","Calcium",2019-08-21 08:45:00,"7440-70-2","T",9400,"ug/l",110,"ug/l",1000,"E","J","estimated value due to lab error",2020-05-11
"Screening - Delaware","14-BASK_N-1.7","N","14-BASK_N-1.7-08212019-W","R1907960","CHLORIDE (AS CL)",2019-08-21 08:45:00,"16887-00-6","T",10,"mg/l",0.5,"mg/l",2,"","R","Precision error",2020-05-11
"Screening - Delaware","14-BASK_N-1.7","N","14-BASK_N-1.7-08212019-W","R1907960","Chlorophyll A",2019-08-21 08:45:00,"479-61-8","T",0.535,"ug/l",NA,"ug/l",0.038,"","A","",2020-05-11
