"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","ALKALINITY, TOTAL (AS CaCO3)",2019-07-25 12:30:00,"ALK","T",77.6,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Aluminum",2019-07-25 12:30:00,"7429-90-5","T",120,"ug/l",2.3,"ug/l",10,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Arsenic",2019-07-25 12:30:00,"7440-38-2","T",1.3,"ug/l",0.32,"ug/l",1,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Cadmium",2019-07-25 12:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Calcium",2019-07-25 12:30:00,"7440-70-2","T",24400,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","CHLORIDE (AS CL)",2019-07-25 12:30:00,"16887-00-6","T",14.9,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Chlorophyll A",2019-07-25 12:30:00,"479-61-8","T",2.37,"ug/l",NA,"ug/l",0.16,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Copper",2019-07-25 12:30:00,"7440-50-8","T",1,"ug/l",0.66,"ug/l",1,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","HARDNESS (AS CACO3)",2019-07-25 12:30:00,"HARD","T",79.8,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Iron",2019-07-25 12:30:00,"7439-89-6","T",359,"ug/l",13,"ug/l",100,"","A","",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Lead",2019-07-25 12:30:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - Genesee","04-ANGL-1.1","N","04-ANGL-1.1-072519-W","R1907037","Magnesium",2019-07-25 12:30:00,"7439-95-4","T",4580,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
