"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","ALKALINITY, TOTAL (AS CaCO3)",2019-09-11 13:45:00,"ALK","T",61,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Aluminum",2019-09-11 13:45:00,"7429-90-5","T",75.1,"ug/l",2.3,"ug/l",10,"","A","",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Arsenic",2019-09-11 13:45:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Cadmium",2019-09-11 13:45:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Calcium",2019-09-11 13:45:00,"7440-70-2","T",14300,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","CHLORIDE (AS CL)",2019-09-11 13:45:00,"16887-00-6","T",NA,"mg/l",0.5,"mg/l",2,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Chlorophyll A",2019-09-11 13:45:00,"479-61-8","T",0.676,"ug/l",NA,"ug/l",0.041,"","A","",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Copper",2019-09-11 13:45:00,"7440-50-8","T",NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","HARDNESS (AS CACO3)",2019-09-11 13:45:00,"HARD","T",59.8,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Iron",2019-09-11 13:45:00,"7439-89-6","T",489,"ug/l",13,"ug/l",100,"","A","",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Lead",2019-09-11 13:45:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Magnesium",2019-09-11 13:45:00,"7439-95-4","T",5810,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
"Screening - St. Lawrence","09-ALDM-0.8","N","09-ALDM-0.8-09112019-W","R1908762","Nickel",2019-09-11 13:45:00,"7440-02-0","T",0.27,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2020-05-11
