"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","ALKALINITY, TOTAL (AS CaCO3)",2019-06-26 10:00:00,"ALK","T",85.6,"mg/l",1.8,"mg/l",2,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Aluminum",2019-06-26 10:00:00,"7429-90-5","T",617,"ug/l",2.3,"ug/l",10,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Arsenic",2019-06-26 10:00:00,"7440-38-2","T",1.2,"ug/l",0.32,"ug/l",1,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Cadmium",2019-06-26 10:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Calcium",2019-06-26 10:00:00,"7440-70-2","T",32800,"ug/l",110,"ug/l",1000,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","CHLORIDE (AS CL)",2019-06-26 10:00:00,"16887-00-6","T",32.9,"mg/l",0.5,"mg/l",2,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Chlorophyll A",2019-06-26 10:00:00,"479-61-8","T",1.66,"ug/l",NA,"ug/l",0.22,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Copper",2019-06-26 10:00:00,"7440-50-8","T",2.4,"ug/l",0.66,"ug/l",1,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","HARDNESS (AS CACO3)",2019-06-26 10:00:00,"HARD","T",107,"mg/l",NA,"mg/l",6.62,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Iron",2019-06-26 10:00:00,"7439-89-6","T",1470,"ug/l",13,"ug/l",100,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Lead",2019-06-26 10:00:00,"7439-92-1","T",1.4,"ug/l",0.57,"ug/l",1,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Magnesium",2019-06-26 10:00:00,"7439-95-4","T",6030,"ug/l",68,"ug/l",1000,"","A","",2020-05-11
"Wallkill RAS","13-DWAR-2.0","N","13-DWAR-2.0-06262019-W","R1905963","Nickel",2019-06-26 10:00:00,"7440-02-0","T",1.9,"ug/l",0.26,"ug/l",1,"","A","",2020-05-11
