"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"04-GENS-2.6","N","N","ALSRNY","04-GENS-2.6-04282020-W","04-GENS-2.6-04282020-W","WS","N","Field","","R2003457","04/28/2020 13:00:00","04-GENS-2.6",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"04-RAGA-1.4","N","N","ALSRNY","04-RAGA-1.4-04282020-W","04-RAGA-1.4-04282020-W","WS","N","Field","","R2003457","04/28/2020 09:00:00","04-RAGA-1.4",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"03-NRUP-3.1","N","N","ALSRNY","03-NRUP-3.1-04282020-W","03-NRUP-3.1-04282020-W","WS","N","Field","","R2003457","04/28/2020 10:00:00","03-NRUP-3.1",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"03-NRUP-3.1","N","EB","ALSRNY","03-NRUP-3.1-04282020-W-EB","03-NRUP-3.1-04282020-W-EB","WS","N","Field","","R2003457","04/28/2020 11:00:00","03-NRUP-3.1",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-0.3","N","N","ALSRNY","07-KEUK-0.3-04282020-W","07-KEUK-0.3-04282020-W","WS","N","Field","","R2003457","04/28/2020 10:00:00","07-KEUK-0.3",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"07-KEUK-0.3","N","EB","ALSRNY","07-KEUK-0.3-04282020-W-EB","07-KEUK-0.3-04282020-W-EB","WS","N","Field","","R2003457","04/28/2020 10:00:00","07-KEUK-0.3",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"05-CDEA-1.8","N","N","ALSRNY","05-CDEA-1.8-04282020-W","05-CDEA-1.8-04282020-W","WS","N","Field","","R2003457","04/28/2020 13:00:00","05-CDEA-1.8",NA,NA,NA,NA,NA,"04/28/2020","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","679246-MB1","Method Blank","WQ","LB","Lab","","R2003457","05/05/2020 16:59:00","Method Blank",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678476-MB1","Method Blank","WQ","LB","Lab","","R2003457","04/28/2020 19:18:00","Method Blank",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","678791-MB1","Method Blank","WQ","LB","Lab","","R2003457","05/01/2020 20:30:00","Method Blank",NA,NA,NA,NA,NA,"","042720R8W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
