"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","ALKALINITY, TOTAL (AS CaCO3)",2020-07-29 11:00:00,"ALK","T",72.4,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Aluminum",2020-07-29 11:00:00,"7429-90-5","T",7,"ug/l",2.3,"ug/l",10,"J","R","estimated value due to lab error ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Arsenic",2020-07-29 11:00:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Cadmium",2020-07-29 11:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Calcium",2020-07-29 11:00:00,"7440-70-2","T",23300,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","CHLORIDE (AS CL)",2020-07-29 11:00:00,"16887-00-6","T",20.5,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Copper",2020-07-29 11:00:00,"7440-50-8","T",NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","HARDNESS (AS CACO3)",2020-07-29 11:00:00,"HARD","T",80.2,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Iron",2020-07-29 11:00:00,"7439-89-6","T",603,"ug/l",20,"ug/l",100,"","R","Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Lead",2020-07-29 11:00:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Magnesium",2020-07-29 11:00:00,"7439-95-4","T",5310,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Nickel",2020-07-29 11:00:00,"7440-02-0","T",0.32,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Nitrate+Nitrite as Nitrogen",2020-07-29 11:00:00,"NO3NO2N","T",0.0033,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Nitrogen",2020-07-29 11:00:00,"7727-37-9","T",1.01,"mg/l",NA,"mg/l",0.1,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Nitrogen, ammonia (As N)",2020-07-29 11:00:00,"7664-41-7","T",0.118,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","NITROGEN, KJELDAHL, TOTAL",2020-07-29 11:00:00,"KN","T",1,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","NITROGEN, NITRATE (AS N)",2020-07-29 11:00:00,"14797-55-8","T",NA,"mg/l",NA,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","NITROGEN, NITRITE",2020-07-29 11:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","PHOSPHORUS, TOTAL (AS P)",2020-07-29 11:00:00,"7723-14-0","T",0.13,"mg/l",0.018,"mg/l",0.025,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Silver",2020-07-29 11:00:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","TURBIDITY",2020-07-29 11:00:00,"TURB","T",3.8,"ntu",0.06,"ntu",1,"","R","Equipment Blank error ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-07292020-W","R2006750","Zinc",2020-07-29 11:00:00,"7440-66-6","T",15.2,"ug/l",2.5,"ug/l",5,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","ALKALINITY, TOTAL (AS CaCO3)",2020-08-12 11:00:00,"ALK","T",72.4,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Aluminum",2020-08-12 11:00:00,"7429-90-5","T",6.5,"ug/l",2.3,"ug/l",10,"J","R","estimated value due to lab error ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Arsenic",2020-08-12 11:00:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Cadmium",2020-08-12 11:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Calcium",2020-08-12 11:00:00,"7440-70-2","T",23900,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","CHLORIDE (AS CL)",2020-08-12 11:00:00,"16887-00-6","T",19.3,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Copper",2020-08-12 11:00:00,"7440-50-8","T",NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","HARDNESS (AS CACO3)",2020-08-12 11:00:00,"HARD","T",80.7,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Iron",2020-08-12 11:00:00,"7439-89-6","T",860,"ug/l",20,"ug/l",100,"","R","Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Lead",2020-08-12 11:00:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Magnesium",2020-08-12 11:00:00,"7439-95-4","T",5090,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Nickel",2020-08-12 11:00:00,"7440-02-0","T",0.34,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Nitrate+Nitrite as Nitrogen",2020-08-12 11:00:00,"NO3NO2N","T",0.005,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Nitrogen",2020-08-12 11:00:00,"7727-37-9","T",1.26,"mg/l",NA,"mg/l",0.1,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Nitrogen, ammonia (As N)",2020-08-12 11:00:00,"7664-41-7","T",0.156,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","NITROGEN, KJELDAHL, TOTAL",2020-08-12 11:00:00,"KN","T",1.25,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","NITROGEN, NITRATE (AS N)",2020-08-12 11:00:00,"14797-55-8","T",NA,"mg/l",NA,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","NITROGEN, NITRITE",2020-08-12 11:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","PHOSPHORUS, TOTAL (AS P)",2020-08-12 11:00:00,"7723-14-0","T",0.164,"mg/l",0.036,"mg/l",0.05,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Silver",2020-08-12 11:00:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","TURBIDITY",2020-08-12 11:00:00,"TURB","T",2.8,"ntu",0.06,"ntu",1,"","R","Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-08122020-W","R2007354","Zinc",2020-08-12 11:00:00,"7440-66-6","T",9.1,"ug/l",2.5,"ug/l",5,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","ALKALINITY, TOTAL (AS CaCO3)",2020-09-10 10:15:00,"ALK","T",76.4,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Aluminum",2020-09-10 10:15:00,"7429-90-5","T",8.6,"ug/l",2.3,"ug/l",10,"J","R","estimated value due to lab error ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Arsenic",2020-09-10 10:15:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Cadmium",2020-09-10 10:15:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Calcium",2020-09-10 10:15:00,"7440-70-2","T",26000,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","CHLORIDE (AS CL)",2020-09-10 10:15:00,"16887-00-6","T",20.5,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Copper",2020-09-10 10:15:00,"7440-50-8","T",NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","HARDNESS (AS CACO3)",2020-09-10 10:15:00,"HARD","T",87.9,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Iron",2020-09-10 10:15:00,"7439-89-6","T",623,"ug/l",20,"ug/l",100,"","R","Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Lead",2020-09-10 10:15:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Magnesium",2020-09-10 10:15:00,"7439-95-4","T",5590,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Nickel",2020-09-10 10:15:00,"7440-02-0","T",0.37,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Nitrate+Nitrite as Nitrogen",2020-09-10 10:15:00,"NO3NO2N","T",0.0031,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Nitrogen",2020-09-10 10:15:00,"7727-37-9","T",1.36,"mg/l",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Nitrogen, ammonia (As N)",2020-09-10 10:15:00,"7664-41-7","T",0.041,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","NITROGEN, KJELDAHL, TOTAL",2020-09-10 10:15:00,"KN","T",1.36,"mg/l",0.1,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","NITROGEN, NITRATE (AS N)",2020-09-10 10:15:00,"14797-55-8","T",NA,"mg/l",NA,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","NITROGEN, NITRITE",2020-09-10 10:15:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","PHOSPHORUS, TOTAL (AS P)",2020-09-10 10:15:00,"7723-14-0","T",0.128,"mg/l",0.018,"mg/l",0.025,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Silver",2020-09-10 10:15:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","TURBIDITY",2020-09-10 10:15:00,"TURB","T",3.8,"ntu",0.06,"ntu",1,"","R","low confidence in value due to Equipment Blank error ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-09102020-W","R2008394","Zinc",2020-09-10 10:15:00,"7440-66-6","T",4.5,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","ALKALINITY, TOTAL (AS CaCO3)",2020-10-14 11:00:00,"ALK","T",74.8,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Aluminum",2020-10-14 11:00:00,"7429-90-5","T",10.8,"ug/l",2.3,"ug/l",10,"","R","Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Arsenic",2020-10-14 11:00:00,"7440-38-2","T",0.44,"ug/l",0.32,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Cadmium",2020-10-14 11:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Calcium",2020-10-14 11:00:00,"7440-70-2","T",25300,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","CHLORIDE (AS CL)",2020-10-14 11:00:00,"16887-00-6","T",24.1,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Copper",2020-10-14 11:00:00,"7440-50-8","T",NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","HARDNESS (AS CACO3)",2020-10-14 11:00:00,"HARD","T",86.2,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Iron",2020-10-14 11:00:00,"7439-89-6","T",188,"ug/l",20,"ug/l",100,"","R","Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Lead",2020-10-14 11:00:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Magnesium",2020-10-14 11:00:00,"7439-95-4","T",5620,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Nickel",2020-10-14 11:00:00,"7440-02-0","T",0.37,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Nitrate+Nitrite as Nitrogen",2020-10-14 11:00:00,"NO3NO2N","T",0.0021,"mg/l",0.0015,"mg/l",0.002,"","R","Equipment Blank error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Nitrogen",2020-10-14 11:00:00,"7727-37-9","T",1.06,"mg/l",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Nitrogen, ammonia (As N)",2020-10-14 11:00:00,"7664-41-7","T",0.012,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","NITROGEN, KJELDAHL, TOTAL",2020-10-14 11:00:00,"KN","T",1.05,"mg/l",0.1,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","NITROGEN, NITRATE (AS N)",2020-10-14 11:00:00,"14797-55-8","T",NA,"mg/l",NA,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","NITROGEN, NITRITE",2020-10-14 11:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","PHOSPHORUS, TOTAL (AS P)",2020-10-14 11:00:00,"7723-14-0","T",0.0815,"mg/l",0.0036,"mg/l",0.005,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Silver",2020-10-14 11:00:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","TURBIDITY",2020-10-14 11:00:00,"TURB","T",6.1,"ntu",0.06,"ntu",1,"","R","Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-BLAH-4.2","N","09-BLAH-4.2-10142020-W","R2009708","Zinc",2020-10-14 11:00:00,"7440-66-6","T",2.9,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2021-04-13
"BLACK_LAKE_TRIBS","09-FSCR-1.0","N","09-FSCR-1.0-07292020-W","R2006750","ALKALINITY, TOTAL (AS CaCO3)",2020-07-29 09:00:00,"ALK","T",108,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"BLACK_LAKE_TRIBS","09-FSCR-1.0","N","09-FSCR-1.0-07292020-W","R2006750","Aluminum",2020-07-29 09:00:00,"7429-90-5","T",8.8,"ug/l",2.3,"ug/l",10,"J","R","estimated value due to lab error ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-FSCR-1.0","N","09-FSCR-1.0-07292020-W","R2006750","Arsenic",2020-07-29 09:00:00,"7440-38-2","T",0.47,"ug/l",0.32,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",2021-04-13
"BLACK_LAKE_TRIBS","09-FSCR-1.0","N","09-FSCR-1.0-07292020-W","R2006750","Cadmium",2020-07-29 09:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
