"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","ALKALINITY, TOTAL (AS CaCO3)",2020-06-01 09:00:00,"ALK","T",116,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","Aluminum",2020-06-01 09:00:00,"7429-90-5","T",33.2,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","Arsenic",2020-06-01 09:00:00,"7440-38-2","T",0.39,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","Cadmium",2020-06-01 09:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","Calcium",2020-06-01 09:00:00,"7440-70-2","T",41900,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","CHLORIDE (AS CL)",2020-06-01 09:00:00,"16887-00-6","T",9.7,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","Copper",2020-06-01 09:00:00,"7440-50-8","T",1.4,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","HARDNESS (AS CACO3)",2020-06-01 09:00:00,"HARD","T",149,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","Iron",2020-06-01 09:00:00,"7439-89-6","T",43.6,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error",2021-04-13
"CANANDAIGUA-KEUKA_RAS","07-EGGL-0.2","N","07-EGGL-0.2-06012020-W","R2004660","Lead",2020-06-01 09:00:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
