"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","ALKALINITY, TOTAL (AS CaCO3)",2020-06-23 09:30:00,"ALK","T",202,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","Aluminum",2020-06-23 09:30:00,"7429-90-5","T",176,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","Arsenic",2020-06-23 09:30:00,"7440-38-2","T",0.89,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","Cadmium",2020-06-23 09:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","Calcium",2020-06-23 09:30:00,"7440-70-2","T",137000,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","Carbon, Dissolved Organic (DOC)",2020-06-23 09:30:00,"DOC","D",2.8,"mg/l",0.5,"mg/l",1,"","A","",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","CHLORIDE (AS CL)",2020-06-23 09:30:00,"16887-00-6","T",86.1,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","Chlorophyll A",2020-06-23 09:30:00,"479-61-8","T",8.55,"ug/l",NA,"ug/l",0.4,"","A","",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","Copper",2020-06-23 09:30:00,"7440-50-8","T",1.9,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"ONEIDA_TRIBS_RAS","07-CHIT-3.4","N","07-CHIT-3.4-06232020-W","R2005383","HARDNESS (AS CACO3)",2020-06-23 09:30:00,"HARD","T",452,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
