"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","ALKALINITY, TOTAL (AS CaCO3)",2020-07-07 10:00:00,"ALK","T",163,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Aluminum",2020-07-07 10:00:00,"7429-90-5","T",119,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Arsenic",2020-07-07 10:00:00,"7440-38-2","T",0.58,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Cadmium",2020-07-07 10:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Calcium",2020-07-07 10:00:00,"7440-70-2","T",70300,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","CHLORIDE (AS CL)",2020-07-07 10:00:00,"16887-00-6","T",237,"mg/l",3,"mg/l",10,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Copper",2020-07-07 10:00:00,"7440-50-8","T",2.3,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","HARDNESS (AS CACO3)",2020-07-07 10:00:00,"HARD","T",233,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Iron",2020-07-07 10:00:00,"7439-89-6","T",604,"ug/l",20,"ug/l",100,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Lead",2020-07-07 10:00:00,"7439-92-1","T",1,"ug/l",0.57,"ug/l",1,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Magnesium",2020-07-07 10:00:00,"7439-95-4","T",14000,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Nickel",2020-07-07 10:00:00,"7440-02-0","T",1.6,"ug/l",0.26,"ug/l",1,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Nitrate+Nitrite as Nitrogen",2020-07-07 10:00:00,"NO3NO2N","T",0.451,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Nitrogen",2020-07-07 10:00:00,"7727-37-9","T",0.89,"mg/l",NA,"mg/l",0.1,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Nitrogen, ammonia (As N)",2020-07-07 10:00:00,"7664-41-7","T",0.031,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","NITROGEN, KJELDAHL, TOTAL",2020-07-07 10:00:00,"KN","T",0.44,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","NITROGEN, NITRATE (AS N)",2020-07-07 10:00:00,"14797-55-8","T",0.451,"mg/l",NA,"mg/l",0.01,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","NITROGEN, NITRITE",2020-07-07 10:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","PHOSPHORUS, TOTAL (AS P)",2020-07-07 10:00:00,"7723-14-0","T",0.0317,"mg/l",0.0036,"mg/l",0.005,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Silver",2020-07-07 10:00:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","TURBIDITY",2020-07-07 10:00:00,"TURB","T",8.1,"ntu",0.06,"ntu",1,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-0.5","N","13-PATS-0.5-07062020-W","R2005789","Zinc",2020-07-07 10:00:00,"7440-66-6","T",4.5,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-1.3","N","13-PATS-1.3-07062020-W","R2005789","ALKALINITY, TOTAL (AS CaCO3)",2020-07-07 11:30:00,"ALK","T",204,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-1.3","N","13-PATS-1.3-07062020-W","R2005789","Aluminum",2020-07-07 11:30:00,"7429-90-5","T",88.4,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-1.3","N","13-PATS-1.3-07062020-W","R2005789","Arsenic",2020-07-07 11:30:00,"7440-38-2","T",0.55,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-1.3","N","13-PATS-1.3-07062020-W","R2005789","Cadmium",2020-07-07 11:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-1.3","N","13-PATS-1.3-07062020-W","R2005789","Calcium",2020-07-07 11:30:00,"7440-70-2","T",87200,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"PATROONS_CREEK_RAS","13-PATS-1.3","N","13-PATS-1.3-07062020-W","R2005789","CHLORIDE (AS CL)",2020-07-07 11:30:00,"16887-00-6","T",293,"mg/l",3,"mg/l",10,"","A","",2021-04-13
