"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","ALKALINITY, TOTAL (AS CaCO3)",2020-06-03 14:00:00,"ALK","T",118,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Aluminum",2020-06-03 14:00:00,"7429-90-5","D",235,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Arsenic",2020-06-03 14:00:00,"7440-38-2","T",1.3,"ug/l",0.32,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Cadmium",2020-06-03 14:00:00,"7440-43-9","D",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Calcium",2020-06-03 14:00:00,"7440-70-2","T",55400,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Carbon, Dissolved Organic (DOC)",2020-06-03 14:00:00,"DOC","D",5.3,"mg/l",0.5,"mg/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","CHLORIDE (AS CL)",2020-06-03 14:00:00,"16887-00-6","T",503,"mg/l",5,"mg/l",20,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Copper",2020-06-03 14:00:00,"7440-50-8","D",4.4,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Copper",2020-06-03 14:00:00,"7440-50-8","T",4.4,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Fluoride, undistilled",2020-06-03 14:00:00,"16984-48-8","T",NA,"mg/l",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","HARDNESS (AS CACO3)",2020-06-03 14:00:00,"HARD","T",205,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Iron",2020-06-03 14:00:00,"7439-89-6","T",879,"ug/l",20,"ug/l",100,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Lead",2020-06-03 14:00:00,"7439-92-1","D",0.96,"ug/l",0.57,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Lead",2020-06-03 14:00:00,"7439-92-1","T",0.97,"ug/l",0.57,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Magnesium",2020-06-03 14:00:00,"7439-95-4","T",16200,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Manganese",2020-06-03 14:00:00,"7439-96-5","T",322,"ug/l",1.7,"ug/l",10,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Nickel",2020-06-03 14:00:00,"7440-02-0","D",3,"ug/l",0.26,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Nitrate+Nitrite as Nitrogen",2020-06-03 14:00:00,"NO3NO2N","T",4.83,"mg/l",0.008,"mg/l",0.01,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Nitrogen",2020-06-03 14:00:00,"7727-37-9","T",5.57,"mg/l",NA,"mg/l",0.1,"","R","Precision error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Nitrogen, ammonia (As N)",2020-06-03 14:00:00,"7664-41-7","T",0.065,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","NITROGEN, KJELDAHL, TOTAL",2020-06-03 14:00:00,"KN","T",0.74,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","NITROGEN, NITRATE (AS N)",2020-06-03 14:00:00,"14797-55-8","T",4.8,"mg/l",NA,"mg/l",0.01,"","R","Precision error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","NITROGEN, NITRITE",2020-06-03 14:00:00,"14797-65-0","T",0.029,"mg/l",0.007,"mg/l",0.01,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Orthophosphate as Phosphorus, Dissolved",2020-06-03 14:00:00,"PDORTHO","D",0.034,"mg/l",0.0049,"mg/l",0.005,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","PHOSPHORUS, TOTAL (AS P)",2020-06-03 14:00:00,"7723-14-0","T",0.0689,"mg/l",0.0036,"mg/l",0.005,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Potassium",2020-06-03 14:00:00,"7440-09-7","T",7930,"ug/l",180,"ug/l",2000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Silver",2020-06-03 14:00:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Sodium",2020-06-03 14:00:00,"7440-23-5","T",290000,"ug/l",1000,"ug/l",10000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","SULFATE (AS SO4)",2020-06-03 14:00:00,"14808-79-8","T",21.2,"mg/l",0.4,"mg/l",2,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",2020-06-03 14:00:00,"TDS","T",975,"mg/l",9,"mg/l",10,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","TURBIDITY",2020-06-03 14:00:00,"TURB","T",11.6,"ntu",0.06,"ntu",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Zinc",2020-06-03 14:00:00,"7440-66-6","D",5.7,"ug/l",2.5,"ug/l",5,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-16.8","Y","15-RAMA--16.8-06032020-W","R2004742","Zinc",2020-06-03 14:00:00,"7440-66-6","T",7.4,"ug/l",2.5,"ug/l",5,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","ALKALINITY, TOTAL (AS CaCO3)",2020-05-20 10:30:00,"ALK","T",44.8,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Aluminum",2020-05-20 10:30:00,"7429-90-5","D",10.7,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Arsenic",2020-05-20 10:30:00,"7440-38-2","T",0.39,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Cadmium",2020-05-20 10:30:00,"7440-43-9","D",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Calcium",2020-05-20 10:30:00,"7440-70-2","T",16700,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Carbon, Dissolved Organic (DOC)",2020-05-20 10:30:00,"DOC","D",3.6,"mg/l",0.5,"mg/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","CHLORIDE (AS CL)",2020-05-20 10:30:00,"16887-00-6","T",68.1,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Copper",2020-05-20 10:30:00,"7440-50-8","D",2,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Copper",2020-05-20 10:30:00,"7440-50-8","T",2.2,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","Fluoride, undistilled",2020-05-20 10:30:00,"16984-48-8","T",NA,"mg/l",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RAMAPO_RIVER_RAS","15-RAMA-1.1","N","15-RAMA-1.1-05202020-W","R2004284","HARDNESS (AS CACO3)",2020-05-20 10:30:00,"HARD","T",60.1,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
