"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","ALKALINITY, TOTAL (AS CaCO3)",2020-04-28 08:00:00,"ALK","T",37.2,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","Aluminum",2020-04-28 08:00:00,"7429-90-5","D",62.3,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","Arsenic",2020-04-28 08:00:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","Cadmium",2020-04-28 08:00:00,"7440-43-9","D",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","Calcium",2020-04-28 08:00:00,"7440-70-2","T",14400,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","Carbon, Dissolved Organic (DOC)",2020-04-28 08:00:00,"DOC","D",4.8,"mg/l",0.5,"mg/l",1,"","A","",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","CHLORIDE (AS CL)",2020-04-28 08:00:00,"16887-00-6","T",6.84,"mg/l",0.05,"mg/l",0.2,"","A","",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","Chlorophyll A",2020-04-28 08:00:00,"479-61-8","T",0.713,"ug/l",NA,"ug/l",0.039,"","A","",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","Copper",2020-04-28 08:00:00,"7440-50-8","D",6.4,"ug/l",0.66,"ug/l",1,"","R","Precision error",2021-04-13
"RIBS_ROUTINE_R6_GROUPED","08-BLCK-8.0","N","08-BLCK-8.0-04282020-W","R2003500","Fluoride, undistilled",2020-04-28 08:00:00,"16984-48-8","T",NA,"mg/l",0.01,"mg/l",0.1,"U","R","Analyte was analyzed for but not detected ; Precision error",2021-04-13
