"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","ALKALINITY, TOTAL (AS CaCO3)",2020-04-28 12:00:00,"ALK","T",19.2,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Aluminum",2020-04-28 12:00:00,"7429-90-5","D",28.1,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Arsenic",2020-04-28 12:00:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Cadmium",2020-04-28 12:00:00,"7440-43-9","D",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Calcium",2020-04-28 12:00:00,"7440-70-2","T",6360,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Carbon, Dissolved Organic (DOC)",2020-04-28 12:00:00,"DOC","D",2.9,"mg/l",0.5,"mg/l",1,"","A","",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","CHLORIDE (AS CL)",2020-04-28 12:00:00,"16887-00-6","T",1.56,"mg/l",0.05,"mg/l",0.2,"","A","",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Chlorophyll A",2020-04-28 12:00:00,"479-61-8","T",2.22,"ug/l",NA,"ug/l",0.077,"","A","",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Copper",2020-04-28 12:00:00,"7440-50-8","D",0.81,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Fluoride, undistilled",2020-04-28 12:00:00,"16984-48-8","T",NA,"mg/l",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","HARDNESS (AS CACO3)",2020-04-28 12:00:00,"HARD","T",22.7,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Iron",2020-04-28 12:00:00,"7439-89-6","T",97.9,"ug/l",13,"ug/l",100,"J","J","estimated value due to lab error",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Lead",2020-04-28 12:00:00,"7439-92-1","D",NA,"ug/l",0.57,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error",2021-04-13
"RIBS_ROUTINE_R7","03-SALM-12.0","N","03-SALM-12.0-04282020-W","R2003501","Magnesium",2020-04-28 12:00:00,"7439-95-4","T",1660,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
