"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","ALKALINITY, TOTAL (AS CaCO3)",2020-09-16 08:45:00,"ALK","T",98.8,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Aluminum",2020-09-16 08:45:00,"7429-90-5","T",70.5,"ug/l",2.3,"ug/l",10,"N","R","lab error",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Arsenic",2020-09-16 08:45:00,"7440-38-2","T",1.7,"ug/l",0.32,"ug/l",1,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Cadmium",2020-09-16 08:45:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Calcium",2020-09-16 08:45:00,"7440-70-2","T",35800,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","CHLORIDE (AS CL)",2020-09-16 08:45:00,"16887-00-6","T",42.8,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Copper",2020-09-16 08:45:00,"7440-50-8","T",2.6,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","HARDNESS (AS CACO3)",2020-09-16 08:45:00,"HARD","T",124,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Iron",2020-09-16 08:45:00,"7439-89-6","T",140,"ug/l",20,"ug/l",100,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Lead",2020-09-16 08:45:00,"7439-92-1","T",3.1,"ug/l",0.57,"ug/l",1,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Magnesium",2020-09-16 08:45:00,"7439-95-4","T",8370,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Nickel",2020-09-16 08:45:00,"7440-02-0","T",9.6,"ug/l",0.26,"ug/l",1,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Nitrate+Nitrite as Nitrogen",2020-09-16 08:45:00,"NO3NO2N","T",0.0804,"mg/l",0.0015,"mg/l",0.002,"","R","Precision error",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Nitrogen",2020-09-16 08:45:00,"7727-37-9","T",0.41,"mg/l",NA,"mg/l",0.1,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Nitrogen, ammonia (As N)",2020-09-16 08:45:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","NITROGEN, KJELDAHL, TOTAL",2020-09-16 08:45:00,"KN","T",0.33,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","NITROGEN, NITRATE (AS N)",2020-09-16 08:45:00,"14797-55-8","T",0.08,"mg/l",NA,"mg/l",0.01,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","NITROGEN, NITRITE",2020-09-16 08:45:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","PHOSPHORUS, TOTAL (AS P)",2020-09-16 08:45:00,"7723-14-0","T",0.0113,"mg/l",0.0036,"mg/l",0.005,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Silver",2020-09-16 08:45:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","TURBIDITY",2020-09-16 08:45:00,"TURB","T",8.9,"ntu",0.06,"ntu",1,"","R","Precision error",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BLAS-0.1","N","01-BLAS-0.1-09162020-W","R2008543","Zinc",2020-09-16 08:45:00,"7440-66-6","T",4.9,"ug/l",2.5,"ug/l",5,"J","J","estimated value due to lab error",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BSIS-2.0","N","01-BSIS-2.0-09152020-W","R2008541","ALKALINITY, TOTAL (AS CaCO3)",2020-09-15 15:15:00,"ALK","T",115,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BSIS-2.0","N","01-BSIS-2.0-09152020-W","R2008541","Aluminum",2020-09-15 15:15:00,"7429-90-5","T",26.3,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"SCREENING_ERIE-NIAGARA","01-BSIS-2.0","N","01-BSIS-2.0-09152020-W","R2008541","Arsenic",2020-09-15 15:15:00,"7440-38-2","T",0.82,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
