"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","ALKALINITY, TOTAL (AS CaCO3)",2020-07-14 10:45:00,"ALK","T",124,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Aluminum",2020-07-14 10:45:00,"7429-90-5","T",106,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Arsenic",2020-07-14 10:45:00,"7440-38-2","T",0.9,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Cadmium",2020-07-14 10:45:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Calcium",2020-07-14 10:45:00,"7440-70-2","T",39700,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","CHLORIDE (AS CL)",2020-07-14 10:45:00,"16887-00-6","T",28,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Copper",2020-07-14 10:45:00,"7440-50-8","T",0.99,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","HARDNESS (AS CACO3)",2020-07-14 10:45:00,"HARD","T",136,"mg/l",6.62,"mg/l",6.62,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Iron",2020-07-14 10:45:00,"7439-89-6","T",456,"ug/l",20,"ug/l",100,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Lead",2020-07-14 10:45:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Magnesium",2020-07-14 10:45:00,"7439-95-4","T",8880,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Nickel",2020-07-14 10:45:00,"7440-02-0","T",0.91,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Nitrate+Nitrite as Nitrogen",2020-07-14 10:45:00,"NO3NO2N","T",0.0989,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Nitrogen",2020-07-14 10:45:00,"7727-37-9","T",0.6,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Nitrogen, ammonia (As N)",2020-07-14 10:45:00,"7664-41-7","T",0.016,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","NITROGEN, KJELDAHL, TOTAL",2020-07-14 10:45:00,"KN","T",0.5,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","NITROGEN, NITRATE (AS N)",2020-07-14 10:45:00,"14797-55-8","T",0.099,"mg/l",0.01,"mg/l",0.01,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","NITROGEN, NITRITE",2020-07-14 10:45:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Precision error",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","PHOSPHORUS, TOTAL (AS P)",2020-07-14 10:45:00,"7723-14-0","T",0.0343,"mg/l",0.0036,"mg/l",0.005,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Silver",2020-07-14 10:45:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","TURBIDITY",2020-07-14 10:45:00,"TURB","T",2.9,"ntu",0.06,"ntu",1,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ALPL-16.1","N","12-ALPL-16.1-07142020-W","R2006089","Zinc",2020-07-14 10:45:00,"7440-66-6","T",NA,"ug/l",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","ALKALINITY, TOTAL (AS CaCO3)",2020-07-15 15:30:00,"ALK","T",14.4,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Aluminum",2020-07-15 15:30:00,"7429-90-5","T",120,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Arsenic",2020-07-15 15:30:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Cadmium",2020-07-15 15:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Calcium",2020-07-15 15:30:00,"7440-70-2","T",6170,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","CHLORIDE (AS CL)",2020-07-15 15:30:00,"16887-00-6","T",NA,"mg/l",0.5,"mg/l",2,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Copper",2020-07-15 15:30:00,"7440-50-8","T",1.1,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","HARDNESS (AS CACO3)",2020-07-15 15:30:00,"HARD","T",20.4,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Iron",2020-07-15 15:30:00,"7439-89-6","T",702,"ug/l",20,"ug/l",100,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Lead",2020-07-15 15:30:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Magnesium",2020-07-15 15:30:00,"7439-95-4","T",1210,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Nickel",2020-07-15 15:30:00,"7440-02-0","T",NA,"ug/l",0.26,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Nitrate+Nitrite as Nitrogen",2020-07-15 15:30:00,"NO3NO2N","T",0.115,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"SCREENING_MOHAWK","12-ASHC-2.8","N","12-ASHC-2.8-07152020-W","R2006090","Nitrogen",2020-07-15 15:30:00,"7727-37-9","T",0.36,"mg/l",NA,"mg/l",0.1,"","A","",2021-04-13
