"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","ALKALINITY, TOTAL (AS CaCO3)",2020-08-18 11:30:00,"ALK","T",73.6,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Aluminum",2020-08-18 11:30:00,"7429-90-5","T",96.6,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Arsenic",2020-08-18 11:30:00,"7440-38-2","T",NA,"ug/l",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Cadmium",2020-08-18 11:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Calcium",2020-08-18 11:30:00,"7440-70-2","T",25000,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","CHLORIDE (AS CL)",2020-08-18 11:30:00,"16887-00-6","T",3.5,"mg/l",0.5,"mg/l",2,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Copper",2020-08-18 11:30:00,"7440-50-8","T",NA,"ug/l",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","HARDNESS (AS CACO3)",2020-08-18 11:30:00,"HARD","T",80.2,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Iron",2020-08-18 11:30:00,"7439-89-6","T",173,"ug/l",20,"ug/l",100,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Lead",2020-08-18 11:30:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Magnesium",2020-08-18 11:30:00,"7439-95-4","T",4350,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Nickel",2020-08-18 11:30:00,"7440-02-0","T",0.41,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Nitrate+Nitrite as Nitrogen",2020-08-18 11:30:00,"NO3NO2N","T",0.251,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Nitrogen",2020-08-18 11:30:00,"7727-37-9","T",0.4,"mg/l",NA,"mg/l",0.1,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Nitrogen, ammonia (As N)",2020-08-18 11:30:00,"7664-41-7","T",0.019,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","NITROGEN, KJELDAHL, TOTAL",2020-08-18 11:30:00,"KN","T",0.15,"mg/l",0.1,"mg/l",0.1,"","R","Precision error",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","NITROGEN, NITRATE (AS N)",2020-08-18 11:30:00,"14797-55-8","T",0.251,"mg/l",NA,"mg/l",0.01,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","NITROGEN, NITRITE",2020-08-18 11:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","PHOSPHORUS, TOTAL (AS P)",2020-08-18 11:30:00,"7723-14-0","T",0.0208,"mg/l",0.0036,"mg/l",0.005,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Silver",2020-08-18 11:30:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","TURBIDITY",2020-08-18 11:30:00,"TURB","T",2.9,"ntu",0.06,"ntu",1,"","R","Precision error",2021-04-13
"SCREENING_ONTARIO","03-BARA-11.5","N","03-BARA-11.5-08182020-W","R2007434","Zinc",2020-08-18 11:30:00,"7440-66-6","T",NA,"ug/l",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ONTARIO","03-BEEK-4.5","N","03-BEEK-4.5-08182020-W","R2007452","ALKALINITY, TOTAL (AS CaCO3)",2020-08-18 13:10:00,"ALK","T",218,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BEEK-4.5","N","03-BEEK-4.5-08182020-W","R2007452","Aluminum",2020-08-18 13:10:00,"7429-90-5","T",24.8,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BEEK-4.5","N","03-BEEK-4.5-08182020-W","R2007452","Arsenic",2020-08-18 13:10:00,"7440-38-2","T",3.7,"ug/l",0.32,"ug/l",1,"","A","",2021-04-13
"SCREENING_ONTARIO","03-BEEK-4.5","N","03-BEEK-4.5-08182020-W","R2007452","Cadmium",2020-08-18 13:10:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"SCREENING_ONTARIO","03-BEEK-4.5","N","03-BEEK-4.5-08182020-W","R2007452","Calcium",2020-08-18 13:10:00,"7440-70-2","T",72200,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
