"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","ALKALINITY, TOTAL (AS CaCO3)",2020-07-07 11:10:00,"ALK","T",123,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Aluminum",2020-07-07 11:10:00,"7429-90-5","T",76,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Arsenic",2020-07-07 11:10:00,"7440-38-2","T",1.3,"ug/l",0.32,"ug/l",1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Cadmium",2020-07-07 11:10:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Calcium",2020-07-07 11:10:00,"7440-70-2","T",45500,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","CHLORIDE (AS CL)",2020-07-07 11:10:00,"16887-00-6","T",87.7,"mg/l",0.5,"mg/l",2,"","R","Accuracy error",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Copper",2020-07-07 11:10:00,"7440-50-8","T",2.7,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","HARDNESS (AS CACO3)",2020-07-07 11:10:00,"HARD","T",170,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Iron",2020-07-07 11:10:00,"7439-89-6","T",156,"ug/l",20,"ug/l",100,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Lead",2020-07-07 11:10:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Magnesium",2020-07-07 11:10:00,"7439-95-4","T",13800,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Nickel",2020-07-07 11:10:00,"7440-02-0","T",1.6,"ug/l",0.26,"ug/l",1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Nitrate+Nitrite as Nitrogen",2020-07-07 11:10:00,"NO3NO2N","T",1.22,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Nitrogen",2020-07-07 11:10:00,"7727-37-9","T",1.82,"mg/l",NA,"mg/l",0.1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Nitrogen, ammonia (As N)",2020-07-07 11:10:00,"7664-41-7","T",0.039,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","NITROGEN, KJELDAHL, TOTAL",2020-07-07 11:10:00,"KN","T",0.6,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","NITROGEN, NITRATE (AS N)",2020-07-07 11:10:00,"14797-55-8","T",1.21,"mg/l",NA,"mg/l",0.01,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","NITROGEN, NITRITE",2020-07-07 11:10:00,"14797-65-0","T",0.013,"mg/l",0.007,"mg/l",0.01,"","R","Holding Time error",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","PHOSPHORUS, TOTAL (AS P)",2020-07-07 11:10:00,"7723-14-0","T",0.19,"mg/l",0.018,"mg/l",0.025,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Silver",2020-07-07 11:10:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","TURBIDITY",2020-07-07 11:10:00,"TURB","T",3.6,"ntu",0.06,"ntu",1,"","R","Precision error ; Holding Time error",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-07072020-W","R2005906","Zinc",2020-07-07 11:10:00,"7440-66-6","T",NA,"ug/l",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","ALKALINITY, TOTAL (AS CaCO3)",2020-09-22 10:10:00,"ALK","T",139,"mg/l",1.8,"mg/l",2,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Aluminum",2020-09-22 10:10:00,"7429-90-5","T",29.2,"ug/l",2.3,"ug/l",10,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Arsenic",2020-09-22 10:10:00,"7440-38-2","T",1.3,"ug/l",0.32,"ug/l",1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Cadmium",2020-09-22 10:10:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Calcium",2020-09-22 10:10:00,"7440-70-2","T",48100,"ug/l",110,"ug/l",1000,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","CHLORIDE (AS CL)",2020-09-22 10:10:00,"16887-00-6","T",99,"mg/l",0.5,"mg/l",2,"","R","Accuracy error",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Copper",2020-09-22 10:10:00,"7440-50-8","T",3.9,"ug/l",0.66,"ug/l",1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","HARDNESS (AS CACO3)",2020-09-22 10:10:00,"HARD","T",176,"mg/l",NA,"mg/l",6.62,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Iron",2020-09-22 10:10:00,"7439-89-6","T",68.1,"ug/l",20,"ug/l",100,"J","J","estimated value due to lab error",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Lead",2020-09-22 10:10:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Magnesium",2020-09-22 10:10:00,"7439-95-4","T",13600,"ug/l",68,"ug/l",1000,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Nickel",2020-09-22 10:10:00,"7440-02-0","T",1.3,"ug/l",0.26,"ug/l",1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Nitrate+Nitrite as Nitrogen",2020-09-22 10:10:00,"NO3NO2N","T",1.47,"mg/l",0.0015,"mg/l",0.002,"","R","Accuracy error",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Nitrogen",2020-09-22 10:10:00,"7727-37-9","T",2.08,"mg/l",NA,"mg/l",0.1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","Nitrogen, ammonia (As N)",2020-09-22 10:10:00,"7664-41-7","T",0.013,"mg/l",0.003,"mg/l",0.01,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","NITROGEN, KJELDAHL, TOTAL",2020-09-22 10:10:00,"KN","T",0.61,"mg/l",0.1,"mg/l",0.1,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","NITROGEN, NITRATE (AS N)",2020-09-22 10:10:00,"14797-55-8","T",1.47,"mg/l",NA,"mg/l",0.01,"","A","",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","NITROGEN, NITRITE",2020-09-22 10:10:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-04-13
"WALLKILL_RAS","13-WALK-19.0","N","13-WALK-19.0-09222020-W","R2008779","PHOSPHORUS, TOTAL (AS P)",2020-09-22 10:10:00,"7723-14-0","T",0.149,"mg/l",0.018,"mg/l",0.025,"","A","",2021-04-13
