"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"2051-60-7","MONOCHLOROBIPHENYL, 2- (IUPAC 1)",939,NA,"TRG","Yes","Y","",NA,"",NA,38.7,NA,38.7,"pg/l","pg/l",NA,38.7,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"2051-61-8","Chlorobiphenyl, 3- (IUPAC 2)",165,NA,"TRG","Yes","Y","",NA,"",NA,51.9,NA,51.9,"pg/l","pg/l",NA,51.9,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"2051-62-9","Chlorobiphenyl, 4- (IUPAC 3)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,79,79,79,"pg/l","pg/l",NA,79,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"13029-08-8","Dichlorobiphenyl, 2,2'- (IUPAC 4)",9450,NA,"TRG","Yes","Y","",NA,"",NA,30.4,NA,30.4,"pg/l","pg/l",NA,30.4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"33146-45-1","Dichlorobiphenyl, 2,6- (IUPAC 10)",602,NA,"TRG","Yes","Y","",NA,"",NA,28.3,NA,47.8,"pg/l","pg/l",NA,28.3,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"34883-39-1","Dichlorobiphenyl, 2,5- (IUPAC 9)",101,NA,"TRG","Yes","Y","",NA,"",NA,30.8,NA,30.8,"pg/l","pg/l",NA,30.8,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"33284-50-3","Dichlorobiphenyl, 2,4- (IUPAC 7)",89.9,NA,"TRG","Yes","Y","",NA,"",NA,26.4,NA,26.4,"pg/l","pg/l",NA,26.4,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"25569-80-6","Dichlorobiphenyl, 2,3'- (IUPAC 6)",1020,NA,"TRG","Yes","Y","",NA,"",NA,28.8,NA,28.8,"pg/l","pg/l",NA,28.8,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"16605-91-7","DICHLOROBIPHENYL, 2,3- (IUPAC 5)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,33.4,33.4,33.4,"pg/l","pg/l",NA,33.4,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
"03EMIL-5.1_08142017_WS","E1668C","09/09/2017 16:34:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/25/2017 10:00:00",NA,NA,"ALSRNY","quant","R1707570-005",NA,1046,"mL",NA,NA,NA,NA,NA,NA,"34883-43-7","Dichlorobiphenyl, 2,4'- (IUPAC 8)",1220,NA,"TRG","Yes","Y","",NA,"",NA,25.7,NA,47.8,"pg/l","pg/l",NA,25.7,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1707570"
