"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"03-EMIL-5.1","Y","N","ALSRNY","03EMIL-5.1_08142017_WS","03EMIL-5.1_08142017_WS","WS","N","Field",NA,"R1707570","08/14/2017 10:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2017",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"03-EMIL-5.1","Y","EB","ALSRNY","03EMIL-5.1 EB_08142017_WS","03EMIL-5.1 EB_08142017_WS","WS","N","Field",NA,"R1707570","08/14/2017 03:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2017",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","EQ1700383-01","Method Blank","WQ","LB","Lab",NA,"R1707570","08/25/2017 10:00:00","",NA,NA,NA,NA,NA,"",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","EQ1700383-02","Lab Control Sample","WQ","BS","Lab",NA,"R1707570","08/25/2017 10:00:00","",NA,NA,NA,NA,NA,"",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","EQ1700383-03","Duplicate Lab Control Sample","WQ","BD","Lab",NA,"R1707570","08/25/2017 10:00:00","",NA,NA,NA,NA,NA,"",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"03-EMIL-5.1","Y","N","ALSRNY","03EMIL-5.1_10172017_AW","03EMIL-5.1_10172017_AW","WS","N","Field","","R1709915","10/17/2017 09:00:00","Unknown",NA,NA,NA,NA,NA,"10/18/2017",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"03-EMIL-5.1","Y","N","ALSRNY","03EMIL-5.1 DUP_10172017_AW","03EMIL-5.1 DUP_10172017_AW","WS","N","Field","","R1709915","10/17/2017 03:00:00","Unknown",NA,NA,NA,NA,NA,"10/18/2017",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"03-EMIL-5.1","Y","FB","ALSRNY","03EMIL-5.1 FB_10172017_WS","03EMIL-5.1 FB_10172017_WS","WS","N","Field","","R1709915","10/17/2017 03:00:00","Unknown",NA,NA,NA,NA,NA,"10/18/2017",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","EQ1700489-01","Method Blank","WQ","LB","Lab","","R1709915","11/01/2017 10:00:00","",NA,NA,NA,NA,NA,"",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"00-QAQC-0.0","N","LAB_INTERNAL","ALSRNY","EQ1700489-02","Lab Control Sample","WQ","BS","Lab","","R1709915","11/01/2017 10:00:00","",NA,NA,NA,NA,NA,"",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
"03-EMIL-5.1","Y","N","ALSRNY","03EMIL-5.1_10172017_AWMS","03EMIL-5.1_10172017_AW","WS","MS","Lab","03EMIL-5.1_10172017_AW","R1709915","10/17/2017 09:00:00","Unknown",NA,NA,NA,NA,NA,"10/18/2017",NA,"UNK",NA,NA,NA,NA,"n",NA,NA,NA,NA,NA,NA
