"CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SYS_SAMPLE_CDE","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT"
"12-ORSK-0.9","03/03/2021","N","ALSRNY","12-ORSK-0.9-03032021-W","12-ORSK-0.9-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 10:15:00","03/04/2021","12-ORSK-0.9",,"030121C02W","NYSDEC",
"12-SAUQ-1.7","03/03/2021","N","ALSRNY","12-SAUQ-1.7-03032021-W","12-SAUQ-1.7-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 11:30:00","03/04/2021","12-SAUQ-1.7",,"030121C02W","NYSDEC",
"12-STLE-0.2","03/03/2021","N","ALSRNY","12-STLE-0.2-03032021-W","12-STLE-0.2-03032021-W","WS","N_SEQPARENT","N","Field","","R2102067","03/03/2021 13:00:00","03/04/2021","12-STLE-0.2",,"030121C02W","NYSDEC",
"12-STLE-0.2","03/03/2021","N","ALSRNY","12-STLE-0.2-03032021-W-EB","12-STLE-0.2-03032021-W-EB","WS","EB","N","Field","","R2102067","03/03/2021 13:30:00","03/04/2021","12-STLE-0.2",,"030121C02W","NYSDEC",
"12-STLE-0.2","03/03/2021","N","ALSRNY","12-STLE-0.2-03032021-W SEQ","12-STLE-0.2-03032021-W SEQ","WS","SEQ","N","Field","","R2102067","03/03/2021 13:20:00","03/04/2021","12-STLE-0.2",,"030121C02W","NYSDEC",
"12-LASH-0.1","03/03/2021","N","ALSRNY","12-LASH-0.1-03032021-W","12-LASH-0.1-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 12:15:00","03/04/2021","12-LASH-0.1",,"030121C02W","NYSDEC",
"12-CAYA-4.7","03/03/2021","N","ALSRNY","12-CAYA-4.7-03032021-W","12-CAYA-4.7-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 13:10:00","03/04/2021","12-CAYA-4.7",,"030121C02W","NYSDEC",
"12-SCHO-0.5","03/03/2021","Y","ALSRNY","12-SCHO-1.2-03032021-W","12-SCHO-1.2-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 14:02:00","03/04/2021","12-SCHO-1.2",,"030121C02W","NYSDEC",
"12-POEN-2.0","03/03/2021","N","ALSRNY","12-POEN-2.0-03032021-W","12-POEN-2.0-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 15:05:00","03/04/2021","12-POEN-2.0",,"030121C02W","NYSDEC",
"12-CANW-4.0","03/03/2021","Y","ALSRNY","12-CANW-7.0-03032021-W","12-CANW-7.0-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 09:22:00","03/04/2021","12-CANW-7.0",,"030121C02W","NYSDEC",
"12-CANE-0.5","03/03/2021","N","ALSRNY","12-CANE-0.5-03032021-W","12-CANE-0.5-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 10:20:00","03/04/2021","12-CANE-0.5",,"030121C02W","NYSDEC",
"12-CAJO-5.1","03/03/2021","N","ALSRNY","12-CAJO-5.1-03032021-W","12-CAJO-5.1-03032021-W","WS","N","N","Field","","R2102067","03/03/2021 11:23:00","03/04/2021","12-CAJO-5.1",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/13/2021","N","ALSRNY","375684-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102067","03/13/2021 16:45:00",,"Method Blank",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/11/2021","N","ALSRNY","715781-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102067","03/11/2021 11:28:00",,"Method Blank",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/11/2021","N","ALSRNY","375535-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102067","03/11/2021 11:44:00",,"Method Blank",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/13/2021","N","ALSRNY","375683-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102067","03/13/2021 16:45:00",,"Method Blank",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/10/2021","N","ALSRNY","715561-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102067","03/10/2021 08:05:00",,"Method Blank",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/05/2021","N","ALSRNY","715138-MB1","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102067","03/05/2021 06:50:00",,"Method Blank",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/11/2021","N","ALSRNY","715786-MB2","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102067","03/11/2021 12:18:00",,"Method Blank",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/11/2021","N","ALSRNY","715789-MB3","Method Blank","WQ","LAB_INTERNAL","LB","Lab","","R2102067","03/11/2021 12:50:00",,"Method Blank",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/13/2021","N","ALSRNY","375684-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102067","03/13/2021 16:45:00",,"Lab Control Sample",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/11/2021","N","ALSRNY","715781-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102067","03/11/2021 11:37:00",,"Lab Control Sample",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/11/2021","N","ALSRNY","375535-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102067","03/11/2021 11:44:00",,"Lab Control Sample",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/13/2021","N","ALSRNY","375683-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102067","03/13/2021 16:45:00",,"Lab Control Sample",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/10/2021","N","ALSRNY","715561-LCS1","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102067","03/10/2021 08:05:00",,"Lab Control Sample",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/11/2021","N","ALSRNY","715786-LCS2","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102067","03/11/2021 12:19:00",,"Lab Control Sample",,"030121C02W","NYSDEC",
"00-QAQC-0.0","03/11/2021","N","ALSRNY","715789-LCS3","Lab Control Sample","WQ","LAB_INTERNAL","BS","Lab","","R2102067","03/11/2021 12:59:00",,"Lab Control Sample",,"030121C02W","NYSDEC",
"12-ORSK-0.9","03/03/2021","N","ALSRNY","12-ORSK-0.9-03032021-WDUP","12-ORSK-0.9-03032021-W","WS","N","LR","Lab","12-ORSK-0.9-03032021-W","R2102067","03/03/2021 10:15:00","03/04/2021","12-ORSK-0.9",,"030121C02W","NYSDEC",
"12-STLE-0.2","03/03/2021","N","ALSRNY","12-STLE-0.2-03032021-WDUP","12-STLE-0.2-03032021-W","WS","N","LR","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","03/04/2021","12-STLE-0.2",,"030121C02W","NYSDEC",
"12-ORSK-0.9","03/03/2021","N","ALSRNY","12-ORSK-0.9-03032021-W MS","12-ORSK-0.9-03032021-W","WS","N","MS","Lab","12-ORSK-0.9-03032021-W","R2102067","03/03/2021 10:15:00","03/04/2021","12-ORSK-0.9",,"030121C02W","NYSDEC",
"12-STLE-0.2","03/03/2021","N","ALSRNY","12-STLE-0.2-03032021-WMS","12-STLE-0.2-03032021-W","WS","N","MS","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","03/04/2021","12-STLE-0.2",,"030121C02W","NYSDEC",
"12-STLE-0.2","03/03/2021","N","ALSRNY","12-STLE-0.2-03032021-W MS","12-STLE-0.2-03032021-W","WS","N","MS","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","03/04/2021","12-STLE-0.2",,"030121C02W","NYSDEC",
"12-SCHO-0.5","03/03/2021","Y","ALSRNY","12-SCHO-1.2-03032021-WMS","12-SCHO-1.2-03032021-W","WS","N","MS","Lab","12-SCHO-1.2-03032021-W","R2102067","03/03/2021 14:02:00","03/04/2021","12-SCHO-1.2",,"030121C02W","NYSDEC",
"12-CAJO-5.1","03/03/2021","N","ALSRNY","12-CAJO-5.1-03032021-WMS","12-CAJO-5.1-03032021-W","WS","N","MS","Lab","12-CAJO-5.1-03032021-W","R2102067","03/03/2021 11:23:00","03/04/2021","12-CAJO-5.1",,"030121C02W","NYSDEC",
"12-ORSK-0.9","03/03/2021","N","ALSRNY","12-ORSK-0.9-03032021-W SD","12-ORSK-0.9-03032021-W","WS","N","SD","Lab","12-ORSK-0.9-03032021-W","R2102067","03/03/2021 10:15:00","03/04/2021","12-ORSK-0.9",,"030121C02W","NYSDEC",
"12-STLE-0.2","03/03/2021","N","ALSRNY","12-STLE-0.2-03032021-WSD","12-STLE-0.2-03032021-W","WS","N","SD","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","03/04/2021","12-STLE-0.2",,"030121C02W","NYSDEC",
"12-STLE-0.2","03/03/2021","N","ALSRNY","12-STLE-0.2-03032021-W SD","12-STLE-0.2-03032021-W","WS","N","SD","Lab","12-STLE-0.2-03032021-W","R2102067","03/03/2021 13:00:00","03/04/2021","12-STLE-0.2",,"030121C02W","NYSDEC",
"12-SCHO-0.5","03/03/2021","Y","ALSRNY","12-SCHO-1.2-03032021-WSD","12-SCHO-1.2-03032021-W","WS","N","SD","Lab","12-SCHO-1.2-03032021-W","R2102067","03/03/2021 14:02:00","03/04/2021","12-SCHO-1.2",,"030121C02W","NYSDEC",
"12-CAJO-5.1","03/03/2021","N","ALSRNY","12-CAJO-5.1-03032021-WSD","12-CAJO-5.1-03032021-W","WS","N","SD","Lab","12-CAJO-5.1-03032021-W","R2102067","03/03/2021 11:23:00","03/04/2021","12-CAJO-5.1",,"030121C02W","NYSDEC",
"12-LASH-0.1","03/16/2021","N","ALSRNY","12-LASH-0.1-03162021-W","12-LASH-0.1-03162021-W","WS","N","N","Field","","R2102425","03/16/2021 12:46:00","03/17/2021","12-LASH-0.1",,"031521CO2W","NYSDEC",
"12-CAYA-4.7","03/16/2021","N","ALSRNY","12-CAYA-4.7-03162021-W","12-CAYA-4.7-03162021-W","WS","N","N","Field","","R2102425","03/16/2021 13:45:00","03/17/2021","12-CAYA-4.7",,"031521CO2W","NYSDEC",
"12-SCHO-0.5","03/16/2021","Y","ALSRNY","12-SCHO-1.2-03162021-W","12-SCHO-1.2-03162021-W","WS","N","N","Field","","R2102425","03/16/2021 14:22:00","03/17/2021","12-SCHO-1.2",,"031521CO2W","NYSDEC",
"12-POEN-2.0","03/16/2021","N","ALSRNY","12-POEN-2.0-03162021","12-POEN-2.0-03162021","WS","N","N","Field","","R2102425","03/16/2021 15:15:00","03/17/2021","12-POEN-2.0",,"031521CO2W","NYSDEC",
"12-POEN-2.0","03/16/2021","N","ALSRNY","12-POEN-2.0-0316-2021-W-EB","12-POEN-2.0-0316-2021-W-EB","WS","EB","N","Field","","R2102425","03/16/2021 15:15:00","03/17/2021","12-POEN-2.0",,"031521CO2W","NYSDEC",
