"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","alkalinity, total (as caco3)",2021-04-12 09:00:00,"ALK","T",18.1,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","aluminum",2021-04-12 09:00:00,"7429-90-5","D",184,"ug/l","E200.8",2.3,"ug/l",10,"","A","",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","arsenic",2021-04-12 09:00:00,"7440-38-2","T",NA,"ug/l","E200.8",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","cadmium",2021-04-12 09:00:00,"7440-43-9","D",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","calcium",2021-04-12 09:00:00,"7440-70-2","T",7210,"ug/l","E200.7",110,"ug/l",1000,"","A","",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","carbon, dissolved organic (doc)",2021-04-12 09:00:00,"DOC","D",4.9,"mg/l","SM5310C",0.5,"mg/l",1,"","A","",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","chloride (as cl)",2021-04-12 09:00:00,"16887-00-6","T",3.29,"mg/l","E300.0",0.05,"mg/l",0.2,"","A","",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","chlorophyll a",2021-04-12 09:00:00,"479-61-8","T",0.709,"ug/l","SM10200H",NA,"ug/l",0.038,"","A","",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","copper",2021-04-12 09:00:00,"7440-50-8","D",NA,"ug/l","E200.8",0.66,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-10-27
"ROUTINE-R6B","08-BLCK-84.5","N","08-BLCK-84.5-04122021-W","R2103468","fluoride, undistilled",2021-04-12 09:00:00,"16984-48-8","T",NA,"mg/l","E300.0",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2021-10-27
