"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"02-DODG-0.1","N","N","ALSRNY","02-DODG-0.1-07012021-W","02-DODG-0.1-07012021-W","WS","N","Field","","R2106663","07/01/2021 12:30:00","02-DODG-0.1",NA,NA,NA,NA,NA,"07/02/2021",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"02-DODG-0.3","N","N","ALSRNY","02-DODG-0.3-07012021-W","02-DODG-0.3-07012021-W","WS","N","Field","","R2106663","07/01/2021 13:30:00","02-DODG-0.3",NA,NA,NA,NA,NA,"07/02/2021",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"02-DODG-0.3","N","EB","ALSRNY","02-DODG-0.3-07012021-W-EB","02-DODG-0.3-07012021-W-EB","WS","N","Field","","R2106663","07/01/2021 14:00:00","02-DODG-0.3",NA,NA,NA,NA,NA,"07/02/2021",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730416-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/08/2021 13:14:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730857-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/12/2021 21:22:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730766-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/09/2021 15:37:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730394-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/08/2021 17:42:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730311-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/02/2021 20:06:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","383250-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/15/2021 13:36:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","383414-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/17/2021 15:16:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","729959-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/02/2021 14:15:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730769-MB1","Method Blank","WQ","LB","Lab","","R2106663","07/09/2021 23:23:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730395-MB2","Method Blank","WQ","LB","Lab","","R2106663","07/08/2021 18:15:00","Method Blank",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730416-LCS1","Lab Control Sample","WQ","BS","Lab","","R2106663","07/08/2021 13:23:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730857-LCS1","Lab Control Sample","WQ","BS","Lab","","R2106663","07/12/2021 21:23:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730766-LCS1","Lab Control Sample","WQ","BS","Lab","","R2106663","07/09/2021 15:43:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730394-LCS1","Lab Control Sample","WQ","BS","Lab","","R2106663","07/08/2021 17:44:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730311-LCS1","Lab Control Sample","WQ","BS","Lab","","R2106663","07/02/2021 20:06:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","383250-LCS1","Lab Control Sample","WQ","BS","Lab","","R2106663","07/15/2021 13:36:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","383414-LCS1","Lab Control Sample","WQ","BS","Lab","","R2106663","07/17/2021 15:16:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730769-LCS2","Lab Control Sample","WQ","BS","Lab","","R2106663","07/09/2021 23:29:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","730395-LCS2","Lab Control Sample","WQ","BS","Lab","","R2106663","07/08/2021 18:24:00","Lab Control Sample",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"02-DODG-0.1","N","N","ALSRNY","02-DODG-0.1-07012021-WDUP","02-DODG-0.1-07012021-W","WS","LR","Lab","02-DODG-0.1-07012021-W","R2106663","07/01/2021 12:30:00","02-DODG-0.1",NA,NA,NA,NA,NA,"07/02/2021",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"02-DODG-0.1","N","N","ALSRNY","02-DODG-0.1-07012021-WMS","02-DODG-0.1-07012021-W","WS","MS","Lab","02-DODG-0.1-07012021-W","R2106663","07/01/2021 12:30:00","02-DODG-0.1",NA,NA,NA,NA,NA,"07/02/2021",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"02-DODG-0.3","N","EB","ALSRNY","02-DODG-0.3-07012021-W-EBMS","02-DODG-0.3-07012021-W-EB","WS","MS","Lab","02-DODG-0.3-07012021-W-EB","R2106663","07/01/2021 14:00:00","02-DODG-0.3",NA,NA,NA,NA,NA,"07/02/2021",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"02-DODG-0.1","N","N","ALSRNY","02-DODG-0.1-07012021-WSD","02-DODG-0.1-07012021-W","WS","SD","Lab","02-DODG-0.1-07012021-W","R2106663","07/01/2021 12:30:00","02-DODG-0.1",NA,NA,NA,NA,NA,"07/02/2021",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"02-DODG-0.3","N","EB","ALSRNY","02-DODG-0.3-07012021-W-EBSD","02-DODG-0.3-07012021-W-EB","WS","SD","Lab","02-DODG-0.3-07012021-W-EB","R2106663","07/01/2021 14:00:00","02-DODG-0.3",NA,NA,NA,NA,NA,"07/02/2021",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","382620-LCS1","LAB CONTROL SAMPLE","WQ","BS","Lab","","R2106663","07/06/2021 00:00:00","LAB CONTROL SAMPLE",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","382623-LCS1","LAB CONTROL SAMPLE","WQ","BS","Lab","","R2106663","07/06/2021 00:00:00","LAB CONTROL SAMPLE",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","383037-LCS1","LAB CONTROL SAMPLE","WQ","BS","Lab","","R2106663","07/13/2021 00:00:00","LAB CONTROL SAMPLE",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","382620-MB1","BLANK","WQ","LB","Lab","","R2106663","07/06/2021 00:00:00","BLANK",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","382623-MB1","BLANK","WQ","LB","Lab","","R2106663","07/06/2021 00:00:00","BLANK",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"LAB_INTERNAL","N","LAB_INTERNAL","ALSRNY","383037-MB1","BLANK","WQ","LB","Lab","","R2106663","07/13/2021 00:00:00","BLANK",NA,NA,NA,NA,NA,"",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
