"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","ALKALINITY, TOTAL (AS CaCO3)",2021-07-01 12:30:00,"ALK","T",36,"mg/l",1.8,"mg/l",2,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Aluminum",2021-07-01 12:30:00,"7429-90-5","T",463,"ug/l",38,"ug/l",50,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Arsenic",2021-07-01 12:30:00,"7440-38-2","T",1.6,"ug/l",0.32,"ug/l",1,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Cadmium",2021-07-01 12:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Calcium",2021-07-01 12:30:00,"7440-70-2","T",11200,"ug/l",110,"ug/l",1000,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","CHLORIDE (AS CL)",2021-07-01 12:30:00,"16887-00-6","T",15.4,"mg/l",0.5,"mg/l",2,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Copper",2021-07-01 12:30:00,"7440-50-8","T",2.2,"ug/l",0.66,"ug/l",1,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","HARDNESS (AS CACO3)",2021-07-01 12:30:00,"HARD","T",39.6,"mg/l",NA,"mg/l",6.62,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Iron",2021-07-01 12:30:00,"7439-89-6","T",1230,"ug/l",20,"ug/l",100,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Lead",2021-07-01 12:30:00,"7439-92-1","T",1.1,"ug/l",0.19,"ug/l",1,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Nickel",2021-07-01 12:30:00,"7440-02-0","T",1.2,"ug/l",0.46,"ug/l",1,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Nitrate+Nitrite as Nitrogen",2021-07-01 12:30:00,"NO3NO2N","T",0.183,"mg/l",0.0015,"mg/l",0.002,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Nitrogen",2021-07-01 12:30:00,"7727-37-9","T",0.75,"mg/l",NA,"mg/l",0.1,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","Nitrogen, ammonia (As N)",2021-07-01 12:30:00,"7664-41-7","T",0.072,"mg/l",0.003,"mg/l",0.01,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","NITROGEN, KJELDAHL, TOTAL",2021-07-01 12:30:00,"KN","T",0.57,"mg/l",0.1,"mg/l",0.1,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","NITROGEN, NITRATE (AS N)",2021-07-01 12:30:00,"14797-55-8","T",0.183,"mg/l",NA,"mg/l",0.01,"","A","",2021-09-20
"Dodge_Creek_2021","02-DODG-0.1","N","02-DODG-0.1-07012021-W","R2106663","NITROGEN, NITRITE",2021-07-01 12:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-09-20
