"SITE_ID","SITE_ID_CORR_IND","DEC_sample_type","data_provider","sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"12-ORSK-0.9","N","N","ALSRNY","12-ORSK-0.9-03032021-W","12-ORSK-0.9-03032021-W","WS","N","Field","","R2102067","03/03/2021 10:15:00","12-ORSK-0.9",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-SAUQ-1.6","Y","N","ALSRNY","12-SAUQ-1.7-03032021-W","12-SAUQ-1.7-03032021-W","WS","N","Field","","R2102067","03/03/2021 11:30:00","12-SAUQ-1.7",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-STLE-0.8","Y","N_DUPPARENT","ALSRNY","12-STLE-0.2-03032021-W","12-STLE-0.2-03032021-W","WS","N","Field","","R2102067","03/03/2021 13:00:00","12-STLE-0.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-STLE-0.8","Y","EB","ALSRNY","12-STLE-0.2-03032021-W-EB","12-STLE-0.2-03032021-W-EB","WS","N","Field","","R2102067","03/03/2021 13:30:00","12-STLE-0.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-STLE-0.8","Y","DUP","ALSRNY","12-STLE-0.2-03032021-W SEQ","12-STLE-0.2-03032021-W SEQ","WS","N","Field","","R2102067","03/03/2021 13:20:00","12-STLE-0.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-LASH-0.1","N","N","ALSRNY","12-LASH-0.1-03032021-W","12-LASH-0.1-03032021-W","WS","N","Field","","R2102067","03/03/2021 12:15:00","12-LASH-0.1",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CAYA-4.7","N","N","ALSRNY","12-CAYA-4.7-03032021-W","12-CAYA-4.7-03032021-W","WS","N","Field","","R2102067","03/03/2021 13:10:00","12-CAYA-4.7",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-SCHO-0.5","Y","N","ALSRNY","12-SCHO-1.2-03032021-W","12-SCHO-1.2-03032021-W","WS","N","Field","","R2102067","03/03/2021 14:02:00","12-SCHO-1.2",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-POEN-1.9","Y","N","ALSRNY","12-POEN-2.0-03032021-W","12-POEN-2.0-03032021-W","WS","N","Field","","R2102067","03/03/2021 15:05:00","12-POEN-2.0",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CANW-4.0","Y","N","ALSRNY","12-CANW-7.0-03032021-W","12-CANW-7.0-03032021-W","WS","N","Field","","R2102067","03/03/2021 09:22:00","12-CANW-7.0",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CANE-0.5","N","N","ALSRNY","12-CANE-0.5-03032021-W","12-CANE-0.5-03032021-W","WS","N","Field","","R2102067","03/03/2021 10:20:00","12-CANE-0.5",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"12-CAJO-5.1","N","N","ALSRNY","12-CAJO-5.1-03032021-W","12-CAJO-5.1-03032021-W","WS","N","Field","","R2102067","03/03/2021 11:23:00","12-CAJO-5.1",NA,NA,NA,NA,NA,"03/04/2021","030121C02W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
