"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","carbon, dissolved organic (doc)",2021-05-10 13:30:00,"DOC","D",3.9,"mg/l","SM5310C",0.5,"mg/l",1,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","chlorophyll a",2021-05-10 13:30:00,"479-61-8","T",1.52,"ug/l","SM10200H",NA,"ug/l",0.039,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","nitrate+nitrite as nitrogen",2021-05-10 13:30:00,"NO3NO2N","T",0.286,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","nitrogen",2021-05-10 13:30:00,"7727-37-9","T",0.54,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","nitrogen, ammonia (as n)",2021-05-10 13:30:00,"7664-41-7","T",0.049,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","nitrogen, kjeldahl, total",2021-05-10 13:30:00,"KN","T",0.26,"mg/l","E351.2",0.1,"mg/l",0.1,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","nitrogen, nitrate (as n)",2021-05-10 13:30:00,"14797-55-8","T",0.286,"mg/l","Calculation",NA,"mg/l",0.01,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","nitrogen, nitrite",2021-05-10 13:30:00,"14797-65-0","T",NA,"mg/l","E353.2",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","orthophosphate as phosphorus, dissolved",2021-05-10 13:30:00,"PDORTHO","D",0.0062,"mg/l","E365.1",0.0049,"mg/l",0.005,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","phosphorus, total (as p)",2021-05-10 13:30:00,"7723-14-0","T",0.0304,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","total suspended solids",2021-05-10 13:30:00,"TSS","T",14.3,"mg/l","SM2540D",NA,"mg/l",1,"","A","",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","turbidity",2021-05-10 13:30:00,"TURB","T",6,"ntu","E180.1",0.06,"ntu",1,"","R","Precision error",2022-02-17
"MOHK_DBP","11-UHUD-2.7","N","11-UHUD-2.7-05102021-W","R2104513","uv 254",2021-05-10 13:30:00,"UV254","T",0.126,"1/cm","SM5910B",NA,"1/cm",NA,"","R","Holding Time error",2022-02-17
