"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03032021-W","R2102067","nitrate+nitrite as nitrogen",2021-03-03 11:23:00,"NO3NO2N","T",1.2,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03032021-W","R2102067","nitrogen, kjeldahl, total",2021-03-03 11:23:00,"KN","T",0.47,"mg/l","E351.2",0.1,"mg/l",0.1,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03032021-W","R2102067","phosphorus, dissolved (as p)",2021-03-03 11:23:00,"7723-14-0","D",0.0284,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03032021-W","R2102067","phosphorus, total (as p)",2021-03-03 11:23:00,"7723-14-0","T",0.0453,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03032021-W","R2102067","total suspended solids",2021-03-03 11:23:00,"TSS","T",7.2,"mg/l","SM2540D",NA,"mg/l",1,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03032021-W","R2102067","turbidity",2021-03-03 11:23:00,"TURB","T",9.4,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W-DUP","R2102425","nitrate+nitrite as nitrogen",2021-03-16 11:55:00,"NO3NO2N","T",1.45,"mg/l","E353.2",0.0015,"mg/l",0.002,"","R","Accuracy error",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W-DUP","R2102425","nitrogen, kjeldahl, total",2021-03-16 11:55:00,"KN","T",0.32,"mg/l","E351.2",0.1,"mg/l",0.1,"","R","Equipment Blank error",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W-DUP","R2102425","phosphorus, dissolved (as p)",2021-03-16 11:55:00,"7723-14-0","D",0.013,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W-DUP","R2102425","phosphorus, total (as p)",2021-03-16 11:55:00,"7723-14-0","T",0.0225,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W-DUP","R2102425","total suspended solids",2021-03-16 11:55:00,"TSS","T",5.5,"mg/l","SM2540D",NA,"mg/l",1,"","R","Equipment Blank error",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W-DUP","R2102425","turbidity",2021-03-16 11:55:00,"TURB","T",7.7,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W","R2102425","nitrate+nitrite as nitrogen",2021-03-16 11:33:00,"NO3NO2N","T",1.46,"mg/l","E353.2",0.0015,"mg/l",0.002,"","R","Accuracy error",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W","R2102425","nitrogen, kjeldahl, total",2021-03-16 11:33:00,"KN","T",0.32,"mg/l","E351.2",0.1,"mg/l",0.1,"","R","Equipment Blank error",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W","R2102425","phosphorus, dissolved (as p)",2021-03-16 11:33:00,"7723-14-0","D",0.0126,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W","R2102425","phosphorus, total (as p)",2021-03-16 11:33:00,"7723-14-0","T",0.0242,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W","R2102425","total suspended solids",2021-03-16 11:33:00,"TSS","T",6,"mg/l","SM2540D",NA,"mg/l",1.1,"","R","Equipment Blank error",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03162021-W","R2102425","turbidity",2021-03-16 11:33:00,"TURB","T",8,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03252021-W","R2102866","nitrate+nitrite as nitrogen",2021-03-25 11:35:00,"NO3NO2N","T",0.711,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03252021-W","R2102866","nitrogen, kjeldahl, total",2021-03-25 11:35:00,"KN","T",0.24,"mg/l","E351.2",0.1,"mg/l",0.1,"","R","Precision error",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03252021-W","R2102866","phosphorus, dissolved (as p)",2021-03-25 11:35:00,"7723-14-0","D",0.011,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03252021-W","R2102866","phosphorus, total (as p)",2021-03-25 11:35:00,"7723-14-0","T",0.0244,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03252021-W","R2102866","total suspended solids",2021-03-25 11:35:00,"TSS","T",11.2,"mg/l","SM2540D",NA,"mg/l",1,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-03252021-W","R2102866","turbidity",2021-03-25 11:35:00,"TURB","T",13.6,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-04062021-W","R2103245","nitrate+nitrite as nitrogen",2021-04-06 10:02:00,"NO3NO2N","T",0.553,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-04062021-W","R2103245","nitrogen, kjeldahl, total",2021-04-06 10:02:00,"KN","T",0.18,"mg/l","E351.2",0.1,"mg/l",0.1,"","R","Precision error",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-04062021-W","R2103245","phosphorus, dissolved (as p)",2021-04-06 10:02:00,"7723-14-0","D",0.0053,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-04062021-W","R2103245","phosphorus, total (as p)",2021-04-06 10:02:00,"7723-14-0","T",0.012,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-04062021-W","R2103245","total suspended solids",2021-04-06 10:02:00,"TSS","T",6.2,"mg/l","SM2540D",NA,"mg/l",1,"","A","",2022-02-17
"MOHK_TSS","12-CAJO-5.1","N","12-CAJO-5.1-04062021-W","R2103245","turbidity",2021-04-06 10:02:00,"TURB","T",5.9,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03032021-W","R2102067","nitrate+nitrite as nitrogen",2021-03-03 10:20:00,"NO3NO2N","T",0.288,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03032021-W","R2102067","nitrogen, kjeldahl, total",2021-03-03 10:20:00,"KN","T",0.25,"mg/l","E351.2",0.1,"mg/l",0.1,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03032021-W","R2102067","phosphorus, dissolved (as p)",2021-03-03 10:20:00,"7723-14-0","D",0.0078,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03032021-W","R2102067","phosphorus, total (as p)",2021-03-03 10:20:00,"7723-14-0","T",0.0128,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03032021-W","R2102067","total suspended solids",2021-03-03 10:20:00,"TSS","T",2.6,"mg/l","SM2540D",NA,"mg/l",1,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03032021-W","R2102067","turbidity",2021-03-03 10:20:00,"TURB","T",1.9,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03162021-W","R2102425","nitrate+nitrite as nitrogen",2021-03-16 10:02:00,"NO3NO2N","T",0.32,"mg/l","E353.2",0.0015,"mg/l",0.002,"","R","Accuracy error",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03162021-W","R2102425","nitrogen, kjeldahl, total",2021-03-16 10:02:00,"KN","T",0.37,"mg/l","E351.2",0.1,"mg/l",0.1,"","R","Equipment Blank error",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03162021-W","R2102425","phosphorus, dissolved (as p)",2021-03-16 10:02:00,"7723-14-0","D",0.0061,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03162021-W","R2102425","phosphorus, total (as p)",2021-03-16 10:02:00,"7723-14-0","T",0.0147,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03162021-W","R2102425","total suspended solids",2021-03-16 10:02:00,"TSS","T",31.6,"mg/l","SM2540D",NA,"mg/l",1,"","R","Equipment Blank error",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03162021-W","R2102425","turbidity",2021-03-16 10:02:00,"TURB","T",5.3,"ntu","E180.1",0.06,"ntu",1,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03252021-W","R2102866","nitrate+nitrite as nitrogen",2021-03-25 10:00:00,"NO3NO2N","T",0.253,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03252021-W","R2102866","nitrogen, kjeldahl, total",2021-03-25 10:00:00,"KN","T",0.18,"mg/l","E351.2",0.1,"mg/l",0.1,"","R","Precision error",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03252021-W","R2102866","phosphorus, dissolved (as p)",2021-03-25 10:00:00,"7723-14-0","D",0.0056,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
"MOHK_TSS","12-CANE-0.5","N","12-CANE-0.5-03252021-W","R2102866","phosphorus, total (as p)",2021-03-25 10:00:00,"7723-14-0","T",0.0139,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2022-02-17
