"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","alkalinity, total (as caco3)",2021-06-03 15:00:00,"ALK","T",209,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","aluminum",2021-06-03 15:00:00,"7429-90-5","T",12.6,"ug/l","E200.8",7.6,"ug/l",10,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","arsenic",2021-06-03 15:00:00,"7440-38-2","T",NA,"ug/l","E200.8",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","cadmium",2021-06-03 15:00:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","calcium",2021-06-03 15:00:00,"7440-70-2","T",70800,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","chloride (as cl)",2021-06-03 15:00:00,"16887-00-6","T",48.6,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","copper",2021-06-03 15:00:00,"7440-50-8","T",0.76,"ug/l","E200.8",0.66,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","hardness (as caco3)",2021-06-03 15:00:00,"HARD","T",250,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","iron",2021-06-03 15:00:00,"7439-89-6","T",35.8,"ug/l","E200.7",20,"ug/l",100,"J","J","estimated value due to lab error",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","lead",2021-06-03 15:00:00,"7439-92-1","T",NA,"ug/l","E200.8",0.19,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","magnesium",2021-06-03 15:00:00,"7439-95-4","T",17600,"ug/l","E200.7",68,"ug/l",1000,"","A","",2022-02-17
"OTISCO","07-AMBR-0.2","Y","07-AMBER-0.2-06032021-W","R2105557","nickel",2021-06-03 15:00:00,"7440-02-0","T",1,"ug/l","E200.8",0.46,"ug/l",1,"","A","",2022-02-17
