"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","alkalinity, total (as caco3)",2021-04-27 14:30:00,"ALK","T",91,"mg/l","SM 2320 B",1.8,"mg/l",2,"","R","Precision error",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","aluminum",2021-04-27 14:30:00,"7429-90-5","T",45.4,"ug/l","E200.8",2.3,"ug/l",10,"","R","Accuracy error ; Precision error",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","arsenic",2021-04-27 14:30:00,"7440-38-2","T",0.37,"ug/l","E200.8",0.32,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","cadmium",2021-04-27 14:30:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","calcium",2021-04-27 14:30:00,"7440-70-2","T",30800,"ug/l","E200.7",110,"ug/l",1000,"","R","Precision error",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","chloride (as cl)",2021-04-27 14:30:00,"16887-00-6","T",16.9,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","copper",2021-04-27 14:30:00,"7440-50-8","T",1,"ug/l","E200.8",0.66,"ug/l",1,"","R","Precision error",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","hardness (as caco3)",2021-04-27 14:30:00,"HARD","T",111,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","iron",2021-04-27 14:30:00,"7439-89-6","T",71.9,"ug/l","E200.7",20,"ug/l",100,"J","R","estimated value due to lab error ; Precision error",2022-02-17
"PFAS_PW","01-NIAG-17.8","N","01-NIAG-17.8-04272021-W","R2104022","lead",2021-04-27 14:30:00,"7439-92-1","T",NA,"ug/l","E200.8",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
