"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","alkalinity, total (as caco3)",2021-04-13 14:15:00,"ALK","T",58.8,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","aluminum",2021-04-13 14:15:00,"7429-90-5","D",23.9,"ug/l","E200.8",2.3,"ug/l",10,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","arsenic",2021-04-13 14:15:00,"7440-38-2","T",NA,"ug/l","E200.8",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","cadmium",2021-04-13 14:15:00,"7440-43-9","D",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","calcium",2021-04-13 14:15:00,"7440-70-2","T",17100,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","carbon, dissolved organic (doc)",2021-04-13 14:15:00,"DOC","D",5.2,"mg/l","SM5310C",0.5,"mg/l",1,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","chloride (as cl)",2021-04-13 14:15:00,"16887-00-6","T",11.7,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","chlorophyll a",2021-04-13 14:15:00,"479-61-8","T",1.26,"ug/l","SM10200H",NA,"ug/l",0.039,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","copper",2021-04-13 14:15:00,"7440-50-8","D",0.75,"ug/l","E200.8",0.66,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","fluoride, undistilled",2021-04-13 14:15:00,"16984-48-8","T",NA,"mg/l","E300.0",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","hardness (as caco3)",2021-04-13 14:15:00,"HARD","T",65.5,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","iron",2021-04-13 14:15:00,"7439-89-6","T",305,"ug/l","E200.7",20,"ug/l",100,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","lead",2021-04-13 14:15:00,"7439-92-1","D",NA,"ug/l","E200.8",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","magnesium",2021-04-13 14:15:00,"7439-95-4","T",5520,"ug/l","E200.7",68,"ug/l",1000,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","manganese",2021-04-13 14:15:00,"7439-96-5","T",42.1,"ug/l","E200.7",1.7,"ug/l",10,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103524","mercury",2021-04-13 14:15:00,"7439-97-6","T",1.2,"ng/l","E1631E",0.3,"ng/l",1,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","nickel",2021-04-13 14:15:00,"7440-02-0","D",0.81,"ug/l","E200.8",0.26,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","nitrate+nitrite as nitrogen",2021-04-13 14:15:00,"NO3NO2N","T",0.231,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"ROUTINE-CO","09-LSAL-7.6","N","09-LSAL-7.6-04132021-W","R2103523","nitrogen",2021-04-13 14:15:00,"7727-37-9","T",0.45,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2022-02-17
