"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","alkalinity, total (as caco3)",2021-04-14 12:30:00,"ALK","T",84.2,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","aluminum",2021-04-14 12:30:00,"7429-90-5","D",11,"ug/l","E200.8",2.3,"ug/l",10,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","arsenic",2021-04-14 12:30:00,"7440-38-2","T",NA,"ug/l","E200.8",0.32,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","cadmium",2021-04-14 12:30:00,"7440-43-9","D",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","calcium",2021-04-14 12:30:00,"7440-70-2","T",32100,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","carbon, dissolved organic (doc)",2021-04-14 12:30:00,"DOC","D",2.5,"mg/l","SM5310C",0.5,"mg/l",1,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","chloride (as cl)",2021-04-14 12:30:00,"16887-00-6","T",17.8,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","chlorophyll a",2021-04-14 12:30:00,"479-61-8","T",2.16,"ug/l","SM10200H",NA,"ug/l",0.16,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","copper",2021-04-14 12:30:00,"7440-50-8","D",0.73,"ug/l","E200.8",0.66,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","fluoride, undistilled",2021-04-14 12:30:00,"16984-48-8","T",NA,"mg/l","E300.0",0.01,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","hardness (as caco3)",2021-04-14 12:30:00,"HARD","T",93.1,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","iron",2021-04-14 12:30:00,"7439-89-6","T",256,"ug/l","E200.7",20,"ug/l",100,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","lead",2021-04-14 12:30:00,"7439-92-1","D",NA,"ug/l","E200.8",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","magnesium",2021-04-14 12:30:00,"7439-95-4","T",3160,"ug/l","E200.7",68,"ug/l",1000,"","A","",2022-02-17
"ROUTINE-R4","06-DILA-5.4","N","06-DILA-5.4-04142021-W","R2103464","manganese",2021-04-14 12:30:00,"7439-96-5","T",31.6,"ug/l","E200.7",1.7,"ug/l",10,"","A","",2022-02-17
