"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","alkalinity, total (as caco3)",2021-04-13 13:30:00,"ALK","T",187,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","aluminum",2021-04-13 13:30:00,"7429-90-5","D",22.6,"ug/l","E200.8",2.3,"ug/l",10,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","arsenic",2021-04-13 13:30:00,"7440-38-2","T",1,"ug/l","E200.8",0.32,"ug/l",1,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","cadmium",2021-04-13 13:30:00,"7440-43-9","D",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","calcium",2021-04-13 13:30:00,"7440-70-2","T",69300,"ug/l","E200.7",220,"ug/l",2000,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","carbon, dissolved organic (doc)",2021-04-13 13:30:00,"DOC","D",13,"mg/l","SM5310C",0.5,"mg/l",1,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","chloride (as cl)",2021-04-13 13:30:00,"16887-00-6","T",152,"mg/l","E300.0",0.9,"mg/l",4,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","chlorophyll a",2021-04-13 13:30:00,"479-61-8","T",2.66,"ug/l","SM10200H",NA,"ug/l",0.27,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","copper",2021-04-13 13:30:00,"7440-50-8","D",3.9,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","fluoride, undistilled",2021-04-13 13:30:00,"16984-48-8","T",0.13,"mg/l","E300.0",0.01,"mg/l",0.1,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","hardness (as caco3)",2021-04-13 13:30:00,"HARD","T",237,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"ROUTINE-R8A","03-NRUP-3.1","N","03-NRUP-3.1-04132021-W","R2103482","iron",2021-04-13 13:30:00,"7439-89-6","T",720,"ug/l","E200.7",20,"ug/l",100,"","A","",2022-02-17
