"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","alkalinity, total (as caco3)",2021-05-27 08:45:00,"ALK","T",134,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","aluminum",2021-05-27 08:45:00,"7429-90-5","T",150,"ug/l","E200.8",7.6,"ug/l",10,"N","R","lab error",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","arsenic",2021-05-27 08:45:00,"7440-38-2","T",1.4,"ug/l","E200.8",0.32,"ug/l",1,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","cadmium",2021-05-27 08:45:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","calcium",2021-05-27 08:45:00,"7440-70-2","T",44300,"ug/l","E200.7",110,"ug/l",1000,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","chloride (as cl)",2021-05-27 08:45:00,"16887-00-6","T",80,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","copper",2021-05-27 08:45:00,"7440-50-8","T",3.7,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","hardness (as caco3)",2021-05-27 08:45:00,"HARD","T",160,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","iron",2021-05-27 08:45:00,"7439-89-6","T",283,"ug/l","E200.7",20,"ug/l",100,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","lead",2021-05-27 08:45:00,"7439-92-1","T",0.49,"ug/l","E200.8",0.19,"ug/l",1,"J","J","estimated value due to lab error",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","magnesium",2021-05-27 08:45:00,"7439-95-4","T",11900,"ug/l","E200.7",68,"ug/l",1000,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","nickel",2021-05-27 08:45:00,"7440-02-0","T",1.5,"ug/l","E200.8",0.46,"ug/l",1,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","nitrate+nitrite as nitrogen",2021-05-27 08:45:00,"NO3NO2N","T",0.536,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","nitrogen",2021-05-27 08:45:00,"7727-37-9","T",1.05,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","nitrogen, ammonia (as n)",2021-05-27 08:45:00,"7664-41-7","T",0.031,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2022-02-17
"WALLKILL","13-WALK-19.0","N","13-WALK-19.0-05272021-W","R2105284","nitrogen, kjeldahl, total",2021-05-27 08:45:00,"KN","T",0.52,"mg/l","E351.2",0.1,"mg/l",0.1,"","A","",2022-02-17
