data_provider,sys_sample_code,sample_matrix_code,sample_type_code,sample_delivery_group.x,year.sample,sample_date,analysis_date,sampledate_equals_analysisdate,sys_loc_code,lab_anl_method_name,fraction,test_type,lab_name_code,cas_rn,chemical_name,result_numeric,result_unit,reportable_result,detect_flag,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,validation_level
NYDEC21_WQX,05021006-04152008-WS,WS,N,0414W,2008,4/15/2008 2:30:00 PM,4/15/2008 2:30:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,8.62,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-04152008-WS,WS,N,0414W,2008,4/15/2008 2:30:00 PM,4/16/2008 8:00:00 AM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,8.73,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-05272008-WS,WS,N,0526W,2008,5/27/2008 2:00:00 PM,5/27/2008 5:50:00 PM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,8.47,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-05272008-WS,WS,N,0526W,2008,5/27/2008 2:00:00 PM,5/27/2008 2:00:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,8.47,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-0552008-WS,WS,N,0505W,2008,5/5/2008 2:00:00 PM,5/5/2008 2:00:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,8.77,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-0552008-WS,WS,N,0505W,2008,5/5/2008 2:00:00 PM,5/5/2008 6:10:00 PM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,8.73,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-06172008-WS,WS,N,0616W,2008,6/17/2008 2:00:00 PM,6/17/2008 2:00:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,8.21,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-06172008-WS,WS,N,0616W,2008,6/17/2008 2:00:00 PM,6/17/2008 6:45:00 PM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,8.19,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-0792008-WS,WS,N,0707W,2008,7/9/2008 7:30:00 AM,7/10/2008 10:45:00 AM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,7.95,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-0792008-WS,WS,N,0707W,2008,7/9/2008 7:30:00 AM,7/9/2008 7:30:00 AM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,7.9,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-08262008-WS,WS,N,0825W,2008,8/26/2008 1:30:00 PM,8/26/2008 1:30:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,9.01,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-08262008-WS,WS,N,0825W,2008,8/26/2008 1:30:00 PM,8/26/2008 5:15:00 PM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,8.93,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-0852008-WS,WS,N,0804W,2008,8/5/2008 1:30:00 PM,8/5/2008 1:30:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,9.07,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-0852008-WS,WS,N,0804W,2008,8/5/2008 1:30:00 PM,8/5/2008 5:15:00 PM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,9.04,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-09232008-WS,WS,N,0922W,2008,9/23/2008 1:30:00 PM,9/23/2008 1:30:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,8.87,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-09232008-WS,WS,N,0922W,2008,9/23/2008 1:30:00 PM,9/23/2008 5:25:00 PM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,8.92,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-10142008-WS,WS,N,1013W,2008,10/14/2008 2:00:00 PM,10/14/2008 2:00:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,8.47,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-10142008-WS,WS,N,1013W,2008,10/14/2008 2:00:00 PM,10/14/2008 5:50:00 PM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,8.38,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-1142008-WS,WS,N,1103W,2008,11/4/2008 1:00:00 PM,11/4/2008 1:00:00 PM,TRUE,05021006,E150.1,NA,INITIAL,NA,PH,pH,8.54,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-1142008-WS,WS,N,1103W,2008,11/4/2008 1:00:00 PM,11/4/2008 5:05:00 PM,FALSE,05021006,E150.1,NA,INITIAL,COLUMBIA,PH,pH,8.4,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-04142003-WS,WS,N,0414W,2003,4/14/2003 1:00:00 PM,4/14/2003 1:00:00 PM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),7.8,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-04142003-WS,WS,N,0414W,2003,4/14/2003 1:00:00 PM,4/14/2003 1:00:00 PM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),7.88,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-05052003-WS,WS,N,0405W,2003,5/5/2003 4:00:00 PM,5/5/2003 4:00:00 PM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),8.9,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-05052003-WS,WS,N,0405W,2003,5/5/2003 4:00:00 PM,5/5/2003 4:00:00 PM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),8.83,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-05282003-WS,WS,N,0526W,2003,5/28/2003 10:00:00 AM,5/28/2003 10:00:00 AM,TRUE,05021006,SW9040,T,INITIAL,NA,PHWATER,pH (Water),7.9,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
NYDEC21_WQX,05021006-05282003-WS,WS,N,0526W,2003,5/28/2003 10:00:00 AM,5/28/2003 10:00:00 AM,TRUE,05021006,E150.1,T,INITIAL,CASROCH,PHWATER,pH (Water),7.88,ph units,Y,Y,NA,N,NA,NA,NA,Detected Not Quantified
