DATA_PROVIDER,SYS_LOC_CODE,LATITUDE,LONGITUDE,SURF_ELEV,ELEV_UNIT,COORD_SYS_DESC,OBSERVATION_DATE,ALT_X_COORD,ALT_Y_COORD,ALT_COORD_TYPE_CODE,ALT_IDENTIFIER,HORZ_COLLECT_METHOD_CODE,HORZ_ACCURACY_VALUE,HORZ_ACCURACY_UNIT,HORZ_DATUM_CODE,ELEV_COLLECT_METHOD_CODE,ELEV_ACCURACY_VALUE,ELEV_ACCURACY_UNIT,ELEV_DATUM_CODE,SOURCE_SCALE,SUBCONTRACTOR_NAME_CODE,VERIFICATION_CODE,REFERENCE_POINT,LOC_NAME,LOC_DESC,LOC_TYPE,LOC_PURPOSE,SUBFACILITY_CODE,WITHIN_FACILITY_YN,LOC_COUNTY_CODE,DEC_REGION,LOC_STATE_CODE,LOC_MAJOR_BASIN,LOC_MINOR_BASIN,REMARK,REMARK_2,TOTAL_DEPTH,NYS_DRAINAGE_BASIN_CODE,STREAM_MILE,STREAM_CODE,FACILITY_NAME
"NYDEC21_WQX","15012A00",-74.16306,41.13889,"88","M","LAT LONG",,,,,,"G0",,,2,"T1",,,"003",,,,,"TORNE BR. IN RAMAPO","@ GRAVEL PIT RD.(BANK)","SW",,,"Y",87,3,"NY",2030103,,,,,"1501","0.1",,"DOW - RIBS"
"NYDEC21_WQX","15012105",-73.96228,41.08654,"22","M","LAT LONG",,,,,,"G0",,,3,"T1",,,"003",,,,,"Hackensack River","Western Hgwy N, West Nyack","SW",,,"Y",87,3,"NY",2030103,,,,,"1501","5",,"DOW - RIBS"
"NYDEC21_WQX","15012101",-73.98833,41.04417,"15","M","LAT LONG",,,,,,"G0",,,2,"T1",,,"003",,,,,"HACKENSACK R. IN ORANGETOWN","@ ORANGEBURG RD.BR.","SW",,,"Y",87,3,"NY",2030103,,,,,"1501","0.7",,"DOW - RIBS"
"NYDEC21_WQX","15011016",-74.13722,41.30695,"158","M","LAT LONG",,,,,,"G0",,,2,"T1",,,"003",,,,,"RAMAPO R. IN HARRIMAN","@ NEPERA CHEM.RD.BR.","SW",,,"Y",71,3,"NY",2030103,,,,,"1501","16.2",,"DOW - RIBS"
"NYDEC21_WQX","15011001",-74.1646,41.1251,"86","M","LAT LONG",,,,,,"G0",,,3,"T1",,,"003",,,,,"Ramapo River","4th St, Hilburn","SW",,,"Y",87,3,"NY",2030103,,,,,"1501","1.1",,"DOW - RIBS"
,"14044100",-75.524657,42.044645,,,"LAT LONG",,,,,,"G0",,,2,,,,,,,,,"Unnamed Tributary to Fly Creek in Windsor","Off Tennent Rd",,,,,7,7,"NY",2040101,,,,,"1404",,,"DOW - RIBS"
,"14043100",-74.771258,42.256682,,,"LAT LONG",,,,,,"G0",,,2,,,,,,,,,"Coulter Brook in Bovina Center","Coulter Brook Road Bridge, 50 m above",,,,,25,4,"NY",2040101,,,,,"1404",,,"DOW - RIBS"
,"14042401",-75.27889,42.17694,,,"LAT LONG",,,,,,"G0",,,2,,,,,,,,,"Trout Creek in Trout Creek","East off CR 27",,,,,25,4,"NY",2040101,,,,,"1404",,,"DOW - RIBS"
,"14042301",-75.12778,42.1775,,,"LAT LONG",,,,,,"G0",,,2,,,,,,,,,"West Brook in Walton","Austin Lincoln Park Rd; 20m downstream",,,,,25,4,"NY",2040101,,,,,"1404",,,"DOW - RIBS"
"NYDEC21_WQX","14042201",-74.9277777,42.2575,"410","M","LAT LONG",,,,,,"G0",,,2,"T1",,,"003",,,,,"LITTLE DELAWARE RIVER  IN DELHI","@ ARBOR HILL ROAD","SW",,,"Y",25,4,"NY",2040101,,,,,"1404","0.2",,"DOW - RIBS"
