"PCODE_RSLT_CHAR_NAME","PCODE_RSLT_SAMPLE_FRACTION","PCODE_RSLT_UNIT","PCODE_DEC","PCODE_RSLT_TYPE"
"ACIDITY, HYDROGEN ION (H+)",NA,NA,5,"lab"
"ALKALINITY, TOTAL (AS CACO3)","T","mg/l",6,"lab"
"ALUMINUM","T","ug/l",8,"lab"
"AMMONIA","T","mg/l",98,"lab"
"ANATOXIN-A",NA,"ug/l",9,"lab"
"APPARENT COLOR","T","color units",10,"lab"
"ARSENIC","T","ug/l",12,"lab"
"BENZENE","T","mg/l",13,"lab"
"BMAA (BETA-METHYL-AMINO-(L)-ALANINE)",NA,"ug/l",14,"lab"
"BORON","T","ug/l",15,"lab"
"CALCIUM","T","mg/l",20,"lab"
"CHLORIDE","T","mg/l",27,"lab"
"CHLOROPHYLL A (PROBE) CONCENTRATION, CHLOROPHYTE (GREEN ALGAE)",NA,"ug/l",34,"lab"
"CHLOROPHYLL A (PROBE) CONCENTRATION, CHRYSOPHYTA (BROWN ALGAE)",NA,"ug/l",35,"lab"
"CHLOROPHYLL A (PROBE) CONCENTRATION, CRYPTOPHYTA (CRYPTOPHYTES)",NA,"ug/l",36,"lab"
"CHLOROPHYLL A (PROBE) CONCENTRATION, CYANOBACTERIA (BLUEGREEN)",NA,"ug/l",37,"lab"
"CHLOROPHYLL A (PROBE) CONCENTRATION, DINOPHYTA (DIATOMS)",NA,"ug/l",38,"lab"
"CHLOROPHYLL A (PROBE)",NA,"rfu",32,"in-situ"
"CHLOROPHYLL A (PROBE)",NA,"ug/l",39,"lab"
"CHLOROPHYLL A (PROBE)",NA,"ug/l",33,"in-situ"
"CHLOROPHYLL A","T","ug/l",31,"lab"
"COLOR, UNKNOWN","T","color units",42,"lab"
"CONDUCTIVITY","T","ugs/cm",48,"undetermined"
"COPPER","T","ug/l",50,"lab"
"CYLINDROSPERMOPSIN",NA,"ug/l",51,"lab"
"DEPTH",NA,"m",52,"in-situ"
"DEPTH, BOTTOM",NA,"m",53,"in-situ"
"DEPTH, SECCHI DISK DEPTH",NA,"m",54,"in-situ"
"DIBROMODIFLUOROMETHANE","T","%",57,"lab"
"DIHYDRO-ATX-A",NA,"ug/l",60,"lab"
"DISSOLVED ORGANIC CARBON","D","mg/l",22,"lab"
"DISSOLVED OXYGEN (DO)",NA,"mg/l",61,"in-situ"
"DISSOLVED OXYGEN SATURATION",NA,"%",62,"in-situ"
"DOMINANT ALGAL SPECIES",NA,NA,63,"lab"
"ETHYLBENZENE","T","mg/l",64,"lab"
"FLUORIDE","T","mg/l",65,"lab"
"IRON","T","ug/l",67,"lab"
"M-XYLENE (1,3-DIMETHYLBENZENE)","T","mg/l",95,"lab"
"MAGNESIUM","T","ug/l",71,"lab"
"MANGANESE","T","ug/l",72,"lab"
"MICROCYSTIN AR",NA,"ug/l",78,"lab"
"MICROCYSTIN DLR",NA,"ug/l",79,"lab"
"MICROCYSTIN DRR",NA,"ug/l",80,"lab"
"MICROCYSTIN FR",NA,"ug/l",81,"lab"
"MICROCYSTIN HYR",NA,"ug/l",82,"lab"
"MICROCYSTIN LA",NA,"ug/l",83,"lab"
"MICROCYSTIN LR",NA,"ug/l",84,"lab"
"MICROCYSTIN LW",NA,"ug/l",85,"lab"
"MICROCYSTIN LY",NA,"ug/l",86,"lab"
"MICROCYSTIN MLR",NA,"ug/l",87,"lab"
"MICROCYSTIN MRR",NA,"ug/l",88,"lab"
"MICROCYSTIN RR",NA,"ug/l",89,"lab"
"MICROCYSTIN UNKNOWN",NA,"ug/l",90,"lab"
"MICROCYSTIN WR",NA,"ug/l",91,"lab"
"MICROCYSTIN YR",NA,"ug/l",92,"lab"
"MICROCYSTIN",NA,"ug/l",77,"lab"
"NITRITE","T","mg/l",102,"lab"
"NITROGEN, KJELDAHL, TOTAL","T","mg/l",99,"lab"
"NITROGEN, NITRATE-NITRITE","T","mg/l",101,"lab"
"NITROGEN, NITRATE (AS N)","T","mg/l",100,"lab"
"NITROGEN, TOTAL DISSOLVED","D","mg/l",104,"lab"
"NITROGEN, TOTAL","T","mg/l",103,"lab"
"O-XYLENE (1,2-DIMETHYLBENZENE)","T","mg/l",106,"lab"
"ORTHOPHOSPHATE","D","mg/l",119,"lab"
"OXIDATION REDUCTION POTENTIAL (ORP)",NA,"mv",105,"in-situ"
"P-BROMOFLUOROBENZENE","T","%",107,"lab"
"P-XYLENE (1,4-DIMETHYLBENZENE)","T","mg/l",129,"lab"
"PH FOR COLOR ANALYSIS","T","ph units",112,"lab"
"PH",NA,"ph units",110,"lab"
"PH",NA,"ph units",109,"in-situ"
"PH",NA,"ph units",111,"undetermined"
"PHOSPHORUS","D","mg/l",118,"lab"
"PHOSPHORUS",NA,"mg/l",117,"lab"
"PHOSPHORUS","T","mg/l",120,"lab"
"PHYCOCYANIN (PROBE)",NA,"rfu",125,"in-situ"
"PHYCOCYANIN (PROBE)",NA,"ug/l",126,"in-situ"
"PHYCOCYANIN",NA,"ug/l",124,"in-situ"
"POTASSIUM","T","ug/l",128,"lab"
"SILICA","T","mg/l",130,"lab"
"SODIUM","T","ug/l",134,"lab"
"SOLUBLE REACTIVE PHOSPHORUS (SRP)",NA,"mg/l",119,"lab"
"SPECIFIC CONDUCTANCE",NA,"us/cm",138,"in-situ"
"SPECIFIC CONDUCTANCE",NA,"us/cm",139,"lab"
"SPECIFIC CONDUCTANCE",NA,"us/cm",140,"undetermined"
"SULFATE (AS SO4)","T","mg/l",141,"lab"
"TEMPERATURE, AIR",NA,"deg c",146,"in-situ"
"TEMPERATURE, WATER",NA,"deg c",142,"in-situ"
"TOLUENE-D8","T","%",149,"lab"
"TOTAL DISSOLVED SOLIDS",NA,"mg/l",151,"lab"
"TOTAL HARDNESS","T","mg/l",66,"lab"
"TOTAL ORGANIC CARBON","T","mg/l",25,"lab"
"TOTAL PHOSPHORUS, MIXED FORMS","T","mg/l",122,"lab"
"TOTAL SUSPENDED SOLIDS","T","mg/l",153,"lab"
"TRUE COLOR","T","color units",157,"lab"
"TURBIDITY",NA,"fnu",158,"in-situ"
"TURBIDITY","T","ntu",161,"undetermined"
"TURBIDITY","T","ntu",162,"lab"
"UV 254","T","1/cm",163,"lab"
