"PCODE_RSLT_CHAR_NAME","PCODE_RSLT_SAMPLE_FRACTION","PCODE_RSLT_UNIT","PCODE_DEC","PCODE_RSLT_TYPE"
"ACIDITY, HYDROGEN ION (H+)",NA,NA,5,"LAB"
"ALKALINITY, TOTAL (AS CACO3)","T","MG/L",6,"LAB"
"ALUMINUM","T","UG/L",8,"LAB"
"AMMONIA","T","MG/L",98,"LAB"
"ANATOXIN-A",NA,"UG/L",9,"LAB"
"APPARENT COLOR","T","COLOR UNITS",10,"LAB"
"ARSENIC","T","UG/L",12,"LAB"
"BENZENE","T","MG/L",13,"LAB"
"BMAA (BETA-METHYL-AMINO-(L)-ALANINE)",NA,"UG/L",14,"LAB"
"BORON","T","UG/L",15,"LAB"
"CALCIUM","T","MG/L",20,"LAB"
"CHLORIDE","T","MG/L",27,"LAB"
"CHLOROPHYLL A (PROBE) CONCENTRATION, CHLOROPHYTE (GREEN ALGAE)",NA,"UG/L",34,"LAB"
"CHLOROPHYLL A (PROBE) CONCENTRATION, CHRYSOPHYTA (BROWN ALGAE)",NA,"UG/L",35,"LAB"
"CHLOROPHYLL A (PROBE) CONCENTRATION, CRYPTOPHYTA (CRYPTOPHYTES)",NA,"UG/L",36,"LAB"
"CHLOROPHYLL A (PROBE) CONCENTRATION, CYANOBACTERIA (BLUEGREEN)",NA,"UG/L",37,"LAB"
"CHLOROPHYLL A (PROBE) CONCENTRATION, DINOPHYTA (DIATOMS)",NA,"UG/L",38,"LAB"
"CHLOROPHYLL A","T","UG/L",31,"LAB"
"COLOR, UNKNOWN","T","COLOR UNITS",42,"LAB"
"CONDUCTIVITY","T","UGS/CM",48,"UNDETERMINED"
"COPPER","T","UG/L",50,"LAB"
"CYLINDROSPERMOPSIN",NA,"UG/L",51,"LAB"
"DEPTH",NA,"M",52,"IN-SITU"
"DEPTH, BOTTOM",NA,"M",53,"IN-SITU"
"DEPTH, SECCHI DISK DEPTH",NA,"M",54,"IN-SITU"
"DIBROMODIFLUOROMETHANE","T","%",57,"LAB"
"DIHYDRO-ATX-A",NA,"UG/L",60,"LAB"
"DISSOLVED ORGANIC CARBON","D","MG/L",22,"LAB"
"DISSOLVED OXYGEN (DO)",NA,"MG/L",61,"IN-SITU"
"DISSOLVED OXYGEN SATURATION",NA,"%",62,"IN-SITU"
"DOMINANT ALGAL SPECIES",NA,NA,63,"LAB"
"ETHYLBENZENE","T","MG/L",64,"LAB"
"FLUORIDE","T","MG/L",65,"LAB"
"IRON","T","UG/L",67,"LAB"
"M-XYLENE (1,3-DIMETHYLBENZENE)","T","MG/L",95,"LAB"
"MAGNESIUM","T","UG/L",71,"LAB"
"MANGANESE","T","UG/L",72,"LAB"
"MICROCYSTIN AR",NA,"UG/L",78,"LAB"
"MICROCYSTIN DLR",NA,"UG/L",79,"LAB"
"MICROCYSTIN DRR",NA,"UG/L",80,"LAB"
"MICROCYSTIN FR",NA,"UG/L",81,"LAB"
"MICROCYSTIN HYR",NA,"UG/L",82,"LAB"
"MICROCYSTIN LA",NA,"UG/L",83,"LAB"
"MICROCYSTIN LR",NA,"UG/L",84,"LAB"
"MICROCYSTIN LW",NA,"UG/L",85,"LAB"
"MICROCYSTIN LY",NA,"UG/L",86,"LAB"
"MICROCYSTIN MLR",NA,"UG/L",87,"LAB"
"MICROCYSTIN MRR",NA,"UG/L",88,"LAB"
"MICROCYSTIN RR",NA,"UG/L",89,"LAB"
"MICROCYSTIN UNKNOWN",NA,"UG/L",90,"LAB"
"MICROCYSTIN WR",NA,"UG/L",91,"LAB"
"MICROCYSTIN YR",NA,"UG/L",92,"LAB"
"MICROCYSTIN",NA,"UG/L",77,"LAB"
"NITRITE","T","MG/L",102,"LAB"
"NITROGEN, KJELDAHL, TOTAL","T","MG/L",99,"LAB"
"NITROGEN, NITRATE-NITRITE","T","MG/L",101,"LAB"
"NITROGEN, NITRATE (AS N)","T","MG/L",100,"LAB"
"NITROGEN, TOTAL DISSOLVED","D","MG/L",104,"LAB"
"NITROGEN, TOTAL","T","MG/L",103,"LAB"
"O-XYLENE (1,2-DIMETHYLBENZENE)","T","MG/L",106,"LAB"
"ORTHOPHOSPHATE","D","MG/L",119,"LAB"
"OXIDATION REDUCTION POTENTIAL (ORP)",NA,"MV",105,"IN-SITU"
"P-BROMOFLUOROBENZENE","T","%",107,"LAB"
"P-XYLENE (1,4-DIMETHYLBENZENE)","T","MG/L",129,"LAB"
"PH",NA,"PH UNITS",111,"UNDETERMINED"
"PH",NA,"PH UNITS",109,"IN-SITU"
"PHOSPHORUS","D","MG/L",118,"LAB"
"PHOSPHORUS",NA,"MG/L",117,"LAB"
"PHOSPHORUS","T","MG/L",120,"LAB"
"PHYCOCYANIN (PROBE)",NA,"UG/L",126,"IN-SITU"
"PHYCOCYANIN",NA,"UG/L",124,"IN-SITU"
"POTASSIUM","T","UG/L",128,"LAB"
"SILICA","T","MG/L",130,"LAB"
"SODIUM","T","UG/L",134,"LAB"
"SPECIFIC CONDUCTANCE",NA,"US/CM",138,"IN-SITU"
"SULFATE (AS SO4)","T","MG/L",141,"LAB"
"TEMPERATURE, AIR",NA,"DEG C",146,"IN-SITU"
"TEMPERATURE, WATER",NA,"DEG C",142,"IN-SITU"
"TOLUENE-D8","T","%",149,"LAB"
"TOTAL DISSOLVED SOLIDS",NA,"MG/L",151,"LAB"
"TOTAL HARDNESS","T","MG/L",66,"LAB"
"TOTAL ORGANIC CARBON","T","MG/L",25,"LAB"
"TOTAL PHOSPHORUS, MIXED FORMS","T","MG/L",122,"LAB"
"TOTAL SUSPENDED SOLIDS","T","MG/L",153,"LAB"
"TRUE COLOR","T","COLOR UNITS",157,"LAB"
"TURBIDITY",NA,"FNU",158,"IN-SITU"
"TURBIDITY","T","NTU",162,"LAB"
"TURBIDITY","T","NTU",161,"UNDETERMINED"
"UV 254","T","1/CM",163,"LAB"
