cas_rn,chemical_name,fraction,result_unit
TVS,TOTAL VOLATILE SOLIDS,NA,mg/l
TSO,TOTAL SOLIDS,NA,mg/l
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",NA,mg/l
PH,PH,NA,ph units
SC,SPECIFIC CONDUCTANCE,NA,umhos/cm
FECCOLIFORM,FECAL COLIFORM,NA,cfu/100ml
COLIF,COLIFORM,NA,cfu/100ml
TSS,TOTAL SUSPENDED SOLIDS,NA,mg/l
TEMP,TEMPERATURE,NA,deg c
DISS_OXYGEN,DISSOLVED OXYGEN,NA,mg/l
TOC,TOTAL ORGANIC CARBON,D,mg/l
14265-44-2,PHOSPHATE ION,NA,mg/l
7723-14-0,PHOSPHORUS,NA,mg/l
NO3NO2N,"NITROGEN, NITRATE-NITRITE",NA,mg/l
14797-55-8,"NITROGEN, NITRATE (AS N)",NA,mg/l
KN,"NITROGEN, KJELDAHL, TOTAL",NA,mg/l
ALK,"ALKALINITY, TOTAL (AS CACO3)",NA,mg/l
7439-95-4,MAGNESIUM,T,mg/l
7440-09-7,POTASSIUM,T,mg/l
7440-23-5,SODIUM,T,mg/l
7440-70-2,CALCIUM,T,mg/l
TURB,TURBIDITY,NA,ntu
14797-65-0,"NITROGEN, NITRITE",NA,mg/l
16984-48-8,FLUORIDE,T,mg/l
7439-97-6,MERCURY,T,ug/l
74-87-3,CHLOROMETHANE,T,ug/l
TOTPHEN,"PHENOLICS, TOTAL RECOVERABLE",NA,mg/l
14265-44-2,PHOSPHATE ION,T,mg/l
NO3NO2N,"NITROGEN, NITRATE-NITRITE",T,mg/l
SC,SPECIFIC CONDUCTANCE,T,umhos/cm
7723-14-0,PHOSPHORUS,T,mg/l
TVS,TOTAL VOLATILE SOLIDS,T,mg/l
TSO,TOTAL SOLIDS,T,mg/l
PH,PH,T,ph units
PHWATER,PH (WATER),T,ph units
COLIF,COLIFORM,T,cfu/100ml
FECCOLIFORM,FECAL COLIFORM,T,cfu/100ml
127-18-4,TETRACHLOROETHYLENE (PCE),T,ug/l
79-01-6,TRICHLOROETHYLENE (TCE),T,ug/l
SC,SPECIFIC CONDUCTANCE,D,umhos/cm
TEMP,TEMPERATURE,T,deg c
DISS_OXYGEN,DISSOLVED OXYGEN,T,mg/l
TOTPHEN,"PHENOLICS, TOTAL RECOVERABLE",T,mg/l
75-09-2,METHYLENE CHLORIDE,T,ug/l
121-48-1,CHLORODIBROMOMETHANE,T,ug/l
75-01-4,VINYL CHLORIDE,T,ug/l
DOC,DISSOLVED ORGANIC CARBON,D,mg/l
14265-44-2,PHOSPHATE ION,D,mg/l
17060-07-0,"1,2-DICHLOROETHANE-D4",T,%
2037-26-5,TOLUENE-D8,T,%
460-00-4,P-BROMOFLUOROBENZENE,T,%
DOC,DISSOLVED ORGANIC CARBON,T,mg/l
17060-07-0,"1,2-DICHLOROETHANE-D4",T,ug/l
2037-26-5,TOLUENE-D8,T,ug/l
460-00-4,P-BROMOFLUOROBENZENE,T,ug/l
DISS_OXYGEN,DISSOLVED OXYGEN,D,mg/l
PDORTHO,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",D,mg/l
7440-44-0,TOTAL CARBON,T,mg/l
COND,CONDUCTIVITY,T,umhos/cm
7439-97-6,MERCURY,T,ppt
PDORTHO,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",T,mg/l
ARC-NO3NO2N,"NITROGEN, NITRITE + NITRATE",T,mg/l
7440-44-0,TOTAL CARBON,D,mg/l
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",D,mg/l
COND,SPECIFIC CONDUCTANCE,T,umhos/cm
PH,PH,T,pH units
SOLID,TOTAL SOLIDS,T,mg/l
TEMP,TEMPERATURE OF PH ANALYSIS,T,deg c
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,umhos/cm
7440-38-2,ARSENIC,D,ug/l
7440-22-4,SILVER,D,ug/l
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,deg c
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",T,mg/l
7439-97-6,MERCURY,T,ng/L
