"RESULT_TYPE","chemical_name","fraction","result_unit","DEC_pcode_FINAL"
"lab","1,2-dichloroethane-d4","T","%","001"
"lab","1,2-dichloroethane-d4","T","ug/l","002"
"lab","1-bromo-4-fluorobenzene bromofluorobenzene)","T","percent","003"
"lab","2,3-dibromopropionic acid","T","percent","004"
"lab","acidity, hydrogen ion (h+)","NA","na","005"
"lab","alkalinity, total (as caco3)","NA","mg/l","006"
"lab","alkalinity, total (as caco3)","T","mg/l","006"
"lab","aluminum","D","ug/l","007"
"lab","aluminum","T","ug/l","008"
"lab","ammonia","T","mg/l","098"
"lab","anatoxin-a","NA","ug/l","009"
"lab","apparent color","T","color units","010"
"lab","arsenic","D","ug/l","011"
"lab","arsenic","T","ug/l","012"
"lab","benzene","T","mg/l","013"
"lab","bmaa (beta-methyl-amino-(l)-alanine)","NA","ug/l","014"
"lab","boron","T","ug/l","015"
"lab","bromodichloromethane","T","ug/l","016"
"lab","bromoform","T","ug/l","017"
"lab","cadmium","D","ug/l","018"
"lab","cadmium","T","ug/l","019"
"lab","calcium","T","mg/l","020"
"lab","calcium","T","ug/l","021"
"lab","carbon, dissolved organic (doc)","D","mg/l","022"
"lab","carbon, dissolved organic (doc)","T","mg/l","022"
"lab","chloride","T","mg/l","027"
"lab","chloride (as cl)","T","mg/l","027"
"lab","chlorodibromomethane","T","ug/l","028"
"lab","chloroform","T","ug/l","029"
"lab","chloromethane","T","ug/l","030"
"lab","chlorophyll a","T","ug/l","031"
"in-situ","chlorophyll a (probe)","NA","rfu","032"
"in-situ","chlorophyll a (probe)","NA","ug/l","033"
"lab","chlorophyll a (probe) concentration, total","NA","ug/l","039"
"lab","chlorophyll a (probe) concentration, chlorophyte (green algae)","NA","ug/l","034"
"lab","chlorophyll a (probe) concentration, chrysophyta (brown algae)","NA","ug/l","035"
"lab","chlorophyll a (probe) concentration, cryptophyta (cryptophytes)","NA","ug/l","036"
"lab","chlorophyll a (probe) concentration, cyanobacteria (bluegreen)","NA","ug/l","037"
"lab","chlorophyll a (probe) concentration, dinophyta (diatoms)","NA","ug/l","038"
"lab","coliform","NA","cfu/100ml","040"
"lab","coliform","T","cfu/100ml","040"
"lab","color, unknown","T","color units","042"
"undetermined","conductivity","T","ugs/cm","048"
"undetermined","conductivity","T","umhos/cm","045"
"undetermined","conductivity at 25 degrees celsius","T","deg c","137"
"undetermined","conductivity at 25 degrees celsius","T","umhos/cm","137"
"lab","copper","D","ug/l","049"
"lab","copper","T","ug/l","050"
"lab","cylindrospermopsin","NA","ug/l","051"
"in-situ","depth","NA","m","052"
"in-situ","depth, bottom","NA","m","053"
"in-situ","depth, secchi disk depth","NA","m","054"
"lab","dibromoacetic acid","T","ug/l","055"
"lab","dibromochloromethane","T","ug/l","056"
"lab","dibromodifluoromethane","T","%","057"
"lab","dibromofluoromethane","T","percent","058"
"lab","dichloroacetic acid","T","ug/l","059"
"lab","dihydro-atx-a","NA","ug/l","060"
"lab","dissolved organic carbon","D","mg/l","022"
"lab","dissolved organic carbon","T","mg/l","022"
"in-situ","dissolved oxygen","D","mg/l","061"
"in-situ","dissolved oxygen","NA","mg/l","061"
"in-situ","dissolved oxygen","T","mg/l","061"
"in-situ","dissolved oxygen (do)","NA","mg/l","061"
"in-situ","dissolved oxygen saturation","NA","%","062"
"lab","dominant algal species","NA","na","063"
"lab","ethylbenzene","T","mg/l","064"
"lab","fecal coliform","NA","cfu/100ml","041"
"lab","fecal coliform","T","cfu/100ml","041"
"lab","fluoride","T","mg/l","065"
"lab","fluoride, undistilled","T","mg/l","065"
