RESULT_TYPE,chemical_name,fraction,result_unit,DEC_pcode_FINAL
lab,"1,2-dichloroethane-d4",T,%,1
lab,"1,2-dichloroethane-d4",T,ug/l,2
lab,1-bromo-4-fluorobenzene bromofluorobenzene),T,percent,3
lab,"2,3-dibromopropionic acid",T,percent,4
lab,"acidity, hydrogen ion (h+)",NA,na,5
lab,"alkalinity, total (as caco3)",NA,mg/l,6
lab,"alkalinity, total (as caco3)",T,mg/l,6
lab,aluminum,D,ug/l,7
lab,aluminum,T,ug/l,8
lab,ammonia,T,mg/l,98
lab,anatoxin-a,NA,ug/l,9
lab,apparent color,T,color units,10
lab,arsenic,D,ug/l,11
lab,arsenic,T,ug/l,12
lab,benzene,T,mg/l,13
lab,bmaa (beta-methyl-amino-(l)-alanine),NA,ug/l,14
lab,boron,T,ug/l,15
lab,bromodichloromethane,T,ug/l,16
lab,bromoform,T,ug/l,17
lab,cadmium,D,ug/l,18
lab,cadmium,T,ug/l,19
lab,calcium,T,mg/l,20
lab,calcium,T,ug/l,21
lab,"carbon, dissolved organic (doc)",D,mg/l,22
lab,"carbon, dissolved organic (doc)",T,mg/l,22
lab,chloride,T,mg/l,27
lab,chloride (as cl),T,mg/l,27
lab,chlorodibromomethane,T,ug/l,28
lab,chloroform,T,ug/l,29
lab,chloromethane,T,ug/l,30
lab,chlorophyll a,T,ug/l,31
in-situ,chlorophyll a (probe),NA,rfu,32
in-situ,chlorophyll a (probe),NA,ug/l,33
lab,"chlorophyll a (probe) concentration, total",NA,ug/l,39
lab,"chlorophyll a (probe) concentration, chlorophyte (green algae)",NA,ug/l,34
lab,"chlorophyll a (probe) concentration, chrysophyta (brown algae)",NA,ug/l,35
lab,"chlorophyll a (probe) concentration, cryptophyta (cryptophytes)",NA,ug/l,36
lab,"chlorophyll a (probe) concentration, cyanobacteria (bluegreen)",NA,ug/l,37
lab,"chlorophyll a (probe) concentration, dinophyta (diatoms)",NA,ug/l,38
lab,coliform,NA,cfu/100ml,40
lab,coliform,T,cfu/100ml,40
lab,"color, unknown",T,color units,42
undetermined,conductivity,T,ugs/cm,48
undetermined,conductivity,T,umhos/cm,45
undetermined,conductivity at 25 degrees celsius,T,deg c,137
undetermined,conductivity at 25 degrees celsius,T,umhos/cm,137
lab,copper,D,ug/l,49
lab,copper,T,ug/l,50
lab,cylindrospermopsin,NA,ug/l,51
in-situ,depth,NA,m,52
in-situ,"depth, bottom",NA,m,53
in-situ,"depth, secchi disk depth",NA,m,54
lab,dibromoacetic acid,T,ug/l,55
lab,dibromochloromethane,T,ug/l,56
lab,dibromodifluoromethane,T,%,57
lab,dibromofluoromethane,T,percent,58
lab,dichloroacetic acid,T,ug/l,59
lab,dihydro-atx-a,NA,ug/l,60
lab,dissolved organic carbon,D,mg/l,22
lab,dissolved organic carbon,T,mg/l,22
in-situ,dissolved oxygen,D,mg/l,61
in-situ,dissolved oxygen,NA,mg/l,61
in-situ,dissolved oxygen,T,mg/l,61
in-situ,dissolved oxygen (do),NA,mg/l,61
in-situ,dissolved oxygen saturation,NA,%,62
lab,dominant algal species,NA,na,63
lab,ethylbenzene,T,mg/l,64
lab,fecal coliform,NA,cfu/100ml,41
lab,fecal coliform,T,cfu/100ml,41
lab,fluoride,T,mg/l,65
lab,"fluoride, undistilled",T,mg/l,65
lab,hardness (as caco3),T,mg/l,66
lab,iron,T,ug/l,67
lab,lead,D,ug/l,68
lab,lead,T,ug/l,69
lab,magnesium,T,mg/l,70
lab,magnesium,T,ug/l,71
lab,manganese,T,ug/l,72
lab,mercury,T,ng/l,73
lab,mercury,T,ppt,74
lab,mercury,T,ug/l,75
lab,methylene chloride,T,ug/l,76
lab,microcystin,NA,ug/l,77
lab,microcystin ar,NA,ug/l,78
lab,microcystin dlr,NA,ug/l,79
lab,microcystin drr,NA,ug/l,80
lab,microcystin fr,NA,ug/l,81
lab,microcystin hyr,NA,ug/l,82
lab,microcystin la,NA,ug/l,83
lab,microcystin lr,NA,ug/l,84
lab,microcystin lw,NA,ug/l,85
lab,microcystin ly,NA,ug/l,86
lab,microcystin mlr,NA,ug/l,87
lab,microcystin mrr,NA,ug/l,88
lab,microcystin rr,NA,ug/l,89
lab,microcystin unknown,NA,ug/l,90
lab,microcystin wr,NA,ug/l,91
lab,microcystin yr,NA,ug/l,92
lab,monobromoacetic acid,T,ug/l,93
lab,monochloroacetic acid,T,ug/l,94
lab,"m-xylene (1,3-dimethylbenzene)",T,mg/l,95
lab,nickel,D,ug/l,96
