chemical_name,fraction,result_unit,CHEM_PARAMETER_CDE,parameter_group_nm,SRS_Name,Long_Name,cas_rn
"1,2-DICHLOROETHANE-D4",T,%,U99832,Information,,"1,2-Dichloroethane-d4, surrogate, water, unfiltered, percent recovery",17060-07-0
"1,2-DICHLOROETHANE-D4",T,ug/l,D99832,Information,,"1,2-Dichloroethane-d4, surrogate, water, unfiltered, percent recovery",17060-07-0
1-BROMO-4-FLUOROBENZENE BROMOFLUOROBENZENE),T,percent,U90449,Information,,"1-Bromo-4-fluorobenzene, surrogate, EPA 524.2 VOC schedules, water, unfiltered, percent recovery",460-00-4
"2,3-DIBROMOPROPIONIC ACID",T,percent,D91998,Information,,,600-05-5
"ACIDITY, HYDROGEN ION (H+)",NA,NA,U71825,"Inorganics, Major, Non-metals",Acidity,"Acidity, water, unfiltered, heated, milligrams per liter as hydrogen ion",
"ALKALINITY, TOTAL (AS CACO3)",NA,mg/l,U00421,"Inorganics, Major, Non-metals",Alkalinity,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbote",ALK
"ALKALINITY, TOTAL (AS CACO3)",T,mg/l,U00421,"Inorganics, Major, Non-metals",Alkalinity,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbote",ALK
"ALKALINITY, TOTAL (AS CACO3)",T,mg/L,U00421,"Inorganics, Major, Non-metals",Alkalinity,"Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbote",
ALUMINUM,D,ug/l,U01106,"Inorganics, Minor, Metals",Aluminum,"Aluminum, water, filtered, micrograms per liter",7429-90-5
ALUMINUM,T,ug/l,U01105,"Inorganics, Minor, Metals",Aluminum,"Aluminum, water, unfiltered, recoverable, micrograms per liter",7429-90-5
ALUMINUM,T,ug/L,U01105,"Inorganics, Minor, Metals",Aluminum,"Aluminum, water, unfiltered, recoverable, micrograms per liter",
AMMONIA,T,mg/L,U00610,Nutrient,Ammonia and ammonium,"Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen",
ANATOXIN-A,NA,ug/L,U68287,"Organics, other",,"Atoxin-a, water, unfiltered, recoverable, micrograms per liter",
APPARENT COLOR,T,color units,U00081,Physical,Apparent color,"Apparent color, water, unfiltered, platinum-cobalt units",
ARSENIC,D,ug/l,U10000,Physical,,,7440-38-2
ARSENIC,T,ug/l,U50316,"Inorganics, Minor, Non-metals",Arsenic acid,"Arsenic acid, water, filtered, micrograms per liter",7440-38-2
ARSENIC,T,ug/L,U50316,"Inorganics, Minor, Non-metals",Arsenic acid,"Arsenic acid, water, filtered, micrograms per liter",
BENZENE,T,mg/L,U34030,"Organics, other",Benzene,"Benzene, water, unfiltered, recoverable, micrograms per liter",
BMAA (BETA-METHYL-AMINO-(L)-ALANINE),NA,ug/L,U65192,"Organics, other",,"beta-N-Methylamino-L-alanine, water, filtered, recoverable, micrograms per liter",
BORON,T,ug/L,U52275,"Inorganics, Minor, Non-metals",,"Boron, water, unfiltered, total, micrograms per liter",
BROMODICHLOROMETHANE,T,ug/l,U34328,"Organics, other",Dichlorobromomethane,"Bromodichloromethane, water, filtered, recoverable, micrograms per liter",75-27-4
BROMOFORM,T,ug/l,D00004,"Organics, other",,,75-25-2
CADMIUM,D,ug/l,U52775,"Inorganics, Minor, Metals",,"Cadmium, water, filtered, milligrams per liter",7440-43-9
CADMIUM,T,ug/l,U01027,"Inorganics, Minor, Metals",Cadmium,"Cadmium, water, unfiltered, micrograms per liter",7440-43-9
CALCIUM,T,mg/l,U52528,"Inorganics, Major, Metals",,"Calcium, water, unfiltered, total, milligrams per liter",7440-70-2
CALCIUM,T,mg/L,U52528,"Inorganics, Major, Metals",,"Calcium, water, unfiltered, total, milligrams per liter",
CALCIUM,T,ug/l,U52505,"Inorganics, Major, Metals",,"Calcium, water, unfiltered, micrograms per liter",7440-70-2
"CARBON, DISSOLVED ORGANIC (DOC)",D,mg/l,U00681,"Organics, other",Organic carbon,"Organic carbon, water, filtered, milligrams per liter",DOC
"CARBON, DISSOLVED ORGANIC (DOC)",T,mg/l,U00681,"Organics, other",Organic carbon,"Organic carbon, water, filtered, milligrams per liter",DOC
