cas_rn,chemical_name,fraction,result_unit
460-00-4,1-BROMO-4-FLUOROBENZENE BROMOFLUOROBENZENE),T,percent
17060-07-0,"1,2-DICHLOROETHANE-D4",T,%
17060-07-0,"1,2-DICHLOROETHANE-D4",T,ug/l
600-05-5,"2,3-DIBROMOPROPIONIC ACID",T,percent
NA,"ACIDITY, HYDROGEN ION (H+)",NA,NA
ALK,"ALKALINITY, TOTAL (AS CACO3)",T,mg/l
NA,"ALKALINITY, TOTAL (AS CACO3)",T,mg/L
ALK,"ALKALINITY, TOTAL (AS CACO3)",NA,mg/l
7429-90-5,ALUMINUM,D,ug/l
7429-90-5,ALUMINUM,T,ug/l
NA,ALUMINUM,T,ug/L
NA,AMMONIA,T,mg/L
NA,ANATOXIN-A,NA,ug/L
NA,APPARENT COLOR,T,color units
7440-38-2,ARSENIC,D,ug/l
7440-38-2,ARSENIC,T,ug/l
NA,ARSENIC,T,ug/L
NA,BENZENE,T,mg/L
NA,BMAA (BETA-METHYL-AMINO-(L)-ALANINE),NA,ug/L
NA,BORON,T,ug/L
75-27-4,BROMODICHLOROMETHANE,T,ug/l
75-25-2,BROMOFORM,T,ug/l
7440-43-9,CADMIUM,D,ug/l
7440-43-9,CADMIUM,T,ug/l
7440-70-2,CALCIUM,T,mg/l
NA,CALCIUM,T,mg/L
7440-70-2,CALCIUM,T,ug/l
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",D,mg/l
DOC,"CARBON, DISSOLVED ORGANIC (DOC)",T,mg/l
NA,CHLORIDE,T,mg/L
16887-00-6,CHLORIDE (AS CL),T,mg/l
121-48-1,CHLORODIBROMOMETHANE,T,ug/l
67-66-3,CHLOROFORM,T,ug/l
74-87-3,CHLOROMETHANE,T,ug/l
479-61-8,CHLOROPHYLL A,T,ug/l
NA,CHLOROPHYLL A,T,ug/L
NA,CHLOROPHYLL A (PROBE RELATIVE FLUORESCENCE),NA,NA
NA,CHLOROPHYLL A (PROBE),NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHLOROPHYTE (GREEN ALGAE)",NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHRYSOPHYTA (BROWN ALGAE)",NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CRYPTOPHYTA (CRYPTOPHYTES)",NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CYANOBACTERIA (BLUEGREEN)",NA,ug/L
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, DINOPHYTA (DIATOMS)",NA,ug/L
COLIF,COLIFORM,T,cfu/100ml
COLIF,COLIFORM,NA,cfu/100ml
NA,"COLOR, UNKNOWN",T,color units
NA,CONDUCTIVITY,T,ugS/cm
COND,CONDUCTIVITY,T,umhos/cm
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,deg c
COND,CONDUCTIVITY AT 25 DEGREES CELSIUS,T,umhos/cm
7440-50-8,COPPER,D,ug/l
7440-50-8,COPPER,T,ug/l
NA,COPPER,T,ug/L
NA,CYLINDROSPERMOPSIN,NA,ug/L
NA,DEPTH,NA,m
NA,"DEPTH, BOTTOM",NA,m
NA,"DEPTH, SECCHI DISK DEPTH",NA,m
631-64-1,DIBROMOACETIC ACID,T,ug/l
124-48-1,DIBROMOCHLOROMETHANE,T,ug/l
NA,DIBROMODIFLUOROMETHANE,T,%
