# CAS Registry Number is a Registered Trademark of the American Chemical Society. CAS recommends the verification of the CASRNs through CAS Client ServicesSM.
PCODE	Long_Name	Short_Name	SRS_Name	Units	CASRN	Medium	USGS_EPA_equiv
5s	170s	29s	75s	10s	15s	30s	26s
00001	Location in cross section, distance from right bank looking upstream, feet	Xsec loc, US from rb		ft			Agree
00002	Location in cross section, distance from right bank looking upstream, percent	Xsec loc, US from rb		%			Agree
00003	Sampling depth, feet	Sampling depth		ft			Agree
00004	Stream width, feet	Stream width	Instream features, est. stream width	ft			Agree
00005	Location in cross section, fraction of total depth, percent	Loctn in X-sec,depth		%			Agree
00006	DISTANCE FROM LOCATION IN X MILES	DISTANCEFR X MILES		mi			Agree
00007	DISTANCE FROM LOCATION IN Y MILES	DISTANCEFR Y MILES		mi			Agree
00008	Sample accounting number	Sample accnt. number		nu			Agree
00009	Location in cross section, distance from left bank looking downstream, feet	Xsec loc, DS from lb		ft			Agree
00010	Temperature, water, degrees Celsius	Temperature, water	Temperature, water	deg C		Water	Agree
00011	Temperature, water, degrees Fahrenheit	Temperature, water	Temperature, water, deg F	deg F		Water	Agree
00012	Evaporation temperature, 48 inch pan, degrees Celsius	Temperature, evap pan, 48		deg C			Agree
00013	Evaporation temperature, 24 inch pan, degrees Celsius	Temperature, evap pan, 24		deg C			Agree
00014	Wet bulb temperature, degrees Celsius	Temperature, wetbulb	Temperature, wet bulb	deg C			Agree
00015	THERMAL DISCHARGE MILLIONS OF BTUS PER HOUR	THERMALMILLIONBTU/HO		MBTU/hr			Agree
00016	TEMP. DIFFERENCE BETWEEN SAMPLE AND UPSTREAM PT.; WATER, TOTAL; DEG. C	DT FROM NATURAL CENT		deg C		Water	Agree
00017	THERMAL DISCHARGE (MILLIONS OF BTUS PER DAY)	THERMALMILLIONBTU/DA		MBTU/day			Agree
00018	TEMP DIFFERENCE BETWEEN SAMPLE AND UPSTREAM PT; WATER, TOTAL; DEG. F	DT FROM NATURAL FAHR		deg F		Water	Agree
00019	SAMPLE WEIGHT IN GRAMS; TISSUE, WET WEIGHT	SAMPLE WEIGHT GRAMS		g		Biological Tissue	Agree
00020	Temperature, air, degrees Celsius	Temperature, air	Temperature, air, deg C	deg C		Air	Agree
00021	Temperature, air, degrees Fahrenheit	Temperature, air	Temperature, air, deg F	deg F		Air	Agree
00022	Duration of exposure, sample or test, days	Length of exposure		days			Agree
00023	Sample weight, pounds	Sample weight		lb			Agree
00024	Sample length, inches	Sample length		in			Agree
00025	Barometric pressure, millimeters of mercury	Air pressure	Barometric pressure	mm/Hg		Air	Agree
00026	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE	TOXICS EPA IDEN FY		code			Agree
00028	Agency analyzing sample, code	Analyzing agency		code			Agree
00029	Project number	Project number		nu			Not agree
00030	Incident solar radiation intensity, calories per square centimeter per day	Solar radiation	Solar irradiation, local	cal/cm2/d			Agree
00031	Incident light remaining at depth, percent	Light remain @ depth	Light attenuation at measurement depth	%			Agree
00032	Cloud cover, percent	Cloud cover	Cloud cover (percent)	%		Air	Agree
00033	WEATHER CODE FOR OCEAN-OBSERV. (WMO CODE 4677); METEOROLOGICAL	WEATHER CODE		WMO code			Agree
00034	Depth to 1 percent of surface light, feet	Depth to 1% of surface light	Light attenuation, depth at 99%	ft			Agree
00035	Wind speed, miles per hour	Wind speed	Wind velocity	mph		Air	Agree
00036	Wind direction, degrees clockwise from true north	Wind direction	Wind direction	Deg		Air	Agree
00037	WIND FORCE (BEAUFORT UNITS)	WIND FORCE BEAUFORT	Wind force, Beaufort scale	beaufort		Air	Agree
00038	WIND DIRECTION (WMO CODES 0885 + 0887)	WIND DIRECT WMO CODE		WMO code		Air	Agree
00039	SAMPLE LENGTH IN MILLIMETERS; TISSUE, WET WEIGHT	SAMPLE LENGTH MM		mm		Biological Tissue	Agree
00040	WIND DIRECTION, AZIMUTH	WIND DIRECT AZIMUTH		Deg		Air	Agree
00041	Weather, World Meteorological Organization (WMO) code	Weather, WMO code		WMO code			Not agree
00042	Altitude, feet above mean sea level	Altitude above MSL	Altitude	ft abv MSL			Agree
00043	CLOUD TYPE (WMO CODE 0500); METEOROLOGICAL	CLOUD TYPE WMO CODE		WMO code		Air	Agree
00044	CLOUD AMOUNT (WMO CODE 2700); METEOROLOGICAL	CLOUDAMOUNT WMO CODE		WMO code		Air	Agree
00045	Precipitation, total, inches	Precipitation	Precipitation	in			Agree
00046	Precipitation, total, inches per week	Precipitation	Precipitation	in/week			Agree
00047	Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury	Pressure, diss gases	Partial pressure of dissolved gases	mm/Hg		Water	Agree
00048	Total partial pressure of dissolved gases, water, unfiltered, percent of saturation	Pressure, diss gases	Partial pressure of dissolved gases	%		Water	Agree
00049	Surface area, square miles	Surface area		mi2			Agree
00050	Evaporation total, inches per day	Evaporation	Evaporation	inches/day			Agree
00051	Surface area, square feet	Surface area		ft2			Agree
00052	Relative humidity, percent	Relative humidity	Relative humidity	%			Agree
00053	Surface area, acres	Surface area		ac			Agree
00054	Reservoir storage, acre feet	Reservoir storage	Reservoir storage	ac-ft			Agree
00055	Stream velocity, feet per second	Stream velocity	Stream velocity	ft/sec		Water	Agree
00056	Flow rate of well, gallons per day	Flow rate, well		gal/day		Water	Not checked
00057	FLOW, INDICATES IT HAS BEEN CHECKED	IND OF FLOW CHECKED		code		Water	Agree
00058	Flow rate of well, gallons per minute	Flow rate, well		gal/min		Water	Not agree
00059	Flow rate, instantaneous, gallons per minute	Flow rate, instantaneous	Flow rate, instantaneous	gal/min		Water	Agree
00060	Discharge, cubic feet per second	Discharge	Stream flow, mean. daily	ft3/s		Water	Not checked
00061	Discharge, instantaneous, cubic feet per second	Discharge, instant.	Stream flow, instantaneous	ft3/s		Water	Agree
00062	Elevation of reservoir water surface above datum, feet	Elevation, reservoir		ft		Water	Agree
00063	Number of sampling points, count	No. of sampling pts.		count			Agree
00064	Mean depth of stream, feet	Mean depth of stream	Depth	ft			Agree
00065	Gage height, feet	Gage height	Height, gage	ft			Agree
00066	DEPTH OF BOTTOM SAMPLE IN FEET (BELOW STREAMBED)	DEPTH BOTSAMPL FEET		ft			Agree
00067	Tide stage, code	Tide stage	Tide stage	code			Agree
00068	DEPTH, MAXIMUM, OF SAMPLE (FEET)	MAX SAMP DEPTH FEET		ft			Agree
00069	SEA WAVES(0=NONE;1=0-3";2=4-20";3=21-48";4=4-8')	SEA CODE		code			Agree
00070	Turbidity, water, unfiltered, Jackson Turbidity Units	Turbidity	Turbidity	JTU		Water	Agree
00071	TURBIDITY HELLIGE  (JACKSON CANDLE  UNITS)  JCU	TURB HLGE JCU	Turbidity, hellige	JCU			Agree
00072	Stream stage, meters	Stream stage	Stream stage	m			Agree
00073	SAMPLE LOC CODE DEFINED BY THERMAL STRUCT & DEPTH	SAMPLOCVERTICAL CODE		code			Agree
00074	Light transmission, 1 meter path length, water, unfiltered, percent	Light transmission		%		Water	Agree
00075	Turbidity, water, unfiltered, Hellige turbidimeter, milligrams per liter as silicon dioxide	Turbidity, Hellige	Turbidity, hellige	mg/l SiO2		Water	Agree
00076	Turbidity, water, unfiltered, nephelometric turbidity units	Turbidity	Turbidity	NTU		Water	Not agree
00077	Transparency, water, in situ, Secchi disc, inches	Transparency, Secchi	Water transparency, Secchi disc	in		Water	Agree
00078	Transparency, water, in situ, Secchi disc, meters	Transparency, Secchi	Water transparency, Secchi disc	m		Water	Agree
00079	COLOR, WATER (FOREL-ULE SCALE); WATER, TOTAL	COLOR FORL-ULE SCALE	Color	Forel-Ule		Water	Agree
00080	Color, water, filtered, platinum cobalt units	Color	Color	PCU		Water	Agree
00081	Apparent color, water, unfiltered, platinum-cobalt units	Apparent color	Apparent color	PCU		Water	Agree
00082	COLOR,SPECTROPHOTO,WATER SMPL AT7.6PH ADMI UNITS; WATER, TOTAL	COLOR WTR SMPL ADMI	Color (ADMI units)	ADMI value		Water	Agree
